frame_idx	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l	pup_diam_r	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z
12	774.96100000	476.16400000	3.88754368	3.38848472	-31.42969513	12.28766632	-35.23999023	31.67834282	13.90608215	-34.48966217	-0.06202485	-0.05965329	0.99629033	0.00962434	-0.07140116	0.99740130
12	776.67900000	477.23600000	3.88140464	3.38912249	-31.45151138	12.30931091	-35.24263763	31.65775681	13.93429565	-34.49893188	-0.06163916	-0.06212706	0.99616307	0.01199491	-0.07399935	0.99718618
12	777.55500000	476.38900000	3.88294053	3.40517163	-31.41983414	12.30348969	-35.25286865	31.69073296	13.92854691	-34.53247070	-0.06346384	-0.06181509	0.99606794	0.01089413	-0.07370201	0.99722081
12	776.21600000	473.36300000	3.87701130	3.40434718	-31.39343262	12.33043671	-35.21429443	31.71384430	13.91789246	-34.52172852	-0.06356370	-0.06118007	0.99610072	0.00880409	-0.07318342	0.99727964
12	779.08900000	472.63000000	3.88384795	3.40379667	-31.46617508	12.31559372	-35.21942520	31.64057922	13.91943359	-34.50704956	-0.05842349	-0.06038190	0.99646413	0.01427331	-0.07208603	0.99729627
12	776.48600000	468.73200000	3.87718773	3.42280483	-31.44552612	12.40753555	-35.20436859	31.65962601	13.98574448	-34.52814102	-0.05949906	-0.06628709	0.99602509	0.01352013	-0.07828150	0.99683964
13	775.92700000	469.42300000	3.89432359	3.41627336	-31.44016647	12.40549469	-35.23588943	31.66522980	13.98240662	-34.53220367	-0.06196561	-0.06759628	0.99578667	0.01282127	-0.07944696	0.99675667
13	774.92400000	470.88600000	3.89462233	3.42083836	-31.43604660	12.40914154	-35.23213577	31.67345047	13.97236633	-34.52919769	-0.06251194	-0.06741657	0.99576467	0.01269592	-0.07920477	0.99677753
13	776.78500000	470.39500000	3.88510585	3.42179298	-31.44936371	12.40208435	-35.22918701	31.66007996	13.95032883	-34.53048706	-0.05941183	-0.06615624	0.99603897	0.01420104	-0.07827449	0.99683070
13	777.74700000	468.29900000	3.89290476	3.41426826	-31.48069000	12.41519547	-35.24940872	31.62733841	14.01021576	-34.50551987	-0.05842280	-0.06833403	0.99595046	0.01438186	-0.08027993	0.99666864
17	774.54000000	472.34300000	3.89527798	3.41767454	-31.44890594	12.34648132	-35.24346161	31.66008949	13.96125031	-34.49774170	-0.06019828	-0.06414814	0.99612308	0.01305065	-0.07601865	0.99702102
