"eye_tracker","n_samples","mean_apparent_gaze_shift","sd_apparent_gaze_shift","t_statistic","df","p_value","p_value_adjusted","cohens_d","effect_size"
"EyeLink 1000 Plus",24,0.947657446528272,0.424368600554405,10.9399102191375,23,1.36735954175311e-10,6.83679770876555e-10,2.23309982239551,"Large"
"Pupil Core",24,3.4623128735557,2.02785474671102,8.3644056694258,23,1.9806947482334e-08,9.90347374116701e-08,1.70737715764466,"Large"
"Pupil Neon",24,0.937245516564274,0.426795475052582,10.7581894068154,23,1.89201492230196e-10,9.4600746115098e-10,2.19600621690941,"Large"
"SMI ETG",24,1.80783207922996,0.727688784956273,12.1707692252376,23,1.66620206492393e-11,8.33101032461966e-11,2.48434786491671,"Large"
"Tobii Glasses 2",6,1.49761165052638,0.903037432793631,4.06227277344248,5,0.00970739811662465,0.0485369905831233,1.65841591515579,"Large"
