"eye_tracker","mean_bright","sd_bright","mean_dark","sd_dark","mean_difference","mean_ratio","p_value","cohens_d"
"EyeLink 1000 Plus",3.0934563521808,0.526900876125764,5.80633146151705,0.908675574310866,2.71287510933625,1.8868203730807,1.47681139859897e-17,4.78528967469735
"Pupil Core",2.645747354991,0.525017458568008,4.73695852298855,0.863875994183873,2.09121116799755,1.80077276121933,9.18000750778563e-17,4.40455937769786
"Pupil Neon",3.37786045245418,0.507944758157518,5.4329998324838,0.694912700170442,2.05513938002961,1.61810179501616,4.99946525815693e-18,5.02506978107845
"SMI ETG",2.592950023117,0.386418743219044,4.63679819150555,0.622814784304101,2.04384816838855,1.79770495360906,1.62438778358181e-17,5.1392918139062
"Tobii Glasses 2",2.6755146819469,0.3065500924374,4.65222252896415,1.03149368349537,1.97670784701725,1.72295958585041,0.00134437198554761,2.62809318605244
