"eye_tracker","trial_condition","n","mean","median","sd","min","max","q25","q75"
"EyeLink 1000 Plus","bright",24,0.158270025323204,0,0.409106946757043,0,1.66600026656004,0,0.0199920031987205
"EyeLink 1000 Plus","dark",24,0.0744146785730152,0,0.252603492239624,0,0.946288151406104,0,0
"Pupil Core","bright",24,2.86034152284695,0.424790421821098,5.08147819590998,0,20.3510696653867,0,2.7796442941826
"Pupil Core","dark",24,5.7605118316915,0.974059108096521,8.13875579957762,0,26.7426091673447,0.0203362255965293,8.02309057115927
"Pupil Neon","bright",24,0.480987779662068,0,1.07305315388634,0,3.7248322147651,0,0
"Pupil Neon","dark",24,0.369994730072998,0,0.813793833607459,0,2.52100840336134,0,0
"SMI ETG","bright",24,1.67137512275717,1.31578947368421,0.995260099303903,0.666666666666667,4.86725663716814,1.0989010989011,1.79811308243897
"SMI ETG","dark",24,2.62976717153648,2.38871074224276,1.09758740442058,1.31291028446389,5.66448801742919,1.90502806583579,3.08065512548366
"Tobii Glasses 2","bright",6,11.7271809618342,12.2435282456499,5.13272901235595,3.52542372881356,16.8374816983895,9.38773356006119,15.8688734521407
"Tobii Glasses 2","dark",6,11.5349616123468,10.7962616152933,5.40231032100981,6.10006854009596,18.5685347738015,6.8242824238129,15.7853307310313
