"eye_tracker","n","mean_difference","sd_difference","median_difference","min_difference","max_difference","mean_ratio","sd_ratio"
"EyeLink 1000 Plus",24,2.71287510933625,0.566919725608425,2.75066937765293,1.23865841633774,3.8994957062821,1.8868203730807,0.180785152124034
"Pupil Core",24,2.09121116799755,0.474783284472501,2.09978471266564,0.870299226809649,3.16184459190624,1.80077276121933,0.165140693440402
"Pupil Neon",24,2.05513938002961,0.408977281821657,2.05186469823933,1.03690729885203,2.61915368031221,1.61810179501616,0.140119465115331
"SMI ETG",23,2.04384816838855,0.39769062399963,2.04780701754386,1.04908186559432,2.66508459940323,1.79770495360906,0.167523819212681
"Tobii Glasses 2",6,1.97670784701725,0.752145265437253,2.08146021592533,0.944330236795882,2.70624903081412,1.72295958585041,0.220986741919417
