"eye_tracker","n","mean","median","sd","min","max","q25","q75","abs_mean"
"EyeLink 1000 Plus",72,0.947657446528272,0.844592576753536,0.510209366615639,0.187481225087156,3.22068989917982,0.603835048327691,1.18678259839653,0.947657446528272
"Pupil Core",72,3.4623128735557,3.14777652550658,2.12658314676144,0.343110304536843,8.84492803275967,1.88902904935045,4.601291685007,3.4623128735557
"Pupil Neon",72,0.937245516564274,0.853330093427064,0.546422571434873,0.085533870111806,2.88966551112859,0.57895238946671,1.22832536880875,0.937245516564274
"SMI ETG",72,1.80783207922996,1.65921666894561,0.844042074458151,0.146502939991058,4.86305524580518,1.32160267922568,2.06752293404255,1.80783207922996
"Tobii Glasses 2",18,1.49761165052638,1.18590122154842,1.0068692391104,0.258677230859351,3.71854942897402,0.600673399673273,2.00540723091707,1.49761165052638
