"eye_tracker","n","mean_pct_change","median_pct_change","sd_pct_change","min_pct_change","max_pct_change"
"EyeLink 1000 Plus",24,-0.800247633222028,-13.6322061450635,74.2378072997985,-72.320173556793,314.721428766228
"Pupil Core",24,54.4962762998062,58.643222261712,37.7497040843726,-64.5986288414071,106.354301517897
"Pupil Neon",24,2.94077364483488,6.29020741607419,10.9252495543776,-28.1907462067893,18.3648687974466
"SMI ETG",24,-34.6584762136516,-32.9285320666031,31.623478634672,-91.7827728321754,50.3539667454655
"Tobii Glasses 2",6,-42.4560001877358,-38.6222361875555,36.9945205349791,-93.494554754062,-1.94132785145915
