frame,distance_from_width,distance_from_height,distance_average
576,920.5413255998411,924.9671164523257,922.7542210260834
577,919.4845955404392,922.1892687873872,920.8369321639132
578,917.3547682172847,924.7974188665802,921.0760935419324
578,917.3547682172847,924.7974188665802,921.0760935419324
579,920.570624293494,927.529979063484,924.050301678489
580,918.3645191853099,922.1348619566711,920.2496905709904
581,918.4314448788526,919.4157644607465,918.9236046697995
581,918.4314448788526,919.4157644607465,918.9236046697995
582,918.4169451501364,922.0394342291249,920.2281896896307
583,919.495861737596,922.0667208217785,920.7812912796873
584,920.5785165438366,922.139741300185,921.3591289220108
585,919.495861737596,922.0667208217785,920.7812912796873
586,920.5805386801723,927.6300900508837,924.105314365528
586,920.5805386801723,927.6300900508837,924.105314365528
586,920.5805386801723,927.6300900508837,924.105314365528
588,921.6669266594878,927.6049009527,924.6359138060939
589,921.69275290394,922.1156066070839,921.9041797555119
589,921.69275290394,922.1156066070839,921.9041797555119
590,921.6692537434018,924.8520694727158,923.2606616080589
591,920.5973946707553,930.3982783852988,925.497836528027
592,919.4915822359587,927.603383497717,923.5474828668379
593,922.7535203704917,927.6343688115481,925.19394459102
594,920.5797145997064,922.043667764303,921.3116911820048
594,920.5797145997064,922.043667764303,921.3116911820048
595,921.6573122635137,922.1177112612966,921.8875117624052
596,919.4649009866228,924.9310846002056,922.1979927934142
597,919.4737304417836,924.8489804530169,922.1613554474002
598,918.3939568262623,919.418253510947,918.9061051686047
598,918.3939568262623,919.418253510947,918.9061051686047
599,920.5562762146939,924.779788992275,922.6680326034844
600,922.752533145994,922.1470533880812,922.4497932670376
601,919.4577284166533,927.5580296446949,923.5078790306741
601,919.4577284166533,927.5580296446949,923.5078790306741
601,919.4577284166533,927.5580296446949,923.5078790306741
603,919.4992964596171,922.1963609390265,920.8478286993218
604,919.4928207532423,927.5581022247145,923.5254614889784
605,920.5743925663766,922.1447195543435,921.3595560603601
605,920.5743925663766,922.1447195543435,921.3595560603601
606,920.5998515537962,924.8819809394142,922.7409162466051
607,920.5829948849698,922.1464711855944,921.3647330352821
608,920.5998515537962,924.8819809394142,922.7409162466051
609,920.5647643671598,924.7222998849467,922.6435321260533
609,920.5647643671598,924.7222998849467,922.6435321260533
610,919.5014933112243,922.1192997240107,920.8103965176175
611,921.6862064350365,924.6997411012073,923.1929737681219
612,921.6872584568811,930.2164691697975,925.9518638133393
613,919.4772013921886,924.8529196762564,922.1650605342224
614,922.7549445086556,922.1480393613481,922.4514919350019
615,921.6852742646065,924.8558803619873,923.2705773132968
615,921.6852742646065,924.8558803619873,923.2705773132968
616,921.7215728579353,924.8574515706499,923.2895122142926
616,921.7215728579353,924.8574515706499,923.2895122142926
617,920.6083216926792,930.238892335054,925.4236070138666
618,920.6144509614072,921.9870779447086,921.3007644530579
619,921.6914626039832,924.7325727901421,923.2120176970626
620,920.5843539734054,921.9863537354836,921.2853538544446
621,920.5853706382591,927.4709805379708,924.0281755881149
621,920.5853706382591,927.4709805379708,924.0281755881149
622,920.5757278874984,922.1427114848327,921.3592196861655
623,920.6012491771388,924.8799576203415,922.7406033987402
624,920.6012491771388,924.8799576203415,922.7406033987402
625,920.5609239852802,924.8812341498988,922.7210790675895
626,920.624152787259,927.6334966444099,924.1288247158345
626,920.624152787259,927.6334966444099,924.1288247158345
627,921.6345969298646,924.8933750090551,923.2639859694599
628,919.4783774538259,924.807585372361,922.1429814130935
629,921.6692616164856,927.5638676018569,924.6165646091713
629,921.6692616164856,927.5638676018569,924.6165646091713
630,920.5585419627041,924.8123990149118,922.6854704888079
631,921.6705918585243,927.4470226694726,924.5588072639985
631,921.6705918585243,927.4470226694726,924.5588072639985
632,920.5820230565228,922.1436408357447,921.3628319461337
634,918.3959704808648,924.8761561692913,921.6360633250781
634,918.3959704808648,924.8761561692913,921.6360633250781
635,919.4917384123178,922.1971233435369,920.8444308779274
636,919.4917384123178,922.1971233435369,920.8444308779274
637,919.5025404646407,927.6062975325478,923.5544189985942
637,919.5025404646407,927.6062975325478,923.5544189985942
638,920.5828408098296,927.5353951854626,924.0591179976461
639,919.5001780454617,927.6054720420531,923.5528250437574
640,920.58314729633,922.1445633593954,921.3638553278627
640,920.58314729633,922.1445633593954,921.3638553278627
641,920.5601702627818,919.4234699878041,919.9918201252929
642,919.4979351914969,922.0724124069816,920.7851737992393
643,920.5820138974732,922.0817568159403,921.3318853567067
644,920.5610705626764,924.8181964304526,922.6896334965645
645,920.5391731595869,922.083004681637,921.311088920612
646,919.4712337046328,919.4309067538219,919.4510702292273
646,919.4712337046328,919.4309067538219,919.4510702292273
646,919.4712337046328,919.4309067538219,919.4510702292273
648,920.5782875394877,922.0458442822686,921.3120659108781
649,921.6288450922033,924.8533651253496,923.2411051087764
649,921.6288450922033,924.8533651253496,923.2411051087764
650,921.6288450922033,924.8533651253496,923.2411051087764
651,920.5782875394877,922.0458442822686,921.3120659108781
652,921.6202572856893,927.5606552707848,924.5904562782371
653,921.6655848848773,927.6089279914569,924.637256438167
654,921.6387013614595,924.8093736473352,923.2240375043973
654,921.6387013614595,924.8093736473352,923.2240375043973
655,921.6103126196232,922.120131585931,921.8652221027771
656,922.7247737128263,924.8847055940861,923.8047396534562
657,920.5512265570584,919.3274999294376,919.939363243248
658,921.6350737461669,919.354414137812,920.4947439419894
658,921.6350737461669,919.354414137812,920.4947439419894
659,921.6629479834958,927.6079342451613,924.6354411143286
660,920.5341953436591,922.1430203673634,921.3386078555113
661,919.470948416952,924.8050261942815,922.1379873056167
661,919.470948416952,924.8050261942815,922.1379873056167
661,919.470948416952,924.8050261942815,922.1379873056167
663,920.5948806502627,924.8801640668945,922.7375223585786
664,919.4532050805121,916.6470173736286,918.0501112270704
665,919.4509030841276,916.7245858222924,918.08774445321
665,919.4509030841276,916.7245858222924,918.08774445321
666,920.5599648681176,924.8155639005249,922.6877643843213
667,918.3656226151543,922.1377762315985,920.2516994233764
668,919.4442617703656,922.1487220575335,920.7964919139496
669,919.4870300192595,922.1124129542524,920.799721486756
669,919.4870300192595,922.1124129542524,920.799721486756
670,920.5436816288272,924.7801606059251,922.6619211173761
671,920.5268811241958,922.1706381136121,921.348759618904
672,921.6804229506639,924.889177208272,923.2848000794679
672,921.6804229506639,924.889177208272,923.2848000794679
674,920.5782875394877,922.0458442822686,921.3120659108781
674,920.5782875394877,922.0458442822686,921.3120659108781
675,919.4776052245678,919.3506891928213,919.4141472086945
676,921.66482857615,922.074008260277,921.8694184182134
676,921.66482857615,922.074008260277,921.8694184182134
677,919.4980956013362,922.1156373131286,920.8068664572324
678,919.5138630264101,919.3962544122277,919.4550587193189
679,920.5951390480434,924.7804316014565,922.6877853247499
680,920.5783233392143,922.0805188623953,921.3294211008048
680,920.5783233392143,922.0805188623953,921.3294211008048
681,918.3935108302292,924.8750768418048,921.6342938360169
682,919.5036228963282,924.9318552285508,922.2177390624395
683,921.6275354980336,924.9336094170014,923.2805724575176
684,920.5709447605748,922.1408231284976,921.3558839445361
685,919.446885243317,922.1149342780125,920.7809097606647
685,919.446885243317,922.1149342780125,920.7809097606647
686,919.4456148523543,922.1945492895381,920.8200820709462
687,920.5281004062787,922.1422579009434,921.3351791536111
688,919.4714952872971,919.3492987124849,919.410396999891
688,919.4714952872971,919.3492987124849,919.410396999891
689,921.6118265706664,922.1532038332746,921.8825152019705
690,920.5096994625402,924.8779301311425,922.6938147968414
691,917.2774363883887,924.7232201658024,921.0003282770956
691,917.2774363883887,924.7232201658024,921.0003282770956
692,921.639972829641,924.8906000053005,923.2652864174707
694,920.5779960697628,922.1446655211935,921.3613307954781
694,920.5779960697628,922.1446655211935,921.3613307954781
695,920.5714356581707,927.6331397153809,924.1022876867758
895,920.5746144241605,922.0420357249324,921.3083250745465
896,919.491905460842,922.1108177125968,920.8013615867194
896,919.491905460842,922.1108177125968,920.8013615867194
897,920.5746144241605,922.0420357249324,921.3083250745465
898,920.5746144241605,922.0420357249324,921.3083250745465
899,918.4131327254476,922.1346057939239,920.2738692596857
899,918.4131327254476,922.1346057939239,920.2738692596857
900,919.469909198381,924.802126400978,922.1360177996794
901,919.4933011600468,922.0658202575502,920.7795607087985
901,919.4933011600468,922.0658202575502,920.7795607087985
902,919.469909198381,924.802126400978,922.1360177996794
903,919.469909198381,924.802126400978,922.1360177996794
904,919.469909198381,924.802126400978,922.1360177996794
905,919.4933011600468,922.0658202575502,920.7795607087985
906,920.5683719614976,922.1397534749577,921.3540627182276
907,919.4856356463752,922.067141918552,920.7763887824635
907,919.4856356463752,922.067141918552,920.7763887824635
908,919.4856356463752,922.067141918552,920.7763887824635
909,919.4945309777835,922.1116335532333,920.8030822655085
910,920.5772469269002,922.0429319360275,921.3100894314639
910,920.5772469269002,922.0429319360275,921.3100894314639
911,920.5772469269002,922.0429319360275,921.3100894314639
912,920.5772469269002,922.0429319360275,921.3100894314639
913,919.4711982105761,924.8480751546278,922.159636682602
914,919.4870300192595,922.1124129542524,920.799721486756
915,919.4724744644907,924.8030323054446,922.1377533849677
916,919.4882691345199,922.0680473717947,920.7781582531572
916,919.4882691345199,922.0680473717947,920.7781582531572
916,919.4882691345199,922.0680473717947,920.7781582531572
917,919.4882691345199,922.0680473717947,920.7781582531572
918,920.5782875394877,922.0458442822686,921.3120659108781
919,920.5782875394877,922.0458442822686,921.3120659108781
920,919.4968998891165,922.0696130797159,920.7832564844161
921,919.4714952872971,919.3492987124849,919.410396999891
922,919.4714952872971,919.3492987124849,919.410396999891
