eye_tracker,participant_id,trial_number,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,pup_diam_l,pup_diam_r,gaze_x,gaze_y,distance_average,gaze_angle_x,gaze_angle_y,target_angle_x,target_angle_y,distance_to_target
SMI ETG,460,1,590,dark,684.9984741210938,432.0007019042969,473.8249206542969,352.89898681640625,898.2976684570312,342.8493957519531,475.8623352050781,519.0411376953125,902.2615356445312,514.0633544921875,5.5,5.48,665.599609375,490.3702392578125,923.2606616080589,-0.9814935842430179,2.9509078576699665,0.0,0.0,3.1098531863045493
SMI ETG,460,1,591,dark,684.9984741210938,432.0007019042969,473.8249206542969,352.89898681640625,898.296630859375,343.85125732421875,474.8601989746094,519.0415649414062,902.2610473632812,513.0621337890625,5.56,5.46,669.6295166015625,491.3703308105469,925.497836528027,-0.7775741465773536,3.0011724733740124,0.0,0.0,3.1002673704639387
SMI ETG,460,1,592,dark,684.9984741210938,432.0007019042969,472.8233947753906,353.8995361328125,898.296630859375,343.85125732421875,474.8597717285156,520.04248046875,902.2615356445312,514.0633544921875,5.5,5.44,671.409423828125,489.53033447265625,923.547482866838,-0.6875504022573017,2.9084033861233336,0.0,0.0,2.9885675184037335
SMI ETG,460,1,593,dark,684.9984741210938,432.0007019042969,473.8249206542969,352.89898681640625,897.2931518554688,343.8523254394531,474.8597717285156,520.04248046875,901.2577514648438,513.0616455078125,5.52,5.48,667.8095092773438,487.5502014160156,925.19394459102,-0.8696214710205229,2.808316503480194,0.0,0.0,2.939878073420583
SMI ETG,460,1,594,dark,684.9984741210938,432.0007019042969,472.8217468261719,351.8967590332031,897.2942504882812,342.8504638671875,474.8597717285156,520.04248046875,902.2610473632812,513.0621337890625,5.52,5.48,663.8096313476562,487.8501892089844,921.3116911820048,-1.071939942494808,2.8234580349541494,0.0,0.0,3.0200944547253683
SMI ETG,460,1,594,dark,684.9984741210938,432.0007019042969,472.8217468261719,351.8967590332031,897.2942504882812,342.8504638671875,474.8597717285156,520.04248046875,902.2610473632812,513.0621337890625,5.56,5.46,665.5096435546875,489.6002197265625,921.3116911820048,-0.9859543322793806,2.9117804811573755,0.0,0.0,3.074178185432581
SMI ETG,460,1,595,dark,684.9984741210938,432.0007019042969,473.8225708007813,352.8981628417969,898.2942504882812,342.8504638671875,475.8597717285156,520.04248046875,902.2582397460938,514.0628662109375,5.5,5.5,663.9796752929688,490.1202087402344,921.8875117624052,-1.0633929502737107,2.938168851232294,0.0,0.0,3.124682506278602
SMI ETG,460,1,596,dark,684.9984741210938,432.0007019042969,473.8233947753906,353.8995361328125,899.2976684570312,342.8493957519531,474.8576049804687,520.0429077148438,902.2582397460938,514.0628662109375,5.54,5.5,664.2597045898438,490.5502014160156,922.1979927934142,-1.0492714780547765,2.959988459983444,0.0,0.0,3.140462118525618
SMI ETG,460,1,597,dark,684.9984741210938,432.0007019042969,473.8225708007813,352.8981628417969,899.2976684570312,342.8493957519531,475.8597717285156,520.04248046875,903.2610473632812,513.0621337890625,5.52,5.5,666.129638671875,490.2702331542969,922.1613554474002,-0.9546126204124477,2.9456484914644085,0.0,0.0,3.096470618352008
SMI ETG,460,1,598,dark,684.9984741210938,432.0007019042969,472.8225708007813,352.8981628417969,898.2976684570312,342.8493957519531,473.857177734375,521.0437622070312,902.2615356445312,514.0633544921875,5.58,5.46,664.629638671875,490.2702331542969,918.9061051686048,-1.0304878829430955,2.945657010169379,0.0,0.0,3.1207051284048846
SMI ETG,460,1,598,dark,684.9984741210938,432.0007019042969,472.8225708007813,352.8981628417969,898.2976684570312,342.8493957519531,473.857177734375,521.0437622070312,902.2615356445312,514.0633544921875,5.6,5.46,666.7095947265625,491.4503173828125,918.9061051686048,-0.9252793304521776,3.0052046756869233,0.0,0.0,3.1444231557048066
SMI ETG,460,1,599,dark,684.9984741210938,432.0007019042969,473.8225708007813,351.89813232421875,898.2942504882812,341.8504333496094,475.8597717285156,519.0424499511719,903.2610473632812,512.0621032714844,5.54,5.46,664.2496948242188,490.3302001953125,922.6680326034844,-1.04970659458448,2.94868616889864,0.0,0.0,3.1299575168631737
SMI ETG,460,1,600,dark,684.9984741210938,432.0007019042969,473.8249206542969,351.8989562988281,897.2931518554688,342.852294921875,474.8593444824219,520.0433044433594,901.2582397460938,513.0628356933594,5.62,5.44,665.9196166992188,490.790283203125,922.4497932670376,-0.9652171756138443,2.9718331596146803,0.0,0.0,3.1246498243299747
SMI ETG,460,1,601,dark,684.9984741210938,432.0007019042969,473.8233947753906,353.8995361328125,898.2931518554688,343.8523254394531,474.857177734375,521.0437622070312,903.2610473632812,513.0621337890625,5.54,5.48,665.9996337890625,491.3902893066406,923.507879030674,-0.9611749634096988,3.002124575858721,0.0,0.0,3.152238772564753
SMI ETG,460,1,601,dark,684.9984741210938,432.0007019042969,473.8233947753906,353.8995361328125,898.2931518554688,343.8523254394531,474.857177734375,521.0437622070312,903.2610473632812,513.0621337890625,5.68,5.5,669.2696533203125,494.4104309082031,923.507879030674,-0.795764092470438,3.154490879471952,0.0,0.0,3.2533141870309774
SMI ETG,460,1,601,dark,684.9984741210938,432.0007019042969,473.8233947753906,353.8995361328125,898.2931518554688,343.8523254394531,474.857177734375,521.0437622070312,903.2610473632812,513.0621337890625,5.56,5.52,666.9596557617188,491.3902893066406,923.507879030674,-0.9126146905891709,3.002124575858721,0.0,0.0,3.1377727040775394
