frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l_px_x	pup_diam_l_px_y	pup_diam_r_px_x	pup_diam_r_px_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
0	31.15400000	-1.20500000	-21.73800000	3.62000000	0.03350000	0.03500000	0.99880000	-30.22400000	0.50700000	-21.73000000	3.92000000	0.05890000	0.02750000	0.99790000	581.69000000	249.65000000	96.00000000	71.00000000	98.00000000	68.00000000	572.82000000	324.60000000	591.31000000	229.14000000
1	31.15500000	-1.20500000	-21.73700000	3.64000000	0.03430000	0.03710000	0.99870000	-30.22400000	0.50700000	-21.73000000	3.82000000	0.05690000	0.02950000	0.99800000	582.54000000	246.73000000	97.00000000	69.00000000	98.00000000	64.00000000	571.94000000	322.14000000	593.73000000	226.71000000
1	31.15500000	-1.20500000	-21.73700000	3.64000000	0.03430000	0.03620000	0.99880000	-30.22400000	0.50700000	-21.73000000	3.94000000	0.05760000	0.02510000	0.99800000	581.98000000	250.59000000	97.00000000	71.00000000	98.00000000	68.00000000	571.88000000	323.21000000	592.91000000	232.17000000
2	31.15500000	-1.20600000	-21.73700000	3.62000000	0.03500000	0.03670000	0.99870000	-30.22400000	0.50700000	-21.73000000	3.96000000	0.05830000	0.02520000	0.99800000	581.16000000	250.28000000	97.00000000	70.00000000	98.00000000	68.00000000	571.11000000	322.62000000	592.07000000	231.99000000
3	31.15500000	-1.20600000	-21.73700000	3.66000000	0.03340000	0.03560000	0.99880000	-30.22400000	0.50700000	-21.73000000	3.88000000	0.05570000	0.02840000	0.99800000	583.72000000	248.21000000	97.00000000	71.00000000	98.00000000	68.00000000	572.94000000	323.86000000	595.06000000	228.14000000
4	31.15500000	-1.20600000	-21.73700000	3.64000000	0.03430000	0.03720000	0.99870000	-30.22400000	0.50700000	-21.73000000	3.98000000	0.05800000	0.02650000	0.99800000	581.74000000	249.09000000	98.00000000	71.00000000	100.00000000	68.00000000	571.87000000	321.94000000	592.43000000	230.44000000
4	31.15500000	-1.20600000	-21.73700000	3.64000000	0.03610000	0.03570000	0.99870000	-30.22400000	0.50700000	-21.73000000	3.92000000	0.05800000	0.02640000	0.99800000	580.83000000	249.54000000	97.00000000	71.00000000	98.00000000	68.00000000	569.85000000	323.79000000	592.44000000	230.49000000
5	31.15500000	-1.20700000	-21.73700000	3.64000000	0.03530000	0.03490000	0.99880000	-30.22400000	0.50700000	-21.73000000	3.94000000	0.05320000	0.02850000	0.99820000	584.27000000	247.68000000	97.00000000	70.00000000	98.00000000	68.00000000	570.76000000	324.65000000	598.07000000	227.96000000
6	31.15500000	-1.20700000	-21.73700000	3.62000000	0.03430000	0.03620000	0.99880000	-30.22400000	0.50700000	-21.73000000	3.96000000	0.05800000	0.02720000	0.99790000	581.74000000	249.03000000	97.00000000	70.00000000	98.00000000	68.00000000	571.85000000	323.21000000	592.35000000	229.55000000
7	31.15500000	-1.20700000	-21.73700000	3.62000000	0.03610000	0.03440000	0.99880000	-30.22400000	0.50700000	-21.73000000	3.92000000	0.05740000	0.02720000	0.99800000	581.24000000	249.45000000	97.00000000	70.00000000	98.00000000	68.00000000	569.80000000	325.23000000	593.16000000	229.60000000
