frame_idx	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l	pup_diam_r	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z
27	819.07700000	565.62800000	3.11462784	3.21679664	-31.08607864	10.13988876	-33.60626221	31.89746094	10.31768799	-33.65403748	0.14576110	-0.00711022	0.98929429	-0.12201281	-0.02139254	0.99229801
27	818.33600000	565.25600000	3.11382413	3.21325994	-31.09939957	10.11198425	-33.60684967	31.88289833	10.31241608	-33.61137390	0.14677145	-0.00484219	0.98915857	-0.12206351	-0.01936593	0.99233341
27	818.70700000	563.24500000	3.10436153	3.20349336	-31.06671143	10.13922882	-33.59134674	31.91735268	10.34629822	-33.58484268	0.14450289	-0.00569738	0.98948801	-0.12628131	-0.02034862	0.99178576
27	819.86400000	561.03600000	3.09844518	3.20097899	-31.07336426	10.20901108	-33.56195068	31.90799522	10.42061615	-33.56553650	0.14564417	-0.01031290	0.98928332	-0.12654942	-0.02497310	0.99164593
27	816.95100000	563.43100000	3.10641599	3.20884347	-31.08539581	10.20792007	-33.56233597	31.89542770	10.41077423	-33.57644653	0.14573185	-0.01146594	0.98925769	-0.12496081	-0.02583006	0.99182540
28	816.46200000	564.39000000	3.10824656	3.20381856	-31.10359192	10.12468719	-33.56938553	31.87817574	10.32712936	-33.59170914	0.14642829	-0.00549401	0.98920608	-0.12215309	-0.02004458	0.99230886
28	816.77400000	565.42900000	3.10417366	3.20543671	-31.09131241	10.15969849	-33.58895874	31.88975143	10.35953522	-33.60298920	0.14502978	-0.00862878	0.98938966	-0.12209836	-0.02349534	0.99223989
28	816.05700000	567.69300000	3.11021352	3.21395993	-31.07618713	10.06233978	-33.60153961	31.90711594	10.26782227	-33.62352753	0.14335951	-0.00136499	0.98966974	-0.12303978	-0.01591727	0.99227411
28	815.97600000	567.71700000	3.10823178	3.20553660	-31.10675049	10.12258148	-33.58419037	31.87599945	10.32907104	-33.58823013	0.14604057	-0.00602437	0.98926026	-0.12223423	-0.02037985	0.99229205
28	816.11500000	568.87400000	3.10683894	3.20430160	-31.10782623	10.10945892	-33.57663727	31.87439919	10.32207489	-33.58705902	0.14678860	-0.00495865	0.98915547	-0.12246385	-0.01939752	0.99228340
28	817.82700000	569.30200000	3.11085916	3.19945335	-31.10246277	10.03444290	-33.61006927	31.88098907	10.26389313	-33.58785248	0.14470010	-0.00014762	0.98947555	-0.12256074	-0.01463127	0.99235320
28	818.28200000	567.96000000	3.10998416	3.18869662	-31.10968781	10.02758026	-33.60832977	31.87081528	10.27914429	-33.57962036	0.14647435	0.00032218	0.98921442	-0.12261619	-0.01438417	0.99234992
29	819.33200000	564.62600000	3.11449456	3.19408464	-31.06858826	10.07820892	-33.61240387	31.91022110	10.32115173	-33.61243057	0.14228708	-0.00525345	0.98981148	-0.12430738	-0.01956021	0.99205095
33	817.77500000	563.53500000	3.12741923	3.20757174	-31.10782623	10.06473541	-33.59085846	31.87128448	10.33064270	-33.59396362	0.14497878	-0.00345842	0.98942876	-0.12193485	-0.01766892	0.99238086
33	819.12200000	565.87600000	3.12857151	3.21896458	-31.11931229	10.13835907	-33.62008286	31.85905838	10.38003540	-33.59270096	0.14404124	-0.01081784	0.98951256	-0.11961062	-0.02483272	0.99251026
33	820.72400000	566.35800000	3.11900616	3.21388292	-31.11209488	10.13302612	-33.60910034	31.86818695	10.35706329	-33.61906052	0.14402448	-0.00773975	0.98954386	-0.11921709	-0.02217616	0.99262053
33	821.65600000	567.84400000	3.11168528	3.20080733	-31.11954117	10.17213440	-33.58227539	31.86019135	10.39128113	-33.58761978	0.14609511	-0.00907854	0.98922890	-0.12107091	-0.02340250	0.99236798
33	822.67600000	564.39500000	3.11861348	3.20520830	-31.10213852	10.20351410	-33.59173965	31.87630653	10.42713928	-33.59845734	0.14431635	-0.01173557	0.98946202	-0.12282554	-0.02631603	0.99207932
33	822.04300000	563.92100000	3.11476421	3.20888400	-31.10728836	10.18891144	-33.58943939	31.87014580	10.40481949	-33.60282516	0.14446655	-0.01178397	0.98943955	-0.12115324	-0.02597295	0.99229395
34	821.15800000	565.33400000	3.11937904	3.20210266	-31.10888672	10.15302658	-33.62394714	31.86826515	10.39598846	-33.56298065	0.14165279	-0.00901763	0.98987538	-0.12346609	-0.02312506	0.99207932
34	822.86000000	566.42600000	3.11370015	3.20739293	-31.12791443	10.16418457	-33.58980560	31.84881592	10.38217926	-33.58755493	0.14691783	-0.00890868	0.98910862	-0.12232032	-0.02326474	0.99221796
34	821.37800000	565.71400000	3.11535358	3.20747757	-31.12345886	10.16631317	-33.57916260	31.85449600	10.38100433	-33.58948517	0.14676772	-0.00916806	0.98912853	-0.12094951	-0.02344732	0.99238169
34	820.22600000	564.86700000	3.11007476	3.20057368	-31.14125061	10.09778976	-33.59281158	31.83838272	10.35559845	-33.57538605	0.14640822	-0.00523426	0.98921043	-0.12072729	-0.02004684	0.99248326
34	820.44100000	563.41300000	3.11579919	3.20215535	-31.14254379	10.09209442	-33.57652664	31.83696556	10.35210037	-33.58215332	0.14722629	-0.00443307	0.98909289	-0.11983566	-0.01897524	0.99261242
34	820.13300000	565.04200000	3.11053610	3.19803596	-31.17549515	10.10826111	-33.59119415	31.80212402	10.39450073	-33.53845215	0.14948472	-0.00642669	0.98874319	-0.11966027	-0.02124404	0.99258757
34	822.70800000	564.83100000	3.11122012	3.19218206	-31.18996429	10.11837769	-33.57280731	31.78878021	10.36804962	-33.54834366	0.15125607	-0.00574042	0.98847795	-0.11709300	-0.02013242	0.99291688
35	820.83700000	565.09900000	3.13484716	3.20409846	-31.17028809	10.12530518	-33.62042236	31.80889320	10.40306091	-33.57404327	0.14691344	-0.00917534	0.98910683	-0.11896132	-0.02337295	0.99262381
35	818.68900000	565.92900000	3.13507771	3.20470524	-31.16316986	10.15657806	-33.61951065	31.81566238	10.44975662	-33.56182861	0.14707033	-0.01160993	0.98905790	-0.12013875	-0.02550628	0.99242944
35	820.43500000	566.06300000	3.13379121	3.20825863	-31.14080048	10.05878067	-33.64265442	31.84051514	10.31962967	-33.60559845	0.14448111	-0.00432280	0.98949814	-0.12000555	-0.01851255	0.99260062
35	819.04900000	567.69400000	3.11700749	3.19984150	-31.12435913	10.09389877	-33.60386658	31.85724068	10.32259369	-33.63022995	0.14617403	-0.00507107	0.98924589	-0.11918916	-0.01930670	0.99268383
35	819.76900000	562.82700000	3.11128736	3.20195436	-31.12525558	10.04372406	-33.62608337	31.85657310	10.27786255	-33.66330719	0.14441469	-0.00160067	0.98951596	-0.11834586	-0.01620393	0.99284023
35	819.30700000	563.58300000	3.11793303	3.20191216	-31.12432098	10.02296448	-33.62812805	31.85692978	10.27810669	-33.66145325	0.14393848	-0.00078945	0.98958635	-0.11850090	-0.01544991	0.99283373
35	819.91400000	563.72500000	3.13166046	3.21000767	-31.15326309	10.08786774	-33.62464905	31.82803726	10.35947800	-33.62785339	0.14529620	-0.00733111	0.98936105	-0.11646383	-0.02194006	0.99295259
36	820.47600000	564.64300000	3.12736106	3.20660996	-31.16094971	10.05524063	-33.63939285	31.81943130	10.34650421	-33.62495422	0.14478454	-0.00571812	0.98944670	-0.11792587	-0.02029463	0.99281502
36	820.59700000	564.14600000	3.12712002	3.19792914	-31.15535355	10.09235001	-33.63088226	31.82474327	10.33717346	-33.63558197	0.14599103	-0.00631499	0.98926580	-0.11714835	-0.02035529	0.99290580
36	819.27800000	562.88100000	3.12425709	3.19633222	-31.16630554	10.10882568	-33.63075256	31.81295395	10.35712433	-33.63735199	0.14624549	-0.00771019	0.98921829	-0.11603978	-0.02157990	0.99301010
36	818.40400000	563.46400000	3.11318588	3.20061493	-31.12903595	10.10564804	-33.60433960	31.85165787	10.36040497	-33.61510086	0.14458354	-0.00688063	0.98946869	-0.12003725	-0.02063204	0.99255502
36	817.90000000	563.55300000	3.12268233	3.19435406	-31.17306519	10.10736465	-33.59185791	31.80798531	10.35202789	-33.60646820	0.14857975	-0.00647354	0.98887926	-0.11733249	-0.02017056	0.99288785
36	817.28100000	562.82200000	3.12327504	3.19632673	-31.12847137	10.08489609	-33.62149811	31.85275650	10.32870483	-33.64577103	0.14495644	-0.00634241	0.98941779	-0.11744983	-0.02010060	0.99287540
37	816.79500000	563.03200000	3.12419391	3.19325876	-31.15422821	10.12796402	-33.60251617	31.82765007	10.37637329	-33.66198730	0.14772351	-0.00939241	0.98898411	-0.11473354	-0.02323053	0.99312466
37	818.34900000	561.67600000	3.10943961	3.18901634	-31.12710953	10.08329391	-33.59516907	31.85447884	10.35003281	-33.62688446	0.14563894	-0.00537826	0.98932320	-0.12035697	-0.01944340	0.99254024
37	818.56500000	561.43000000	3.10851836	3.18594646	-31.16472244	10.05128860	-33.62178802	31.81698227	10.31721115	-33.62081909	0.14691254	-0.00340716	0.98914367	-0.11790995	-0.01756594	0.99286896
37	817.84000000	561.74500000	3.12575698	3.18999529	-31.15785599	10.05648804	-33.65081024	31.82266617	10.34344482	-33.59729004	0.14474453	-0.00517668	0.98945552	-0.11941426	-0.01919550	0.99265897
37	817.75300000	564.31000000	3.11857224	3.19439650	-31.16317749	10.03278732	-33.62770081	31.81846237	10.32130814	-33.59528351	0.14655617	-0.00263719	0.98919886	-0.11913363	-0.01690431	0.99273431
37	819.39600000	564.08000000	3.11619329	3.20462632	-31.16806793	10.11496735	-33.62971115	31.81040192	10.40368652	-33.57744598	0.14724177	-0.00779160	0.98906988	-0.11898112	-0.02182005	0.99265671
37	819.02600000	563.07700000	3.10952139	3.20220923	-31.14033127	10.12916565	-33.59709549	31.83867264	10.39762878	-33.57963562	0.14617318	-0.00813778	0.98922557	-0.12161691	-0.02218510	0.99232918
38	819.19900000	562.92000000	3.11592865	3.20289063	-31.14342499	10.07225037	-33.62227631	31.83726501	10.32718658	-33.61030197	0.14675632	-0.00505009	0.98915976	-0.12034245	-0.01897536	0.99255109
38	818.02600000	563.58200000	3.10305429	3.20370746	-31.13808060	10.11596680	-33.60677338	31.84357643	10.34358978	-33.61410522	0.14736570	-0.00702594	0.98905712	-0.12105820	-0.02118564	0.99241930
38	818.51300000	564.17300000	3.10938191	3.20077729	-31.15501404	10.06019974	-33.59789276	31.82616997	10.31139374	-33.58425903	0.14845692	-0.00190072	0.98891705	-0.12210236	-0.01648261	0.99238068
38	819.33900000	564.03200000	3.11195970	3.21338272	-31.12197495	10.06677246	-33.58709717	31.85930634	10.28408432	-33.63781738	0.14703119	-0.00183217	0.98913020	-0.12072524	-0.01610857	0.99255526
38	818.16500000	563.15400000	3.10392070	3.19804478	-31.13316345	10.14271545	-33.60100174	31.84603691	10.37330627	-33.61944580	0.14696787	-0.00799533	0.98910898	-0.12127080	-0.02221954	0.99237078
38	819.10400000	563.11900000	3.10000849	3.20044470	-31.13761139	10.16388702	-33.57917023	31.84231758	10.38047791	-33.64655304	0.14852573	-0.00860685	0.98887110	-0.12002703	-0.02295607	0.99250519
38	819.28900000	562.34200000	3.10734153	3.19710827	-31.14237976	10.14836884	-33.58606339	31.83506393	10.37467575	-33.60364532	0.14871055	-0.00825090	0.98884636	-0.12255249	-0.02242894	0.99220860
