eye_tracker,frame,trial_condition,segment,target_x,target_y,gaze_pos_vid_x,gaze_pos_vid_y,pup_diam_l,pup_diam_r,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_target_angle
Pupil Neon,696,dilated,1,776,540,787.788,522.676,5.2085228,5.09512758,-32.18344879,12.13240051,-40.44368744,30.830019,14.35926056,-40.81920242,0.00412383,-0.02063097,0.99977869,-0.09899089,-0.02800616,0.99469417,1.353287214426797
Pupil Neon,696,dilated,1,776,540,787.464,524.612,5.21177149,5.09605503,-32.23231888,12.05568695,-40.47681808,30.78091431,14.30789185,-40.85435867,0.00621368,-0.01657438,0.99984336,-0.09350915,-0.02373918,0.9953354,1.2392432214648925
Pupil Neon,696,dilated,1,776,540,787.344,522.332,5.19416094,5.08341074,-32.30173111,12.05461884,-40.45385361,30.71250725,14.31164169,-40.80018616,0.01162697,-0.01589236,0.99980611,-0.08965015,-0.02314997,0.99570423,1.3560440357162884
Pupil Neon,697,dilated,1,777,540,786.854,521.669,5.21511126,5.09136677,-32.30509186,12.09900665,-40.45632172,30.7090683,14.35663605,-40.80671692,0.01337055,-0.01933316,0.99972373,-0.08887322,-0.02629232,0.99569589,1.344249900701922
Pupil Neon,697,dilated,1,777,540,787.64,522.193,5.20941305,5.08007622,-32.2926178,12.0999527,-40.45154572,30.71981239,14.38035965,-40.74200058,0.01233607,-0.01943089,0.99973512,-0.09149961,-0.02645641,0.9954536,1.3397920702690977
Pupil Neon,697,dilated,1,777,540,788.292,522.546,5.21701288,5.09497643,-32.30510712,12.08252716,-40.48841858,30.70790291,14.37795258,-40.7338562,0.01077018,-0.01884055,0.9997645,-0.09304649,-0.02595459,0.99532342,1.3426227948834561
Pupil Neon,697,dilated,1,777,540,786.484,522.102,5.21699142,5.10529184,-32.28923035,12.07432556,-40.47208786,30.71903038,14.37959671,-40.75072479,0.00964661,-0.0184439,0.9997834,-0.09326747,-0.02573425,0.99530846,1.3083380358869816
Pupil Neon,697,dilated,1,777,540,786.823,521.407,5.2098465,5.09627008,-32.21458435,12.11685181,-40.45087433,30.7983036,14.40594482,-40.80407333,0.00541955,-0.02193911,0.99974465,-0.09540561,-0.02919907,0.99501014,1.3582500915503004
Pupil Neon,697,dilated,1,777,540,787.178,522.051,5.2165184,5.0710268,-32.24969482,12.09187317,-40.4583168,30.76010132,14.37740326,-40.73041534,0.00836688,-0.01797655,0.99980342,-0.09778146,-0.02531632,0.99488586,1.3327372919125464
Pupil Neon,697,dilated,1,777,540,787.294,526.323,5.21501303,5.07880116,-32.22358322,12.08739471,-40.42424774,30.7873497,14.34478378,-40.75157928,0.00760576,-0.01703315,0.99982601,-0.0988081,-0.02445971,0.99480587,1.1055318769274793
Pupil Neon,698,dilated,1,776,540,788.648,522.424,5.20895052,5.0838809,-32.1969986,12.01866531,-40.42277908,30.81642532,14.29845428,-40.81646729,0.00473992,-0.01257677,0.9999097,-0.09638512,-0.02010524,0.99514103,1.398425148965073
Pupil Neon,698,dilated,1,776,540,788.767,521.144,5.22196341,5.1020999,-32.25463867,12.03405762,-40.48316574,30.76045799,14.28375626,-40.81514359,0.00710042,-0.01362012,0.99988204,-0.09309515,-0.02101903,0.99543536,1.4706406263336769
Pupil Neon,698,dilated,1,776,540,788.676,522.307,5.21513271,5.09464645,-32.18941116,12.07939911,-40.40587616,30.82450104,14.31616211,-40.76222992,0.00502029,-0.01579557,0.99986267,-0.1000462,-0.02291912,0.99471879,1.4056191610228779
Pupil Neon,698,dilated,1,776,540,788.143,522.262,5.21419048,5.08172417,-32.22148895,12.09827042,-40.40694427,30.79250526,14.34433746,-40.76534271,0.00888951,-0.01793197,0.99979967,-0.09801928,-0.02477266,0.99487615,1.3882853285900625
Pupil Neon,698,dilated,1,776,540,787.694,522.401,5.20961237,5.08215237,-32.2516098,12.08026505,-40.4219017,30.75723839,14.36909485,-40.7011528,0.00890174,-0.01750563,0.99980712,-0.0971983,-0.02463263,0.99496019,1.3646515163306923
Pupil Neon,698,dilated,1,776,540,788.161,524.241,5.20811176,5.07164621,-32.30039597,12.08888245,-40.39030838,30.70782471,14.37895966,-40.67724609,0.01330565,-0.01715616,0.99976432,-0.0942371,-0.02450237,0.9952482,1.2855037867809662
Pupil Neon,698,dilated,1,776,540,787.859,520.428,5.2125001,5.10351944,-32.21695328,12.09742737,-40.39271164,30.79632187,14.36574936,-40.78635788,0.00675582,-0.01807703,0.9998138,-0.09789262,-0.02544884,0.99487156,1.4780065643785292
Pupil Neon,699,dilated,1,776,540,788.569,520.797,5.20984459,5.10525608,-32.24175262,12.08229446,-40.41441345,30.7715435,14.36230087,-40.74834824,0.00698656,-0.01714579,0.99982864,-0.09640276,-0.02452728,0.99504018,1.482230296574727
Pupil Neon,699,dilated,1,776,540,788.986,520.125,5.20520496,5.10537577,-32.21855545,12.06909943,-40.40237045,30.79378891,14.33974457,-40.73609161,0.00749227,-0.0152518,0.99985564,-0.09915673,-0.02264084,0.99481422,1.533283155248178
Pupil Neon,699,dilated,1,776,540,788.403,520.353,5.21825171,5.12068224,-32.28663635,12.0870018,-40.43033218,30.72491646,14.36700439,-40.7722435,0.01099319,-0.01817071,0.99977446,-0.09188057,-0.02569791,0.9954384,1.5005760185783796
Pupil Neon,699,dilated,1,776,540,788.834,521.116,5.21006155,5.1126461,-32.21463776,12.01773071,-40.40864563,30.79678535,14.29030609,-40.74874115,0.00594875,-0.01199686,0.99991035,-0.09741148,-0.01960908,0.99505103,1.474562764996443
Pupil Neon,699,dilated,1,776,540,790.001,523.13,5.21360826,5.12221813,-32.2355423,12.02505112,-40.43518066,30.77920532,14.27360535,-40.80953598,0.00699177,-0.01293651,0.99989188,-0.09334085,-0.02073466,0.99541831,1.4157183516201002
Pupil Neon,699,dilated,1,776,540,790.427,522.287,5.20891619,5.13849258,-32.16634369,12.03722,-40.39293671,30.84825516,14.24866104,-40.84358215,0.00341029,-0.01176883,0.99992496,-0.09794434,-0.01952612,0.99500036,1.4752420741726187
Pupil Neon,700,dilated,1,776,540,788.717,521.467,5.19507694,5.10610819,-32.20135498,12.05823517,-40.37718201,30.81307411,14.27046967,-40.78961182,0.00783513,-0.01247414,0.99989152,-0.09774029,-0.01996949,0.99501163,1.451579564988822
Pupil Neon,700,dilated,1,776,540,788.746,522.964,5.19633389,5.10291624,-32.19559479,12.11642456,-40.34819031,30.81795692,14.33277893,-40.80301666,0.00868957,-0.01679477,0.99982119,-0.09805847,-0.02401257,0.99489093,1.374030684298421
Pupil Neon,700,dilated,1,776,540,789.835,522.676,5.21023989,5.11398888,-32.20235825,12.13603592,-40.3717041,30.81201363,14.35747528,-40.77627563,0.00807981,-0.01848049,0.99979657,-0.09988772,-0.02600083,0.99465895,1.4317103161443632
Pupil Neon,700,dilated,1,776,540,790.461,523.519,5.21036005,5.10806942,-32.25851059,12.10438538,-40.41783905,30.75559235,14.35578156,-40.77827835,0.01161544,-0.0175837,0.99977791,-0.09435562,-0.02521443,0.99521923,1.415855644009532
Pupil Neon,700,dilated,1,776,540,789.441,526.41,5.19706774,5.11593103,-32.27332306,12.03092575,-40.3757782,30.74184799,14.2686882,-40.80509567,0.01363935,-0.01101309,0.99984634,-0.09114073,-0.01875664,0.99566138,1.234243524252508
