timestamp	frame_idx	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_pos_vid_x	gaze_pos_vid_y	gaze_pos_3d_x	gaze_pos_3d_y	gaze_pos_3d_z
-439.75700000	0	-0.01660000	0.12820000	0.99160000	29.32000000	-25.04000000	-29.29000000	2.42000000	0.02870000	0.12530000	0.99170000	-30.07000000	-21.68000000	-26.52000000	2.52000000	976.51200000	422.38800000	7.53000000	142.77000000	1271.41000000
-429.76200000	1	-0.01150000	0.13710000	0.99050000	29.25000000	-25.22000000	-29.20000000	2.40000000	0.02380000	0.11750000	0.99280000	-30.10000000	-21.50000000	-26.43000000	2.58000000	976.51200000	421.63200000	7.67000000	144.84000000	1282.26000000
-419.77000000	1	-0.01590000	0.12890000	0.99150000	29.32000000	-25.04000000	-29.28000000	2.42000000	0.02830000	0.12590000	0.99160000	-30.07000000	-21.68000000	-26.51000000	2.52000000	976.32000000	421.30800000	7.89000000	147.59000000	1302.82000000
-409.78600000	1	-0.01050000	0.13690000	0.99050000	29.26000000	-25.22000000	-29.19000000	2.40000000	0.02320000	0.11770000	0.99280000	-30.10000000	-21.50000000	-26.42000000	2.57000000	976.32000000	420.98400000	8.24000000	150.74000000	1328.15000000
-399.79100000	1	-0.01520000	0.12880000	0.99150000	29.32000000	-25.04000000	-29.27000000	2.41000000	0.02790000	0.12590000	0.99170000	-30.07000000	-21.69000000	-26.50000000	2.52000000	976.12800000	420.87600000	8.35000000	152.08000000	1338.03000000
-389.79800000	2	-0.01050000	0.13710000	0.99050000	29.26000000	-25.22000000	-29.18000000	2.40000000	0.02300000	0.11800000	0.99270000	-30.10000000	-21.50000000	-26.42000000	2.57000000	976.32000000	420.66000000	8.18000000	151.90000000	1334.86000000
-379.80100000	2	-0.01520000	0.12930000	0.99150000	29.32000000	-25.04000000	-29.27000000	2.41000000	0.02780000	0.12630000	0.99160000	-30.06000000	-21.69000000	-26.50000000	2.52000000	976.32000000	420.22800000	8.27000000	152.94000000	1339.85000000
-369.78600000	2	-0.01040000	0.13780000	0.99040000	29.26000000	-25.23000000	-29.17000000	2.39000000	0.02350000	0.11860000	0.99270000	-30.10000000	-21.50000000	-26.41000000	2.57000000	976.12800000	420.01200000	8.44000000	151.28000000	1323.10000000
-359.79400000	2	-0.01510000	0.12950000	0.99150000	29.32000000	-25.04000000	-29.27000000	2.41000000	0.02840000	0.12710000	0.99150000	-30.06000000	-21.69000000	-26.49000000	2.52000000	975.74400000	419.79600000	8.70000000	151.88000000	1326.28000000
-349.79800000	3	-0.01110000	0.13750000	0.99040000	29.26000000	-25.22000000	-29.17000000	2.40000000	0.02380000	0.11870000	0.99260000	-30.10000000	-21.51000000	-26.41000000	2.56000000	976.12800000	420.22800000	8.20000000	150.12000000	1314.80000000
-339.80600000	3	-0.01690000	0.12920000	0.99150000	29.32000000	-25.04000000	-29.27000000	2.42000000	0.02810000	0.12720000	0.99150000	-30.06000000	-21.69000000	-26.49000000	2.52000000	977.08800000	420.55200000	7.00000000	146.13000000	1282.38000000
-329.81800000	3	-0.01410000	0.13740000	0.99040000	29.25000000	-25.22000000	-29.18000000	2.40000000	0.02420000	0.12000000	0.99250000	-30.11000000	-21.50000000	-26.42000000	2.57000000	977.85600000	420.01200000	6.12000000	145.96000000	1276.50000000
-319.82600000	3	-0.01860000	0.13010000	0.99130000	29.31000000	-25.03000000	-29.28000000	2.42000000	0.02720000	0.12870000	0.99130000	-30.08000000	-21.69000000	-26.50000000	2.52000000	978.62400000	419.47200000	5.14000000	144.59000000	1258.68000000
-309.83700000	4	-0.01690000	0.13810000	0.99030000	29.23000000	-25.22000000	-29.18000000	2.40000000	0.02430000	0.12210000	0.99220000	-30.12000000	-21.50000000	-26.43000000	2.58000000	979.39200000	418.93200000	4.25000000	142.74000000	1237.46000000
-299.83900000	4	-0.02060000	0.13070000	0.99120000	29.29000000	-25.03000000	-29.29000000	2.42000000	0.02660000	0.13080000	0.99110000	-30.09000000	-21.68000000	-26.51000000	2.52000000	980.16000000	418.39200000	3.36000000	141.21000000	1219.63000000
-289.85300000	4	-0.01960000	0.13810000	0.99020000	29.21000000	-25.22000000	-29.20000000	2.41000000	0.02510000	0.12460000	0.99190000	-30.13000000	-21.49000000	-26.44000000	2.60000000	980.54400000	418.06800000	2.92000000	138.87000000	1196.28000000
-279.85700000	5	-0.02220000	0.13070000	0.99120000	29.28000000	-25.03000000	-29.30000000	2.42000000	0.02650000	0.13210000	0.99090000	-30.11000000	-21.68000000	-26.52000000	2.53000000	981.31200000	418.28400000	2.18000000	136.66000000	1178.89000000
-269.86700000	5	-0.02150000	0.13760000	0.99030000	29.20000000	-25.21000000	-29.21000000	2.41000000	0.02440000	0.12510000	0.99180000	-30.14000000	-21.49000000	-26.45000000	2.60000000	982.08000000	418.28400000	1.22000000	136.81000000	1180.49000000
-259.84400000	5	-0.02370000	0.13070000	0.99110000	29.27000000	-25.02000000	-29.32000000	2.41000000	0.02520000	0.13260000	0.99080000	-30.12000000	-21.67000000	-26.53000000	2.53000000	982.84800000	418.06800000	0.45000000	136.28000000	1173.77000000
-249.85600000	5	-0.02630000	0.13580000	0.99040000	29.18000000	-25.20000000	-29.22000000	2.40000000	0.02400000	0.12620000	0.99170000	-30.15000000	-21.48000000	-26.46000000	2.60000000	983.42400000	418.17600000	-0.13000000	135.37000000	1166.70000000
-239.86400000	6	-0.02200000	0.13130000	0.99110000	29.26000000	-25.02000000	-29.32000000	2.41000000	0.02440000	0.13330000	0.99080000	-30.13000000	-21.67000000	-26.53000000	2.54000000	984.00000000	418.50000000	-0.72000000	133.95000000	1157.11000000
