frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
17	31.93600000	0.23000000	-20.29300000	-0.02420000	-0.15950000	0.98690000	-30.98900000	2.43100000	-21.24600000	0.01710000	-0.20690000	0.97820000	640.19000000	518.42000000	612.20000000	332.83000000	657.57000000	392.39000000
18	31.93700000	0.23000000	-20.29300000	-0.02850000	-0.15480000	0.98750000	-30.98900000	2.43100000	-21.24600000	0.01620000	-0.20560000	0.97850000	643.24000000	516.86000000	617.17000000	327.15000000	658.69000000	390.93000000
19	31.93600000	0.23000000	-20.29400000	-0.02640000	-0.16260000	0.98630000	-30.98900000	2.43100000	-21.24600000	0.01470000	-0.20370000	0.97890000	643.01000000	514.52000000	614.84000000	336.53000000	660.44000000	388.67000000
20	31.93700000	0.23100000	-20.29400000	-0.02680000	-0.15980000	0.98680000	-30.98900000	2.43100000	-21.24600000	0.01620000	-0.20380000	0.97890000	642.25000000	514.52000000	615.19000000	333.20000000	658.62000000	388.71000000
20	31.93700000	0.23100000	-20.29400000	-0.02850000	-0.16330000	0.98620000	-30.98900000	2.43100000	-21.24600000	0.01580000	-0.20280000	0.97910000	643.61000000	513.60000000	617.33000000	337.37000000	659.17000000	387.54000000
21	31.93700000	0.23100000	-20.29400000	-0.03070000	-0.15720000	0.98710000	-30.98900000	2.43100000	-21.24600000	0.01690000	-0.20350000	0.97890000	644.10000000	514.21000000	619.75000000	330.10000000	657.77000000	388.43000000
22	31.93700000	0.23100000	-20.29400000	-0.02520000	-0.16040000	0.98670000	-30.98900000	2.43100000	-21.24600000	0.01760000	-0.20250000	0.97910000	640.50000000	512.98000000	613.34000000	333.85000000	656.96000000	387.15000000
23	31.93700000	0.23100000	-20.29500000	-0.02370000	-0.16530000	0.98600000	-30.98900000	2.43100000	-21.24600000	0.01640000	-0.20240000	0.97920000	640.43000000	513.06000000	611.67000000	339.70000000	658.41000000	387.05000000
24	31.93700000	0.23100000	-20.29500000	-0.02790000	-0.16310000	0.98620000	-30.98900000	2.43100000	-21.24600000	0.01560000	-0.20360000	0.97890000	643.31000000	514.43000000	616.57000000	337.05000000	659.32000000	388.49000000
24	31.93700000	0.23200000	-20.29500000	-0.03270000	-0.16560000	0.98560000	-30.98900000	2.43100000	-21.24600000	0.01520000	-0.20520000	0.97860000	646.40000000	516.76000000	622.29000000	340.10000000	659.79000000	390.37000000
25	31.93700000	0.23200000	-20.29500000	-0.03310000	-0.16190000	0.98630000	-30.98900000	2.43100000	-21.24600000	0.01310000	-0.20490000	0.97870000	647.84000000	515.96000000	622.64000000	335.65000000	662.31000000	390.04000000
26	31.93700000	0.23200000	-20.29500000	-0.03150000	-0.16130000	0.98640000	-30.98900000	2.43100000	-21.24600000	0.01330000	-0.20740000	0.97820000	646.79000000	518.90000000	620.84000000	334.94000000	662.02000000	393.05000000
27	31.93700000	0.23200000	-20.29600000	-0.03080000	-0.17370000	0.98430000	-30.98900000	2.43100000	-21.24600000	0.01270000	-0.20770000	0.97810000	646.77000000	520.04000000	620.08000000	349.67000000	662.72000000	393.37000000
28	31.93700000	0.23200000	-20.29600000	-0.02640000	-0.16720000	0.98560000	-30.98900000	2.43100000	-21.24600000	0.01380000	-0.20780000	0.97810000	643.49000000	519.43000000	614.81000000	341.94000000	661.43000000	393.50000000
29	31.93700000	0.23300000	-20.29600000	-0.03080000	-0.16100000	0.98650000	-30.98900000	2.43100000	-21.24600000	0.01470000	-0.20830000	0.97800000	645.56000000	520.01000000	620.00000000	334.63000000	660.41000000	394.14000000
30	31.93700000	0.23300000	-20.29600000	-0.02530000	-0.16580000	0.98580000	-30.98900000	2.43100000	-21.24600000	0.01460000	-0.21110000	0.97740000	642.33000000	523.52000000	613.54000000	340.26000000	660.45000000	397.39000000
30	31.93700000	0.23300000	-20.29600000	-0.03020000	-0.16120000	0.98650000	-30.98900000	2.43100000	-21.24600000	0.01390000	-0.21170000	0.97720000	645.65000000	524.33000000	619.30000000	334.76000000	661.32000000	398.18000000
31	31.93700000	0.23300000	-20.29600000	-0.02790000	-0.17330000	0.98450000	-30.98900000	2.43200000	-21.24600000	0.01380000	-0.21130000	0.97730000	644.47000000	523.75000000	616.70000000	349.26000000	661.49000000	397.60000000
32	31.93700000	0.23400000	-20.29700000	-0.02720000	-0.16430000	0.98600000	-30.98900000	2.43200000	-21.24700000	0.01620000	-0.21380000	0.97670000	642.53000000	526.85000000	615.80000000	338.51000000	658.63000000	400.63000000
32	31.93700000	0.23400000	-20.29700000	-0.02520000	-0.17060000	0.98500000	-30.98900000	2.43200000	-21.24700000	0.01480000	-0.21070000	0.97740000	642.24000000	522.96000000	613.51000000	346.02000000	660.22000000	396.96000000
33	31.93700000	0.23400000	-20.29700000	-0.02670000	-0.17650000	0.98390000	-30.98900000	2.43300000	-21.24700000	0.01420000	-0.21140000	0.97730000	643.57000000	524.11000000	615.36000000	353.01000000	661.00000000	397.76000000
34	31.93700000	0.23500000	-20.29700000	-0.03110000	-0.17290000	0.98450000	-30.98900000	2.43300000	-21.24700000	0.01490000	-0.21250000	0.97710000	645.63000000	525.39000000	620.44000000	348.74000000	660.10000000	399.05000000
35	31.93700000	0.23500000	-20.29700000	-0.03090000	-0.17480000	0.98410000	-30.98900000	2.43400000	-21.24700000	0.01500000	-0.21090000	0.97740000	645.50000000	523.85000000	620.23000000	351.04000000	660.03000000	397.13000000
35	31.93800000	0.23500000	-20.29800000	-0.02960000	-0.18340000	0.98260000	-30.98900000	2.43400000	-21.24800000	0.01430000	-0.21050000	0.97750000	645.24000000	524.75000000	618.81000000	361.26000000	660.92000000	396.68000000
37	31.93800000	0.23600000	-20.29800000	-0.02810000	-0.18460000	0.98240000	-30.98900000	2.43400000	-21.24800000	0.01460000	-0.21210000	0.97710000	644.20000000	526.37000000	617.06000000	362.62000000	660.56000000	398.61000000
37	31.93800000	0.23600000	-20.29800000	-0.02830000	-0.17330000	0.98450000	-30.98900000	2.43500000	-21.24800000	0.01600000	-0.21290000	0.97690000	643.37000000	525.83000000	617.12000000	349.26000000	658.88000000	399.61000000
38	31.93800000	0.23600000	-20.29800000	-0.03170000	-0.15750000	0.98700000	-30.98900000	2.43500000	-21.24800000	0.01640000	-0.20940000	0.97770000	645.02000000	521.32000000	620.99000000	330.38000000	658.40000000	395.42000000
39	31.93800000	0.23700000	-20.29800000	-0.03410000	-0.17230000	0.98450000	-30.98800000	2.43500000	-21.24800000	0.01520000	-0.20940000	0.97770000	647.26000000	522.32000000	624.02000000	348.03000000	659.78000000	395.35000000
40	31.93800000	0.23700000	-20.29900000	-0.02900000	-0.17020000	0.98500000	-30.98800000	2.43600000	-21.24800000	0.01400000	-0.20970000	0.97770000	644.92000000	521.80000000	617.93000000	345.47000000	661.17000000	395.71000000
40	31.93800000	0.23700000	-20.29900000	-0.02850000	-0.16740000	0.98550000	-30.98800000	2.43600000	-21.24900000	0.01410000	-0.20840000	0.97790000	644.60000000	520.19000000	617.31000000	342.19000000	661.16000000	394.23000000
41	31.93800000	0.23800000	-20.29900000	-0.03530000	-0.17210000	0.98450000	-30.98800000	2.43600000	-21.24900000	0.01350000	-0.21010000	0.97760000	648.98000000	522.97000000	625.39000000	347.73000000	661.85000000	396.22000000
