frame_idx	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l	pup_diam_r	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z
14	792.20100000	467.94300000	3.06101751	3.18503833	-31.70898438	11.11328125	-38.15277100	31.30371094	12.68554688	-38.87268066	0.07040735	-0.10402630	0.99207932	-0.01157771	-0.11003169	0.99386066
15	793.68800000	464.95500000	3.09408975	3.19330645	-31.54785156	11.28906250	-38.01818848	31.45996094	12.77343750	-39.04998779	0.06247753	-0.11565214	0.99132293	-0.00927049	-0.12317190	0.99234205
15	792.74600000	466.99600000	3.05137134	3.18228221	-31.61621094	10.94726562	-38.04382324	31.40136719	12.41210938	-39.01367188	0.06761679	-0.08703903	0.99390757	-0.00807154	-0.09377050	0.99556112
15	797.36800000	469.67900000	3.07617569	3.24153662	-31.74316406	11.17187500	-38.18908691	31.25976562	12.78320312	-38.84490967	0.07221424	-0.11012694	0.99129069	0.00080480	-0.11669954	0.99316698
15	796.60300000	469.10000000	3.01554322	3.09822369	-31.57226562	10.90820312	-38.04809570	31.43554688	12.43164062	-38.86627197	0.06830800	-0.08288357	0.99421549	-0.02150614	-0.09009495	0.99570096
15	795.21600000	467.72900000	3.06652951	3.19468451	-31.76757812	10.94726562	-38.16558838	31.25000000	12.49023438	-39.02221680	0.07070793	-0.09520210	0.99294358	0.00323364	-0.10221449	0.99475712
15	795.05200000	466.97700000	3.12716198	3.17814827	-31.48925781	11.26953125	-37.89001465	31.51855469	12.67578125	-39.09912109	0.06180043	-0.11060335	0.99194133	-0.01381847	-0.11650915	0.99309349
15	795.15000000	466.60200000	3.09271169	3.16850233	-31.53808594	11.06445312	-38.12072754	31.47460938	12.53906250	-39.13543701	0.05612077	-0.09792172	0.99361050	-0.00685162	-0.10660052	0.99427831
16	797.31800000	468.94500000	3.03345728	3.15885615	-31.58203125	11.21093750	-38.04382324	31.43066406	12.62695312	-38.90899658	0.06534617	-0.10679113	0.99213183	-0.01657466	-0.11288992	0.99346930
16	795.57100000	469.87300000	3.05826139	3.23051262	-31.70410156	11.20117188	-38.12713623	31.31347656	12.68554688	-38.89190674	0.07026805	-0.10984104	0.99146223	-0.00702821	-0.11689003	0.99312001
16	793.01600000	470.11000000	3.03207922	3.15472221	-31.55273438	11.24023438	-37.97119141	31.45996094	12.66601562	-38.96026611	0.06702969	-0.10412174	0.99230325	-0.01324401	-0.11079399	0.99375516
16	795.35700000	471.56600000	3.07341957	3.22775650	-31.51855469	11.20117188	-38.19122314	31.48925781	12.64648438	-39.18243408	0.05587690	-0.11469973	0.99182749	-0.00547442	-0.12212522	0.99249965
16	797.23500000	468.62600000	3.10373569	3.12854004	-31.63085938	11.25000000	-38.07800293	31.38183594	12.69531250	-38.92395020	0.06795328	-0.10793496	0.99183285	-0.00655978	-0.11469974	0.99337858
