segment,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y
1,521,dilated,823,554,661,484,989,496,655,614,985,627
1,522,dilated,823,554,661,484,989,496,655,614,985,627
1,523,dilated,823,554,661,483,989,496,655,614,985,627
1,524,dilated,823,554,661,483,989,496,655,614,985,627
1,525,dilated,822,554,661,483,989,496,655,614,985,627
1,526,dilated,822,554,661,483,989,496,654,614,985,627
1,527,dilated,822,554,661,483,989,496,654,614,985,627
1,528,dilated,822,554,661,483,989,496,654,614,985,627
1,529,dilated,822,554,661,483,989,496,654,614,985,627
1,530,dilated,822,554,661,483,989,496,654,614,985,627
1,531,dilated,822,554,661,484,989,497,654,614,985,627
1,532,dilated,822,554,661,484,989,497,655,614,985,628
1,533,dilated,822,554,661,484,989,497,655,614,985,628
1,534,dilated,822,554,661,484,989,496,655,614,985,627
1,535,dilated,822,554,661,483,989,496,655,613,985,627
1,536,dilated,822,554,661,483,989,496,654,613,985,627
1,537,dilated,822,554,661,483,989,496,654,614,985,627
1,538,dilated,822,554,661,483,988,496,654,614,985,627
1,539,dilated,822,554,661,483,988,496,654,614,985,627
1,540,dilated,822,554,661,483,988,496,654,614,985,627
1,541,dilated,822,554,661,484,989,497,654,614,985,627
1,542,dilated,822,554,661,484,989,497,654,614,985,627
1,543,dilated,822,554,661,484,989,497,654,614,985,627
1,544,dilated,822,554,661,483,989,497,654,614,985,627
1,545,dilated,822,554,661,484,989,497,654,614,985,627
1,546,dilated,822,554,661,484,988,497,654,614,985,627
1,547,dilated,822,554,661,484,988,497,654,614,985,627
1,548,dilated,822,554,661,484,988,497,654,614,985,627
1,549,dilated,821,554,661,484,988,497,654,614,985,627
1,550,dilated,821,554,660,484,988,497,654,614,985,627
1,551,dilated,822,554,660,484,988,497,654,614,985,627
1,552,dilated,822,554,661,484,988,497,654,614,985,628
1,553,dilated,822,555,661,484,989,497,654,614,985,628
1,554,dilated,822,555,661,484,989,497,654,614,985,628
1,555,dilated,822,554,661,484,989,497,654,614,985,627
1,556,dilated,821,554,661,483,988,496,654,614,985,627
1,557,dilated,821,554,661,483,988,496,654,614,985,627
1,558,dilated,821,554,660,483,988,497,654,614,984,627
1,559,dilated,821,554,660,483,988,497,654,614,984,627
1,560,dilated,821,554,660,483,988,497,654,614,984,627
1,561,dilated,821,555,660,483,988,497,654,614,985,627
1,562,dilated,822,555,660,484,988,497,654,614,985,628
1,563,dilated,821,555,660,484,988,497,654,614,985,628
1,564,dilated,822,555,661,484,988,497,654,614,985,628
1,565,dilated,822,554,661,484,989,497,654,614,985,628
1,566,dilated,822,555,661,484,989,497,654,614,985,628
1,567,dilated,822,555,661,484,988,497,654,614,985,628
1,568,dilated,822,555,660,484,988,497,654,614,984,628
1,569,dilated,821,555,660,484,988,497,654,614,984,628
1,570,dilated,821,554,660,484,988,497,654,614,984,628
1,571,dilated,821,554,660,484,988,497,654,614,984,628
1,572,dilated,821,554,660,484,988,497,654,614,985,628
1,573,dilated,822,555,660,484,988,497,654,614,985,628
1,574,dilated,822,555,661,484,989,497,654,614,985,628
1,575,dilated,822,555,661,484,988,497,654,615,985,628
1,576,dilated,822,555,660,484,988,497,654,614,985,628
1,577,dilated,821,555,660,484,988,497,654,614,984,628
1,578,dilated,821,555,660,484,988,497,654,614,984,628
1,579,dilated,821,554,660,484,988,497,654,614,984,628
1,580,dilated,821,554,660,484,988,497,654,614,984,628
1,581,dilated,821,554,660,484,988,497,654,614,984,628
1,582,dilated,821,554,660,484,988,497,654,614,984,628
1,583,dilated,821,554,660,484,988,497,654,614,984,628
1,584,dilated,821,555,660,484,988,497,654,614,984,628
1,585,dilated,821,555,660,484,988,497,654,614,984,628
1,586,dilated,821,554,660,484,988,497,654,614,984,628
1,587,dilated,821,554,660,484,988,497,654,614,984,628
1,588,dilated,821,554,660,484,988,497,654,614,984,628
1,589,dilated,821,554,660,484,988,497,654,614,984,628
