eye_tracker,participant_id,trial_number,trial_condition,target_x,target_y,gaze_x,gaze_y,gaze_angle_x,gaze_angle_y,target_angle_x,target_angle_y,pup_diam_l,pup_diam_r
EyeLink 1000 Plus,347,1,dark,960.0,540.0,966.85,532.9,0.09985422740524816,-0.10395314787701351,0,0,5.25120142229245,5.141254813562264
EyeLink 1000 Plus,347,1,dark,960.0,540.0,966.85,532.95,0.09985422740524816,-0.10322108345534341,0,0,5.25120142229245,5.141254813562264
EyeLink 1000 Plus,347,1,dark,960.0,540.0,966.9,532.85,0.10058309037900842,-0.10468521229868195,0,0,5.25120142229245,5.143106517138803
EyeLink 1000 Plus,347,1,dark,960.0,540.0,966.9,532.7,0.10058309037900842,-0.10688140556368894,0,0,5.253014369497262,5.143106517138803
EyeLink 1000 Plus,347,1,dark,960.0,540.0,966.95,532.55,0.10131195335277035,-0.1090775988286976,0,0,5.253014369497262,5.144957554275265
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.05,532.4,0.10276967930029089,-0.11127379209370458,0,0,5.254826691224291,5.1468079256907
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.1,532.3,0.10349854227405282,-0.11273792093704313,0,0,5.254826691224291,5.1468079256907
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.15,532.25,0.10422740524781308,-0.11346998535871157,0,0,5.2566383881204635,5.148657632102867
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.3,532.2,0.10641399416909555,-0.11420204978038001,0,0,5.2566383881204635,5.148657632102867
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.45,532.1,0.10860058309037968,-0.11566617862371856,0,0,5.258449460831605,5.148657632102867
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.55,532.1,0.11005830903790022,-0.11566617862371856,0,0,5.262069736276512,5.148657632102867
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.65,532.15,0.11151603498542242,-0.11493411420205012,0,0,5.2638789402963715,5.148657632102867
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.7,532.15,0.11224489795918434,-0.11493411420205012,0,0,5.265687522703386,5.148657632102867
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.75,532.15,0.11297376093294462,-0.11493411420205012,0,0,5.267495484137847,5.148657632102867
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.75,532.2,0.11297376093294462,-0.11420204978038001,0,0,5.269302825238943,5.148657632102867
EyeLink 1000 Plus,347,1,dark,960.0,540.0,967.65,532.2,0.11151603498542242,-0.11420204978038001,0,0,5.272915648992317,5.148657632102867
