eye_tracker,participant_id,trial_number,trial_condition,std,n_samples
EyeLink 1000 Plus,460,4,bright,0.048986007437761644,1787
EyeLink 1000 Plus,460,5,dark,0.09772446288632704,1875
EyeLink 1000 Plus,460,6,bright,0.046095782252696754,1875
EyeLink 1000 Plus,503,1,dark,0.10612039517144846,1850
EyeLink 1000 Plus,503,2,bright,0.04332291171978926,1865
EyeLink 1000 Plus,503,3,dark,0.0911096581775282,1852
EyeLink 1000 Plus,503,4,bright,0.10359855187456943,1849
EyeLink 1000 Plus,503,5,dark,0.14079263694949545,1858
EyeLink 1000 Plus,503,6,bright,0.10488659206617824,1843
EyeLink 1000 Plus,695,1,dark,0.16038224288772476,1875
EyeLink 1000 Plus,695,2,bright,0.07701641220094882,1875
EyeLink 1000 Plus,695,3,dark,0.17928655998115717,1839
EyeLink 1000 Plus,695,4,bright,0.10172789875170798,1875
EyeLink 1000 Plus,695,5,dark,0.11455649717472095,1873
EyeLink 1000 Plus,695,6,bright,0.0832436938298335,1867
EyeLink 1000 Plus,772,1,dark,0.12393983721346827,1868
EyeLink 1000 Plus,772,2,bright,0.12733100441806244,1875
EyeLink 1000 Plus,772,3,dark,0.125139572440812,1869
EyeLink 1000 Plus,772,4,bright,0.15014198185631636,1872
EyeLink 1000 Plus,772,5,dark,0.08990546975714755,1870
EyeLink 1000 Plus,772,6,bright,0.10198088165300777,1875
EyeLink 1000 Plus,796,1,dark,0.11922960396049283,1875
EyeLink 1000 Plus,796,2,bright,0.10317157906192215,1875
EyeLink 1000 Plus,796,3,dark,0.1293333502668415,1875
EyeLink 1000 Plus,796,4,bright,0.056509972091921,1875
EyeLink 1000 Plus,796,5,dark,0.11979316021197431,1822
EyeLink 1000 Plus,796,6,bright,0.09605662674153959,1803
EyeLink 1000 Plus,844,1,dark,0.13934147695785706,1819
EyeLink 1000 Plus,844,2,bright,0.07221537658727338,1843
EyeLink 1000 Plus,844,3,dark,0.17661056675275177,1803
EyeLink 1000 Plus,844,4,bright,0.04461496900876986,1788
EyeLink 1000 Plus,844,5,dark,0.16604120842577255,1742
EyeLink 1000 Plus,844,6,bright,0.11762195461573237,1782
EyeLink 1000 Plus,875,1,dark,0.05471988711408368,1862
EyeLink 1000 Plus,875,2,bright,0.10934944193894222,1870
EyeLink 1000 Plus,875,3,dark,0.08991288873860329,1866
EyeLink 1000 Plus,875,4,bright,0.09140184801400697,1870
EyeLink 1000 Plus,875,5,dark,0.09690142127805451,1835
EyeLink 1000 Plus,875,6,bright,0.11443686716731903,1826
EyeLink 1000 Plus,914,1,dark,0.09637133411013528,1846
EyeLink 1000 Plus,914,2,bright,0.08139751307082468,1857
EyeLink 1000 Plus,914,3,dark,0.14573477469501428,1863
EyeLink 1000 Plus,914,4,bright,0.060847033350763385,1856
EyeLink 1000 Plus,914,5,dark,0.15197348478978379,1861
EyeLink 1000 Plus,914,6,bright,0.06698089667812869,1863
Pupil Core,137,1,dark,1.136855578502876,825
Pupil Core,137,2,bright,0.4432387398846923,823
Pupil Core,137,3,dark,0.45984024506565097,847
Pupil Core,137,4,bright,0.5672699012352079,889
Pupil Core,137,5,dark,0.8490542530544339,909
Pupil Core,137,6,bright,0.5993791360372008,905
Pupil Core,141,1,dark,0.2533913540758445,448
Pupil Core,141,2,bright,0.5102458172441179,848
