eye_tracker,participant_id,trial_number,trial_condition,accuracy,n_samples
SMI ETG 2w,354,1,dark,1.8080201527096647,113
SMI ETG 2w,354,2,bright,0.5331559114955142,114
SMI ETG 2w,354,3,dark,1.7736614008902145,115
SMI ETG 2w,354,4,bright,0.5724341173160035,112
SMI ETG 2w,354,5,dark,1.4434321891309327,111
SMI ETG 2w,354,6,bright,0.7230776866867963,116
SMI ETG 2w,375,1,dark,1.2962569315767216,112
SMI ETG 2w,375,2,bright,0.7606684463715546,114
SMI ETG 2w,375,3,dark,0.6103849142558442,115
SMI ETG 2w,375,4,bright,0.2965497027575385,114
SMI ETG 2w,375,5,dark,0.8413507680719489,115
SMI ETG 2w,375,6,bright,0.9968927667831154,115
SMI ETG 2w,397,1,dark,0.900737447669517,114
SMI ETG 2w,397,2,bright,0.6891214965890432,113
SMI ETG 2w,397,3,dark,0.6503880775681904,113
SMI ETG 2w,397,4,bright,0.884307153634462,113
SMI ETG 2w,397,5,dark,0.5999764135559491,115
SMI ETG 2w,397,6,bright,1.086075533059185,115
SMI ETG 2w,406,1,dark,2.2347992411584996,110
SMI ETG 2w,406,2,bright,0.7575964372210091,110
SMI ETG 2w,406,3,dark,1.9682921668678584,110
SMI ETG 2w,406,4,bright,0.58191121432677,109
SMI ETG 2w,406,5,dark,4.63407414276875,58
SMI ETG 2w,406,6,bright,0.5052250104295866,109
SMI ETG 2w,460,1,dark,3.280396577491614,113
SMI ETG 2w,460,2,bright,0.4281506603770545,115
SMI ETG 2w,460,3,dark,3.311170891844687,114
SMI ETG 2w,460,4,bright,0.6557550217036249,114
SMI ETG 2w,460,5,dark,3.4190481639676067,114
SMI ETG 2w,460,6,bright,0.661782453029412,114
SMI ETG 2w,503,1,dark,2.667843087999181,111
SMI ETG 2w,503,2,bright,1.1545732707059482,115
SMI ETG 2w,503,3,dark,2.0952180799698445,110
SMI ETG 2w,503,4,bright,0.769009343585011,111
SMI ETG 2w,503,5,dark,1.708311497657248,115
SMI ETG 2w,503,6,bright,0.8253156479583283,115
SMI ETG 2w,695,1,dark,0.7906393222960719,114
SMI ETG 2w,695,2,bright,2.2098769597069112,110
SMI ETG 2w,695,3,dark,0.24662892381692764,115
SMI ETG 2w,695,4,bright,3.5226811706710377,111
SMI ETG 2w,695,5,dark,1.5749980592250223,114
SMI ETG 2w,695,6,bright,4.246853347745625,114
SMI ETG 2w,772,1,dark,2.829208245748304,113
SMI ETG 2w,772,2,bright,0.7798902179147806,113
SMI ETG 2w,772,3,dark,3.222358113386336,114
SMI ETG 2w,772,4,bright,1.3925300504112226,115
SMI ETG 2w,772,5,dark,3.304177261382695,113
SMI ETG 2w,772,6,bright,1.519873628053646,111
SMI ETG 2w,796,1,dark,4.610607440086611,107
SMI ETG 2w,796,2,bright,3.930317524436092,112
SMI ETG 2w,796,3,dark,9.149461633558563,112
SMI ETG 2w,796,4,bright,5.643880160303727,114
SMI ETG 2w,796,5,dark,9.754023988843668,25
SMI ETG 2w,796,6,bright,7.369459066786612,112
SMI ETG 2w,844,1,dark,1.2935170295418428,109
SMI ETG 2w,844,2,bright,0.8421357036015189,113
SMI ETG 2w,844,3,dark,1.006045331853384,109
SMI ETG 2w,844,4,bright,1.7044731954411236,109
SMI ETG 2w,844,5,dark,0.575148572457879,110
SMI ETG 2w,844,6,bright,1.8011456237549854,114
SMI ETG 2w,875,1,dark,1.5678604065893846,112
SMI ETG 2w,875,2,bright,0.7954899329514875,115
SMI ETG 2w,875,3,dark,3.698753690776238,110
SMI ETG 2w,875,4,bright,1.62071856396018,112
SMI ETG 2w,875,5,dark,1.0576645194348466,112
SMI ETG 2w,875,6,bright,1.4950735102108006,114
SMI ETG 2w,914,1,dark,3.2027907192823237,113
SMI ETG 2w,914,2,bright,0.55676792870581,114
SMI ETG 2w,914,3,dark,2.7528092980229704,114
SMI ETG 2w,914,4,bright,0.6373648069673623,114
SMI ETG 2w,914,5,dark,2.373586652508931,115
SMI ETG 2w,914,6,bright,0.4766209253560133,114
Tobii Glasses 2,141,1,dark,2.0920819405958295,295
Tobii Glasses 2,141,2,bright,0.7368147891699174,361
Tobii Glasses 2,141,3,dark,1.9791363832061866,322
Tobii Glasses 2,141,4,bright,0.6546511720888172,340
Tobii Glasses 2,141,5,dark,1.7127360458962442,361
Tobii Glasses 2,141,6,bright,1.004927990832796,363
Tobii Glasses 2,276,1,dark,1.3098347627385174,306
Tobii Glasses 2,276,2,bright,1.0286736737980267,287
Tobii Glasses 2,276,3,dark,0.7551477686952205,290
Tobii Glasses 2,276,4,bright,1.2734271795525287,286
Tobii Glasses 2,276,5,dark,0.7806580482993516,293
Tobii Glasses 2,276,6,bright,1.1679965443483236,356
Tobii Glasses 2,352,1,dark,3.216921841490671,310
Tobii Glasses 2,352,2,bright,0.9356069324237827,306
Tobii Glasses 2,352,3,dark,1.9752430895568713,309
Tobii Glasses 2,352,4,bright,0.9825342914680478,329
Tobii Glasses 2,352,5,dark,4.6735093930474365,298
Tobii Glasses 2,352,6,bright,0.9624952337242403,320
Tobii Glasses 2,695,1,dark,1.1458304679747995,367
Tobii Glasses 2,695,2,bright,0.49025191403091073,370
Tobii Glasses 2,695,3,dark,1.0209025794332893,355
Tobii Glasses 2,695,4,bright,0.5110877485073424,304
Tobii Glasses 2,695,5,dark,0.9548089934353025,308
Tobii Glasses 2,695,6,bright,0.32283902612076476,315
Tobii Glasses 2,875,1,dark,2.009454452730012,349
Tobii Glasses 2,875,2,bright,1.457887166085385,280
Tobii Glasses 2,875,3,dark,1.5763495387323954,293
Tobii Glasses 2,875,4,bright,1.3383574992392397,308
Tobii Glasses 2,875,5,dark,1.4890807186272603,296
Tobii Glasses 2,875,6,bright,0.9177757195251204,320
Tobii Glasses 2,914,1,dark,2.8675697556714264,298
Tobii Glasses 2,914,2,bright,0.14817897167789262,290
Tobii Glasses 2,914,3,dark,1.7205362363425964,285
Tobii Glasses 2,914,4,bright,0.36569306496737863,278
Tobii Glasses 2,914,5,dark,2.5758771592236207,277
Tobii Glasses 2,914,6,bright,0.3657839861921715,281
