eye_tracker,participant_id,trial_number,trial_condition,accuracy,n_samples
EyeLink 1000 Plus,460,4,bright,0.3243676644704855,1787
EyeLink 1000 Plus,460,5,dark,0.6857441498278436,1875
EyeLink 1000 Plus,460,6,bright,0.18308898022496778,1875
EyeLink 1000 Plus,503,1,dark,1.2118969713718166,1850
EyeLink 1000 Plus,503,2,bright,0.0941832252802221,1865
EyeLink 1000 Plus,503,3,dark,0.6801029255091867,1852
EyeLink 1000 Plus,503,4,bright,0.15064661313718797,1849
EyeLink 1000 Plus,503,5,dark,0.6099426822741638,1858
EyeLink 1000 Plus,503,6,bright,0.13185141713866927,1843
EyeLink 1000 Plus,695,1,dark,1.3887822417881082,1875
EyeLink 1000 Plus,695,2,bright,0.2547418764949238,1875
EyeLink 1000 Plus,695,3,dark,1.2370803295954231,1839
EyeLink 1000 Plus,695,4,bright,0.19031193441757793,1875
EyeLink 1000 Plus,695,5,dark,1.3892852770560462,1873
EyeLink 1000 Plus,695,6,bright,0.2542105811077546,1867
EyeLink 1000 Plus,772,1,dark,0.33376702019085586,1868
EyeLink 1000 Plus,772,2,bright,0.5091300275814467,1875
EyeLink 1000 Plus,772,3,dark,0.20398962836753678,1869
EyeLink 1000 Plus,772,4,bright,0.616456500699445,1872
EyeLink 1000 Plus,772,5,dark,0.2148940599269769,1870
EyeLink 1000 Plus,772,6,bright,0.5360886634328613,1875
EyeLink 1000 Plus,796,1,dark,1.0114838032042448,1875
EyeLink 1000 Plus,796,2,bright,0.3715678345404987,1875
EyeLink 1000 Plus,796,3,dark,1.1936384074945434,1875
EyeLink 1000 Plus,796,4,bright,0.2992830300361291,1875
EyeLink 1000 Plus,796,5,dark,1.0301926906750496,1822
EyeLink 1000 Plus,796,6,bright,0.41221815422482605,1803
EyeLink 1000 Plus,844,1,dark,0.6770334935972708,1819
EyeLink 1000 Plus,844,2,bright,0.24241834029210516,1843
EyeLink 1000 Plus,844,3,dark,0.6339981432269735,1803
EyeLink 1000 Plus,844,4,bright,0.11685739351958403,1788
EyeLink 1000 Plus,844,5,dark,0.7054188780574847,1742
EyeLink 1000 Plus,844,6,bright,0.14993905688159725,1782
EyeLink 1000 Plus,875,1,dark,0.3547392663367146,1862
EyeLink 1000 Plus,875,2,bright,0.47805675795747826,1870
EyeLink 1000 Plus,875,3,dark,0.38777082843416144,1866
EyeLink 1000 Plus,875,4,bright,0.4897859311817941,1870
EyeLink 1000 Plus,875,5,dark,0.22855022178763434,1835
EyeLink 1000 Plus,875,6,bright,0.518495331686484,1826
EyeLink 1000 Plus,914,1,dark,1.3606883442882698,1846
EyeLink 1000 Plus,914,2,bright,0.2893203634531675,1857
EyeLink 1000 Plus,914,3,dark,1.1537173030647447,1863
EyeLink 1000 Plus,914,4,bright,0.36521571900731514,1856
EyeLink 1000 Plus,914,5,dark,0.7432909594482328,1861
EyeLink 1000 Plus,914,6,bright,0.3724736811858362,1863
Pupil Core,137,1,dark,3.1019549745801673,825
Pupil Core,137,2,bright,0.9566447875782086,823
Pupil Core,137,3,dark,5.3456023856153605,847
Pupil Core,137,4,bright,1.8446204972018785,889
Pupil Core,137,5,dark,4.077027504490961,909
Pupil Core,137,6,bright,2.131203325840811,905
Pupil Core,141,1,dark,1.4821815627835024,448
Pupil Core,141,2,bright,1.9788711560578987,848
Pupil Core,141,3,dark,2.0083523993683934,729
Pupil Core,141,4,bright,1.4134709451858705,777
Pupil Core,141,5,dark,2.270335795850383,910
Pupil Core,141,6,bright,2.4603408043571973,901
Pupil Core,199,1,dark,3.892274881755324,713
Pupil Core,199,2,bright,0.9549878722374855,795
Pupil Core,199,3,dark,4.285451376639851,803
Pupil Core,199,4,bright,1.0068538790380446,820
Pupil Core,199,5,dark,4.452750268632036,865
Pupil Core,199,6,bright,0.7395195936507131,879
Pupil Core,210,1,dark,4.9557806625040195,722
Pupil Core,210,2,bright,1.6756015103700128,514
Pupil Core,210,3,dark,3.1716708091919776,751
Pupil Core,210,4,bright,1.0097300604388213,769
Pupil Core,210,5,dark,2.5566264509078263,620
Pupil Core,210,6,bright,1.699885647827407,856
Pupil Core,231,1,dark,1.5554755842223087,921
Pupil Core,231,2,bright,0.9785967296064434,920
Pupil Core,231,3,dark,0.9257433772545668,884
Pupil Core,231,4,bright,1.3378304546103528,916
Pupil Core,231,5,dark,1.233089952285276,924
Pupil Core,231,6,bright,1.0592000745473462,916
Pupil Core,259,1,dark,1.179846656328518,896
Pupil Core,259,2,bright,2.2818488817950726,917
Pupil Core,259,3,dark,1.744799352918019,917
Pupil Core,259,4,bright,2.4696142665711425,917
Pupil Core,259,5,dark,2.9016669635235544,916
Pupil Core,259,6,bright,2.5784313534662364,917
Pupil Core,276,1,dark,3.419199512592898,921
Pupil Core,276,2,bright,1.5714161967976457,928
Pupil Core,276,3,dark,3.7771181307726476,684
Pupil Core,276,4,bright,1.5125500968871923,907
Pupil Core,276,5,dark,2.0285396027107434,917
Pupil Core,276,6,bright,1.1224652869383343,906
Pupil Core,299,1,dark,6.755894152632644,759
Pupil Core,299,2,bright,1.730381596698428,860
Pupil Core,299,3,dark,5.829383561648259,903
Pupil Core,299,4,bright,2.2025290628799143,911
