eye_tracker,participant_id,dark_trial,bright_trial,apparent_gaze_shift,bright_samples,dark_samples
Pupil Core,332,3,4,0.7496781071155639,921,462
Pupil Core,332,5,6,2.606654190037566,903,908
Pupil Core,347,1,2,4.564769130092911,644,837
Pupil Core,347,3,4,4.177952009816806,918,878
Pupil Core,347,5,6,3.7054823126439,334,655
Pupil Core,352,1,2,6.056713782230225,924,612
Pupil Core,352,3,4,5.467600645775444,910,514
Pupil Core,352,5,6,5.535569591968286,930,886
Pupil Core,354,1,2,5.351098294227851,658,641
Pupil Core,354,3,4,4.902204566396999,764,682
Pupil Core,354,5,6,7.072281951239849,893,829
Pupil Core,375,1,2,3.3359267882434867,876,916
Pupil Core,375,3,4,2.563847747029086,922,907
Pupil Core,375,5,6,1.307349879970626,875,895
Pupil Core,397,1,2,3.995687628317126,882,896
Pupil Core,397,3,4,3.8726263145014768,902,891
Pupil Core,397,5,6,3.3493017413653767,923,903
Pupil Core,406,1,2,1.5079847269054814,874,894
Pupil Core,406,3,4,2.5826060001982234,890,915
Pupil Core,406,5,6,3.0884600562440494,907,917
Pupil Core,460,1,2,2.9674549646399284,897,874
Pupil Core,460,3,4,3.3787565651009555,911,914
Pupil Core,460,5,6,4.420634700981619,910,916
Pupil Core,503,1,2,1.9245537390639964,896,912
Pupil Core,503,3,4,1.8652036305655884,912,923
Pupil Core,503,5,6,1.2374643284564038,903,924
Pupil Core,695,1,2,1.8969708556120757,928,924
Pupil Core,695,3,4,1.7148117497373,935,923
Pupil Core,695,5,6,2.089447735138275,927,930
Pupil Core,772,1,2,7.43253605476763,892,880
Pupil Core,772,3,4,8.844928032759666,911,918
Pupil Core,772,5,6,8.694004006584022,907,917
Pupil Core,796,1,2,3.216539693948762,873,883
Pupil Core,796,3,4,2.3832459434951985,905,919
Pupil Core,796,5,6,2.9613603649208797,901,904
Pupil Core,844,1,2,2.559212749866816,910,917
Pupil Core,844,3,4,2.1962532332631097,907,911
Pupil Core,844,5,6,3.207092994769107,911,890
Pupil Core,875,1,2,6.432579912530656,881,888
Pupil Core,875,3,4,6.81891369515296,899,910
Pupil Core,875,5,6,6.074394783786842,836,904
Pupil Core,914,1,2,0.4792750048331558,930,930
Pupil Core,914,3,4,1.357578951110368,936,919
Pupil Core,914,5,6,0.34311030453684305,929,925
Pupil Neon,137,1,2,2.2985119033225927,736,739
Pupil Neon,137,3,4,2.326669996687029,700,739
Pupil Neon,137,5,6,2.1787302193139526,746,738
Pupil Neon,141,1,2,2.0539567391945326,697,709
Pupil Neon,141,3,4,0.08553387011180595,731,717
Pupil Neon,141,5,6,2.88966551112859,738,744
Pupil Neon,199,1,2,0.7152472839199857,724,737
Pupil Neon,199,3,4,0.7827572408900866,738,745
Pupil Neon,199,5,6,0.758830982972043,745,738
Pupil Neon,210,1,2,0.6437264694204878,737,732
Pupil Neon,210,3,4,1.3283839545655287,750,742
Pupil Neon,210,5,6,0.47325802824189017,740,737
Pupil Neon,231,1,2,1.445053332831514,738,730
Pupil Neon,231,3,4,0.9317355727679918,743,738
Pupil Neon,231,5,6,0.7355209158765491,731,738
Pupil Neon,259,1,2,0.9308595964990363,744,721
Pupil Neon,259,3,4,0.6960681156834351,750,728
Pupil Neon,259,5,6,0.7166317660013459,730,732
Pupil Neon,276,1,2,0.6474585495153223,709,724
Pupil Neon,276,3,4,0.9745972672450515,739,750
Pupil Neon,276,5,6,1.2865348543943118,747,748
Pupil Neon,299,1,2,0.40225640345546915,731,735
Pupil Neon,299,3,4,0.6787831627272232,705,623
Pupil Neon,299,5,6,0.46261593103396914,737,715
Pupil Neon,319,1,2,1.3126072547139764,736,734
Pupil Neon,319,3,4,0.9963964274718515,739,737
Pupil Neon,319,5,6,1.4626745299064448,749,748
Pupil Neon,332,1,2,1.3359341094460737,738,742
Pupil Neon,332,3,4,0.9294504414505498,745,728
Pupil Neon,332,5,6,1.124284585754835,743,736
Pupil Neon,347,1,2,1.22463369662262,737,722
Pupil Neon,347,3,4,0.6918714684683654,743,735
Pupil Neon,347,5,6,0.3242253597611817,729,703
Pupil Neon,352,1,2,0.7319260375153985,738,739
Pupil Neon,352,3,4,0.6505066807198736,723,734
Pupil Neon,352,5,6,0.3082312869158056,721,739
Pupil Neon,354,1,2,0.33728709388603245,736,693
Pupil Neon,354,3,4,1.1825073183103045,705,739
Pupil Neon,354,5,6,0.9620784052131324,744,731
Pupil Neon,375,1,2,1.3595214228245351,701,744
Pupil Neon,375,3,4,0.189159340993197,696,738
Pupil Neon,375,5,6,1.2157380697843514,730,724
Pupil Neon,397,1,2,0.25938151458757797,748,736
Pupil Neon,397,3,4,0.2978778786477054,742,738
Pupil Neon,397,5,6,0.9855364123554426,735,744
Pupil Neon,406,1,2,0.8947649842368071,741,740
Pupil Neon,406,3,4,1.2394003853671223,740,744
Pupil Neon,406,5,6,1.2026061977022964,729,739
Pupil Neon,460,1,2,0.5611996187027011,747,744
Pupil Neon,460,3,4,0.2188373964838065,730,742
Pupil Neon,460,5,6,0.39325683134924183,739,742
Pupil Neon,503,1,2,0.584869979721379,738,733
Pupil Neon,503,3,4,0.36922010297935803,735,747
Pupil Neon,503,5,6,0.14977113935499237,736,736
Pupil Neon,695,1,2,0.6553900880014566,736,748
Pupil Neon,695,3,4,1.1960432522431612,741,738
Pupil Neon,695,5,6,1.1670405174101393,743,749
Pupil Neon,772,1,2,1.1818933327927268,727,742
Pupil Neon,772,3,4,0.9763780163728429,735,741
Pupil Neon,772,5,6,1.470904416694469,749,732
Pupil Neon,796,1,2,1.4955156959031959,732,739
Pupil Neon,796,3,4,1.4030040923465972,741,740
Pupil Neon,796,5,6,1.1297690235979925,733,711
Pupil Neon,844,1,2,0.6991755815006542,735,743
Pupil Neon,844,3,4,0.7352420397492666,690,720
Pupil Neon,844,5,6,1.2844271890718384,687,734
Pupil Neon,875,1,2,0.7997640006353006,727,747
Pupil Neon,875,3,4,0.29056231652608205,746,740
Pupil Neon,875,5,6,0.3681620784934018,746,746
Pupil Neon,914,1,2,1.3192340016452138,738,745
Pupil Neon,914,3,4,0.5581327079793792,744,722
Pupil Neon,914,5,6,0.8118952026173216,743,745
SMI ETG,137,1,2,1.369566165867261,115,110
SMI ETG,137,3,4,0.7160237459818775,114,113
SMI ETG,137,5,6,0.14650293999105832,113,115
SMI ETG,141,1,2,0.7829862426167321,115,114
SMI ETG,141,3,4,0.98875325572141,112,114
SMI ETG,141,5,6,1.2204381900616816,114,114
SMI ETG,199,1,2,1.3650173692712486,114,114
SMI ETG,199,3,4,1.059500967992887,114,113
SMI ETG,199,5,6,1.2369799811685391,114,112
SMI ETG,210,1,2,1.7079797106109131,110,114
SMI ETG,210,3,4,1.48178021013954,108,113
SMI ETG,210,5,6,1.324816417254954,113,114
SMI ETG,231,1,2,1.8029846161633782,112,112
SMI ETG,231,3,4,1.6504740010633623,112,109
SMI ETG,231,5,6,1.8033316503654515,115,113
SMI ETG,259,1,2,1.1771222898067095,114,110
SMI ETG,259,3,4,1.161013784161821,114,113
SMI ETG,259,5,6,0.78357632216933,113,115
SMI ETG,276,1,2,1.8540224214076797,110,110
SMI ETG,276,3,4,1.6264001821223308,95,110
SMI ETG,276,5,6,0.7947115170873442,110,109
SMI ETG,299,1,2,1.6208768922732644,108,107
SMI ETG,299,3,4,2.2754528688032543,114,114
SMI ETG,299,5,6,1.6376593351654403,106,113
SMI ETG,319,1,2,1.3705357605158983,113,114
SMI ETG,319,3,4,1.288071831229127,112,111
SMI ETG,319,5,6,1.5583072837050491,114,114
SMI ETG,332,1,2,1.3457430535092543,115,113
SMI ETG,332,3,4,1.5800389453438162,112,113
SMI ETG,332,5,6,1.4078725117720599,112,111
SMI ETG,347,1,2,1.9575568686306022,116,115
SMI ETG,347,3,4,1.8982974709745934,112,112
SMI ETG,347,5,6,0.8589766386895886,111,111
SMI ETG,352,1,2,1.919202164302368,114,111
SMI ETG,352,3,4,2.013056937348585,113,114
SMI ETG,352,5,6,1.8755773604551695,111,114
SMI ETG,354,1,2,2.032141625777319,114,113
SMI ETG,354,3,4,1.6679593368278565,112,115
SMI ETG,354,5,6,1.587478676929316,116,111
SMI ETG,375,1,2,0.7212662160611558,114,112
SMI ETG,375,3,4,0.41070077661090326,114,115
SMI ETG,375,5,6,0.7940926050659391,115,115
SMI ETG,397,1,2,1.5460913965123466,113,114
SMI ETG,397,3,4,1.4829531480877483,113,113
SMI ETG,397,5,6,1.4227919795912025,115,115
SMI ETG,406,1,2,2.0512641020649407,110,110
SMI ETG,406,3,4,2.4590677626512916,109,110
SMI ETG,406,5,6,2.4089321772778396,109,58
SMI ETG,460,1,2,3.183320933200367,115,113
SMI ETG,460,3,4,2.983027249096526,114,114
SMI ETG,460,5,6,3.0233161647653017,114,114
SMI ETG,503,1,2,1.5632015558626209,115,111
SMI ETG,503,3,4,2.0036336996085904,111,110
SMI ETG,503,5,6,1.3119614651378553,115,115
SMI ETG,695,1,2,2.965559446412294,110,114
SMI ETG,695,3,4,3.6558649343850855,111,115
SMI ETG,695,5,6,2.673931985615308,114,114
SMI ETG,772,1,2,2.1221922171042245,113,113
SMI ETG,772,3,4,1.8753792034571064,115,114
SMI ETG,772,5,6,1.9600996777351412,111,113
SMI ETG,796,1,2,0.6897570575217098,112,107
SMI ETG,796,3,4,3.515995055081968,114,112
SMI ETG,796,5,6,2.382306470310031,112,25
SMI ETG,844,1,2,2.023206690113209,113,109
