eye_tracker,participant_id,trial_number,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,pup_diam_l,pup_diam_r,gaze_x,gaze_y,distance_average,gaze_angle_x,gaze_angle_y,target_angle_x,target_angle_y,distance_to_target
Tobii Glasses 2,875,1,522,dilated,930.0054321289062,310.861572265625,694.284912109375,240.87608337402344,1150.4385375976562,195.54676818847656,717.689453125,423.47113037109375,1161.9694213867188,379.82513427734375,3.13,3.34,940.7188720703124,282.02117919921875,860.2342345294819,0.8947371489392915,-2.407394882762083,0.0,0.0,2.5682882796214828
Tobii Glasses 2,875,1,523,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.696044921875,424.4645080566406,1161.9695434570312,380.8162231445313,3.13,3.4,940.718994140625,283.01226806640625,858.5967781823549,0.894592341800088,-2.3243557268199524,0.0,0.0,2.490567205037454
Tobii Glasses 2,875,1,523,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.696044921875,424.4645080566406,1161.9695434570312,380.8162231445313,3.13,3.34,940.718994140625,283.01226806640625,858.5967781823549,0.894592341800088,-2.3243557268199524,0.0,0.0,2.490567205037454
Tobii Glasses 2,875,1,523,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.696044921875,424.4645080566406,1161.9695434570312,380.8162231445313,3.13,3.4,940.5277099609376,282.9052734375,858.5967781823549,0.8786224624501529,-2.333275850596918,0.0,0.0,2.493221535784725
Tobii Glasses 2,875,1,523,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.696044921875,424.4645080566406,1161.9695434570312,380.8162231445313,3.13,3.33,940.5277709960938,283.0121765136719,858.5967781823549,0.8786275581578671,-2.3243633596038964,0.0,0.0,2.4848845875459826
Tobii Glasses 2,875,1,524,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,717.6918334960938,423.4671020507813,1161.9695434570312,380.8162231445313,3.14,3.33,940.5274658203124,282.3707275390625,860.1074467782892,0.878698879809403,-2.378100865677313,0.0,0.0,2.535246624830311
Tobii Glasses 2,875,1,524,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,717.6918334960938,423.4671020507813,1161.9695434570312,380.8162231445313,3.13,3.4,941.1014404296876,283.0124206542969,860.1074467782892,0.9266235677738663,-2.3245988497450902,0.0,0.0,2.5024769826294437
Tobii Glasses 2,875,1,524,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,717.6918334960938,423.4671020507813,1161.9695434570312,380.8162231445313,3.13,3.33,941.1014404296876,283.0124206542969,860.1074467782892,0.9266235677738663,-2.3245988497450902,0.0,0.0,2.5024769826294437
Tobii Glasses 2,875,1,524,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,717.6918334960938,423.4671020507813,1161.9695434570312,380.8162231445313,3.13,3.4,940.5277709960938,283.0121765136719,860.1074467782892,0.8787243611543942,-2.324619206071281,0.0,0.0,2.4851581350331955
Tobii Glasses 2,875,1,525,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.13,3.4,940.1448364257812,281.8360290527344,859.7778303571617,0.8468450208613374,-2.4229501976213124,0.0,0.0,2.5666776481496067
Tobii Glasses 2,875,1,525,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.14,3.33,939.7623291015624,281.72900390625,859.7778303571617,0.8149023272275366,-2.431873573831565,0.0,0.0,2.5647757956634654
Tobii Glasses 2,875,1,525,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.14,3.4,939.5709228515624,281.4082336425781,859.7778303571617,0.7989180465729077,-2.4586175491950897,0.0,0.0,2.5851634954775955
Tobii Glasses 2,875,1,525,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.15,3.32,939.57080078125,281.0875244140625,859.7778303571617,0.7989078524764298,-2.4853553641500308,0.0,0.0,2.610602429106706
Tobii Glasses 2,875,1,526,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.13,3.39,939.5708618164062,281.1944274902344,859.7778303571617,0.7989129495246798,-2.476442878940831,0.0,0.0,2.602120526335199
Tobii Glasses 2,875,1,526,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.15,3.32,939.7620849609376,281.08758544921875,859.7778303571617,0.8148819391947454,-2.485350275697196,0.0,0.0,2.6155302651152628
Tobii Glasses 2,875,1,526,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.13,3.39,939.7620849609376,281.1944885253906,859.7778303571617,0.8148819391947454,-2.4764377904194066,0.0,0.0,2.6070628501520905
Tobii Glasses 2,875,1,526,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.15,3.32,939.379638671875,281.1943664550781,859.7778303571617,0.7829438357263878,-2.476447967462216,0.0,0.0,2.5972669453580797
Tobii Glasses 2,875,1,527,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.14,3.32,941.1007080078124,281.1950378417969,859.7778303571617,0.9266662797403241,-2.476391993724831,0.0,0.0,2.644092982591992
Tobii Glasses 2,875,1,527,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.14,3.39,940.7183227539062,281.3017883300781,859.7778303571617,0.8947351324368145,-2.467492109388673,0.0,0.0,2.6247034627005172
Tobii Glasses 2,875,1,527,dilated,930.0054321289062,310.861572265625,693.2926025390625,240.87716674804688,1149.4472045898438,196.5353240966797,716.6983032226562,423.4693603515625,1161.9695434570312,380.8162231445313,3.14,3.4,939.7618408203124,280.5531005859375,859.7778303571617,0.8148615511617098,-2.5299083442461257,0.0,0.0,2.657900595930525
