eye_tracker,participant_id,trial_number,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,pup_diam_l,pup_diam_r,gaze_x,gaze_y,distance_average,gaze_angle_x,gaze_angle_y,target_angle_x,target_angle_y,distance_to_target
Pupil Core,844,1,1402,dark,623.9400634765625,491.60540771484375,479.3142700195313,428.5413513183594,773.088134765625,436.5867614746094,472.6714172363281,546.9401550292969,774.354248046875,554.8418884277344,5.09772202,6.26738174,657.0773315429688,473.0765380859375,923.8902244684604,2.3890462871099754,-1.336379535647297,0.0,0.0,2.7374171083798764
Pupil Core,844,1,1402,dark,623.9400634765625,491.60540771484375,479.3142700195313,428.5413513183594,773.088134765625,436.5867614746094,472.6714172363281,546.9401550292969,774.354248046875,554.8418884277344,5.13631517,6.22663069,656.7199096679688,474.2388916015625,923.8902244684604,2.3633071724558747,-1.2525733426934376,0.0,0.0,2.6747262981859645
Pupil Core,844,1,1402,dark,623.9400634765625,491.60540771484375,479.3142700195313,428.5413513183594,773.088134765625,436.5867614746094,472.6714172363281,546.9401550292969,774.354248046875,554.8418884277344,5.12434661,6.23359307,659.1492919921875,473.5723571777344,923.8902244684604,2.5382355824611436,-1.3006314425633787,0.0,0.0,2.8520662722763572
Pupil Core,844,1,1402,dark,623.9400634765625,491.60540771484375,479.3142700195313,428.5413513183594,773.088134765625,436.5867614746094,472.6714172363281,546.9401550292969,774.354248046875,554.8418884277344,5.09806524,6.23359307,659.0968627929688,473.8110656738281,923.8902244684604,2.5344608902176304,-1.283420420213034,0.0,0.0,2.8408907017100367
Pupil Core,844,1,1402,dark,623.9400634765625,491.60540771484375,479.3142700195313,428.5413513183594,773.088134765625,436.5867614746094,472.6714172363281,546.9401550292969,774.354248046875,554.8418884277344,5.12434661,6.22222924,658.8779907226562,474.1277770996094,923.8902244684604,2.5187027408311176,-1.2605849839038488,0.0,0.0,2.8165471766533665
Pupil Core,844,1,1402,dark,623.9400634765625,491.60540771484375,479.3142700195313,428.5413513183594,773.088134765625,436.5867614746094,472.6714172363281,546.9401550292969,774.354248046875,554.8418884277344,5.09806524,6.22663069,659.39208984375,473.9770202636719,923.8902244684604,2.5557157668268586,-1.2714548604111753,0.0,0.0,2.8545193190571685
Pupil Core,844,1,1403,dark,623.9400634765625,491.60540771484375,479.3072814941406,429.56048583984375,774.132568359375,436.59466552734375,472.6714172363281,546.9401550292969,774.3877563476562,555.9111022949219,5.08634625,6.21732556,655.76171875,474.4726257324219,922.9758734983976,2.2943136910525936,-1.2357277098611317,0.0,0.0,2.605935203697516
Pupil Core,844,1,1403,dark,623.9400634765625,491.60540771484375,479.3072814941406,429.56048583984375,774.132568359375,436.59466552734375,472.6714172363281,546.9401550292969,774.3877563476562,555.9111022949219,5.09741728,6.21732556,654.8926391601562,474.5546569824219,922.9758734983976,2.231718053656697,-1.2298129038364234,0.0,0.0,2.5481376041061465
Pupil Core,844,1,1403,dark,623.9400634765625,491.60540771484375,479.3072814941406,429.56048583984375,774.132568359375,436.59466552734375,472.6714172363281,546.9401550292969,774.3877563476562,555.9111022949219,5.09741728,6.22389422,654.9298706054688,474.2383117675781,922.9758734983976,2.234399766562337,-1.252622609233881,0.0,0.0,2.5615631395649263
Pupil Core,844,1,1403,dark,623.9400634765625,491.60540771484375,479.3072814941406,429.56048583984375,774.132568359375,436.59466552734375,472.6714172363281,546.9401550292969,774.3877563476562,555.9111022949219,5.15008345,6.22389422,655.3965454101562,474.9774169921875,922.9758734983976,2.2680126645200014,-1.199329675466264,0.0,0.0,2.565594106026347
Pupil Core,844,1,1403,dark,623.9400634765625,491.60540771484375,479.3072814941406,429.56048583984375,774.132568359375,436.59466552734375,472.6714172363281,546.9401550292969,774.3877563476562,555.9111022949219,5.15008345,6.23123912,655.9169921875,475.35601806640625,922.9758734983976,2.3054967199004843,-1.172029962563676,0.0,0.0,2.586304189112121
Pupil Core,844,1,1403,dark,623.9400634765625,491.60540771484375,479.3072814941406,429.56048583984375,774.132568359375,436.59466552734375,472.6714172363281,546.9401550292969,774.3877563476562,555.9111022949219,5.1064338,6.23123912,656.8097534179688,475.1319274902344,922.9758734983976,2.3697913036674794,-1.1881884825687041,0.0,0.0,2.6509814584502345
Pupil Core,844,1,1403,dark,623.9400634765625,491.60540771484375,479.3072814941406,429.56048583984375,774.132568359375,436.59466552734375,472.6714172363281,546.9401550292969,774.3877563476562,555.9111022949219,5.1064338,6.18091344,656.5010986328125,474.6815490722656,922.9758734983976,2.347563372334354,-1.220663386669779,0.0,0.0,2.645954060576634
Pupil Core,844,1,1403,dark,623.9400634765625,491.60540771484375,479.3072814941406,429.56048583984375,774.132568359375,436.59466552734375,472.6714172363281,546.9401550292969,774.3877563476562,555.9111022949219,5.1064338,6.22323047,656.83203125,474.2891845703125,922.9758734983976,2.3713956255350914,-1.2489545113087852,0.0,0.0,2.680187415858364
Pupil Core,844,1,1404,dark,623.9400634765625,491.60540771484375,479.3072814941406,429.56048583984375,774.132568359375,436.59466552734375,472.6714172363281,546.9401550292969,774.3877563476562,555.9111022949219,5.16786891,6.22209911,654.5654296875,478.35113525390625,922.9758734983976,2.208149334350407,-0.9560438841933362,0.0,0.0,2.4062301201871
