frame,distance_from_width,distance_from_height,distance_average
948,879.5199255432866,862.2739337899651,870.8969296666259
949,879.5707647711171,859.9357220675248,869.7532434193209
949,879.5707647711171,859.9357220675248,869.7532434193209
949,879.5707647711171,859.9357220675248,869.7532434193209
949,879.5707647711171,859.9357220675248,869.7532434193209
950,879.5123470920978,862.031469142695,870.7719081173964
950,879.5123470920978,862.031469142695,870.7719081173964
950,879.5123470920978,862.031469142695,870.7719081173964
950,879.5123470920978,862.031469142695,870.7719081173964
952,879.5582063798923,859.6831737022045,869.6206900410484
952,879.5582063798923,859.6831737022045,869.6206900410484
953,880.4753245288949,862.0747587583668,871.2750416436309
953,880.4753245288949,862.0747587583668,871.2750416436309
953,880.4753245288949,862.0747587583668,871.2750416436309
953,880.4753245288949,862.0747587583668,871.2750416436309
954,880.5243675163193,859.8420490998406,870.1832083080799
954,880.5243675163193,859.8420490998406,870.1832083080799
954,880.5243675163193,859.8420490998406,870.1832083080799
954,880.5243675163193,859.8420490998406,870.1832083080799
954,880.5243675163193,859.8420490998406,870.1832083080799
955,880.5201638449826,864.5332819390009,872.5267228919918
955,880.5201638449826,864.5332819390009,872.5267228919918
955,880.5201638449826,864.5332819390009,872.5267228919918
955,880.5201638449826,864.5332819390009,872.5267228919918
956,879.5441680940237,864.354092403521,871.9491302487723
956,879.5441680940237,864.354092403521,871.9491302487723
956,879.5441680940237,864.354092403521,871.9491302487723
956,879.5441680940237,864.354092403521,871.9491302487723
957,880.5116632017587,859.7081501684715,870.1099066851151
957,880.5116632017587,859.7081501684715,870.1099066851151
957,880.5116632017587,859.7081501684715,870.1099066851151
957,880.5116632017587,859.7081501684715,870.1099066851151
958,880.5073390163673,864.3971317556847,872.4522353860259
958,880.5073390163673,864.3971317556847,872.4522353860259
958,880.5073390163673,864.3971317556847,872.4522353860259
959,879.5313653984632,864.5743903826458,872.0528778905546
959,879.5313653984632,864.5743903826458,872.0528778905546
959,879.5313653984632,864.5743903826458,872.0528778905546
960,879.4847694139153,862.2204043239773,870.8525868689462
960,879.4847694139153,862.2204043239773,870.8525868689462
960,879.4847694139153,862.2204043239773,870.8525868689462
960,879.4847694139153,862.2204043239773,870.8525868689462
961,880.4576097911156,862.1610122108241,871.3093110009698
961,880.4576097911156,862.1610122108241,871.3093110009698
961,880.4576097911156,862.1610122108241,871.3093110009698
961,880.4576097911156,862.1610122108241,871.3093110009698
962,879.4817977527447,861.982843370284,870.7323205615144
962,879.4817977527447,861.982843370284,870.7323205615144
962,879.4817977527447,861.982843370284,870.7323205615144
962,879.4817977527447,861.982843370284,870.7323205615144
963,880.453078188578,862.1547051421136,871.3038916653459
963,880.453078188578,862.1547051421136,871.3038916653459
963,880.453078188578,862.1547051421136,871.3038916653459
963,880.453078188578,862.1547051421136,871.3038916653459
964,880.453078188578,862.1547051421136,871.3038916653459
964,880.453078188578,862.1547051421136,871.3038916653459
964,880.453078188578,862.1547051421136,871.3038916653459
964,880.453078188578,862.1547051421136,871.3038916653459
965,880.499062766779,859.8054516532642,870.1522572100216
965,880.499062766779,859.8054516532642,870.1522572100216
965,880.499062766779,859.8054516532642,870.1522572100216
966,880.4479237633634,862.1429476991422,871.2954357312528
966,880.4479237633634,862.1429476991422,871.2954357312528
967,880.499062766779,859.8054516532642,870.1522572100216
967,880.499062766779,859.8054516532642,870.1522572100216
967,880.499062766779,859.8054516532642,870.1522572100216
967,880.499062766779,859.8054516532642,870.1522572100216
968,879.4771710110027,861.9775588472274,870.7273649291151
968,879.4771710110027,861.9775588472274,870.7273649291151
968,879.4771710110027,861.9775588472274,870.7273649291151
968,879.4771710110027,861.9775588472274,870.7273649291151
969,880.4499998046335,862.0382281157529,871.2441139601932
969,880.4499998046335,862.0382281157529,871.2441139601932
969,880.4499998046335,862.0382281157529,871.2441139601932
969,880.4499998046335,862.0382281157529,871.2441139601932
970,880.4499998046335,862.0382281157529,871.2441139601932
970,880.4499998046335,862.0382281157529,871.2441139601932
970,880.4499998046335,862.0382281157529,871.2441139601932
970,880.4499998046335,862.0382281157529,871.2441139601932
971,880.499062766779,859.8054516532642,870.1522572100216
971,880.499062766779,859.8054516532642,870.1522572100216
971,880.499062766779,859.8054516532642,870.1522572100216
971,880.499062766779,859.8054516532642,870.1522572100216
972,880.453078188578,862.1547051421136,871.3038916653459
972,880.453078188578,862.1547051421136,871.3038916653459
972,880.453078188578,862.1547051421136,871.3038916653459
972,880.453078188578,862.1547051421136,871.3038916653459
972,880.453078188578,862.1547051421136,871.3038916653459
973,880.453078188578,862.1547051421136,871.3038916653459
973,880.453078188578,862.1547051421136,871.3038916653459
973,880.453078188578,862.1547051421136,871.3038916653459
973,880.453078188578,862.1547051421136,871.3038916653459
974,879.4800147897483,862.2143917864996,870.847203288124
974,879.4800147897483,862.2143917864996,870.847203288124
974,879.4800147897483,862.2143917864996,870.847203288124
974,879.4800147897483,862.2143917864996,870.847203288124
975,879.4800147897483,862.2143917864996,870.847203288124
975,879.4800147897483,862.2143917864996,870.847203288124
975,879.4800147897483,862.2143917864996,870.847203288124
975,879.4800147897483,862.2143917864996,870.847203288124
976,880.5045424928884,864.5143765614622,872.5094595271753
976,880.5045424928884,864.5143765614622,872.5094595271753
977,880.453078188578,862.1547051421136,871.3038916653459
977,880.453078188578,862.1547051421136,871.3038916653459
977,880.453078188578,862.1547051421136,871.3038916653459
977,880.453078188578,862.1547051421136,871.3038916653459
978,880.499062766779,859.8054516532642,870.1522572100216
978,880.499062766779,859.8054516532642,870.1522572100216
978,880.499062766779,859.8054516532642,870.1522572100216
978,880.499062766779,859.8054516532642,870.1522572100216
979,880.5045424928884,864.5143765614622,872.5094595271753
979,880.5045424928884,864.5143765614622,872.5094595271753
979,880.5045424928884,864.5143765614622,872.5094595271753
979,880.5045424928884,864.5143765614622,872.5094595271753
980,880.4576097911156,862.1610122108242,871.30931100097
980,880.4576097911156,862.1610122108242,871.30931100097
980,880.4576097911156,862.1610122108242,871.30931100097
980,880.4576097911156,862.1610122108242,871.30931100097
981,880.4576097911156,862.1610122108242,871.30931100097
981,880.4576097911156,862.1610122108242,871.30931100097
981,880.4576097911156,862.1610122108242,871.30931100097
981,880.4576097911156,862.1610122108242,871.30931100097
982,880.5045424928884,864.5143765614622,872.5094595271753
982,880.5045424928884,864.5143765614622,872.5094595271753
982,880.5045424928884,864.5143765614622,872.5094595271753
983,880.5045424928884,864.5143765614622,872.5094595271753
984,880.5045424928884,864.5143765614622,872.5094595271753
984,880.5045424928884,864.5143765614622,872.5094595271753
984,880.5045424928884,864.5143765614622,872.5094595271753
985,880.453078188578,862.1547051421136,871.3038916653459
985,880.453078188578,862.1547051421136,871.3038916653459
985,880.453078188578,862.1547051421136,871.3038916653459
985,880.453078188578,862.1547051421136,871.3038916653459
986,880.453078188578,862.1547051421136,871.3038916653459
986,880.453078188578,862.1547051421136,871.3038916653459
986,880.453078188578,862.1547051421136,871.3038916653459
986,880.453078188578,862.1547051421136,871.3038916653459
987,880.453078188578,862.1547051421136,871.3038916653459
987,880.453078188578,862.1547051421136,871.3038916653459
987,880.453078188578,862.1547051421136,871.3038916653459
987,880.453078188578,862.1547051421136,871.3038916653459
988,880.4499998046335,862.0382281157529,871.2441139601932
988,880.4499998046335,862.0382281157529,871.2441139601932
988,880.4499998046335,862.0382281157529,871.2441139601932
