eye_tracker,frame,trial_condition,segment,target_x,target_y,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_pos_vid_x,gaze_pos_vid_y,pup_diam_l_px_x,pup_diam_l_px_y,pup_diam_r_px_x,pup_diam_r_px_y,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],gaze_target_angle
SMI ETG,1974,constricted,6,647,606,28.382,10.031,-21.594,2.94,-0.0374,-0.2828,0.9585,-29.81,9.872,-20.093,2.98,0.0123,-0.2531,0.9674,652.86,604.01,65.0,51.0,66.0,52.0,654.9,632.48,671.93,612.34,0.31106746469035496
SMI ETG,1975,constricted,6,647,606,28.382,10.031,-21.594,2.88,-0.0361,-0.2819,0.9588,-29.81,9.872,-20.093,2.96,0.0116,-0.2525,0.9675,652.51,602.79,64.0,51.0,66.0,52.0,653.44,631.42,672.77,611.62,0.32031952457546015
SMI ETG,1976,constricted,6,647,606,28.382,10.031,-21.594,2.9,-0.0361,-0.2831,0.9584,-29.81,9.872,-20.093,2.94,0.0111,-0.2545,0.967,652.73,604.51,64.0,50.0,66.0,50.0,653.42,632.92,673.28,614.0,0.2976307755669328
SMI ETG,1977,constricted,6,647,606,28.382,10.031,-21.594,2.86,-0.0373,-0.2835,0.9582,-29.81,9.872,-20.093,2.92,0.011,-0.2544,0.9671,653.56,604.95,64.0,50.0,66.0,50.0,654.86,633.39,673.41,613.89,0.334006033154115
SMI ETG,1977,constricted,6,647,606,28.382,10.031,-21.594,2.84,-0.0379,-0.2828,0.9584,-29.811,9.872,-20.093,2.94,0.0101,-0.2556,0.9667,654.39,604.71,64.0,50.0,66.0,50.0,655.57,632.5,674.43,615.38,0.3771545601778337
SMI ETG,1978,constricted,6,647,606,28.382,10.031,-21.594,2.86,-0.0361,-0.2831,0.9584,-29.811,9.872,-20.092,2.92,0.0109,-0.2539,0.9672,652.86,604.3,63.0,50.0,64.0,50.0,653.4,632.91,673.53,613.39,0.3067188335788279
SMI ETG,1978,constricted,6,647,606,28.382,10.031,-21.594,2.86,-0.0383,-0.2834,0.9582,-29.811,9.872,-20.092,2.92,0.0109,-0.2537,0.9672,654.28,604.78,63.0,50.0,64.0,50.0,656.05,633.3,673.55,613.12,0.3711107410178807
SMI ETG,1979,constricted,6,647,606,28.382,10.03,-21.594,2.86,-0.038,-0.2837,0.9582,-29.811,9.872,-20.092,2.92,0.0098,-0.2539,0.9672,654.74,604.94,63.0,50.0,64.0,50.0,655.66,633.65,674.89,613.4,0.3927686757653049
SMI ETG,1980,constricted,6,647,606,28.382,10.03,-21.594,2.86,-0.0371,-0.2834,0.9583,-29.811,9.872,-20.092,2.94,0.0104,-0.2538,0.9672,653.85,604.59,63.0,51.0,64.0,52.0,654.64,633.28,674.2,613.23,0.35159967258245883
SMI ETG,1981,constricted,6,646,606,28.383,10.03,-21.594,2.84,-0.0378,-0.2842,0.958,-29.811,9.872,-20.092,2.88,0.0123,-0.2544,0.967,653.13,605.84,63.0,50.0,64.0,50.0,655.42,634.29,671.9,613.91,0.35853758073111425
SMI ETG,1982,constricted,6,646,606,28.383,10.03,-21.594,2.86,-0.0357,-0.2846,0.958,-29.811,9.872,-20.092,2.9,0.0119,-0.2534,0.9673,652.18,605.52,63.0,50.0,64.0,50.0,653.04,634.71,672.44,612.73,0.31163924195095266
SMI ETG,1983,constricted,6,646,606,28.383,10.03,-21.594,2.82,-0.0371,-0.2845,0.958,-29.811,9.872,-20.092,2.86,0.0111,-0.2551,0.9669,653.39,606.06,63.0,50.0,64.0,50.0,654.61,634.6,673.32,614.74,0.37151392763906954
SMI ETG,1984,constricted,6,646,606,28.383,10.03,-21.594,2.82,-0.0386,-0.2842,0.958,-29.811,9.872,-20.092,2.86,0.0102,-0.2567,0.9665,654.81,606.46,63.0,50.0,64.0,50.0,656.4,634.26,674.37,616.69,0.4434444780351571
SMI ETG,1985,constricted,6,646,606,28.383,10.03,-21.594,2.82,-0.0374,-0.2849,0.9578,-29.811,9.872,-20.092,2.86,0.0093,-0.2531,0.9674,654.7,605.62,63.0,50.0,64.0,50.0,655.0,635.1,675.38,612.35,0.4377993941556593
SMI ETG,1986,constricted,6,646,606,28.383,10.03,-21.594,2.82,-0.0375,-0.2831,0.9584,-29.811,9.872,-20.092,2.82,0.01,-0.251,0.9679,654.36,603.39,63.0,48.0,64.0,48.0,655.1,632.9,674.58,609.83,0.4402497462249972
SMI ETG,1986,constricted,6,646,606,28.383,10.03,-21.594,2.8,-0.0392,-0.2827,0.9584,-29.811,9.872,-20.092,2.82,0.0104,-0.2504,0.9681,655.15,603.05,63.0,48.0,64.0,48.0,657.02,632.43,674.15,609.09,0.48327080229201513
SMI ETG,1987,constricted,6,646,606,28.383,10.03,-21.594,2.8,-0.038,-0.283,0.9584,-29.811,9.872,-20.092,2.8,0.011,-0.2496,0.9683,654.12,602.99,62.0,48.0,62.0,48.0,655.64,632.75,673.46,608.17,0.4352728380251444
SMI ETG,1988,constricted,6,646,606,28.383,10.03,-21.594,2.78,-0.0387,-0.2839,0.9581,-29.811,9.872,-20.092,2.78,0.0103,-0.2493,0.9684,655.02,603.79,61.0,47.0,62.0,48.0,656.53,633.93,674.26,607.77,0.46688132821560463
SMI ETG,1988,constricted,6,646,606,28.383,10.03,-21.594,2.78,-0.0373,-0.2825,0.9586,-29.812,9.872,-20.092,2.8,0.0109,-0.2511,0.9679,653.67,602.9,62.0,48.0,62.0,48.0,654.85,632.09,673.53,610.0,0.4157780723697881
SMI ETG,1989,constricted,6,646,606,28.383,10.03,-21.594,2.74,-0.0381,-0.2812,0.9589,-29.812,9.872,-20.092,2.76,0.0116,-0.2496,0.9683,653.79,601.41,59.0,47.0,60.0,48.0,655.74,630.58,672.82,608.09,0.4542050062495083
SMI ETG,1990,constricted,6,646,606,28.383,10.03,-21.594,2.76,-0.0378,-0.2826,0.9585,-29.812,9.872,-20.092,2.76,0.0104,-0.25,0.9682,654.35,602.64,59.0,47.0,60.0,48.0,655.42,632.24,674.21,608.67,0.4523710581660012
SMI ETG,1991,constricted,6,646,606,28.383,10.03,-21.594,2.74,-0.0385,-0.2816,0.9588,-29.812,9.872,-20.092,2.72,0.008,-0.2505,0.9681,656.07,601.69,59.0,47.0,60.0,48.0,656.17,631.0,676.96,609.28,0.5505189229096554
SMI ETG,1992,constricted,6,646,606,28.383,10.029,-21.594,2.68,-0.0387,-0.2784,0.9597,-29.812,9.872,-20.092,2.7,0.0091,-0.2468,0.969,655.56,597.72,59.0,46.0,60.0,48.0,656.4,627.11,675.67,604.76,0.6349199850426487
SMI ETG,1992,constricted,6,646,606,28.383,10.029,-21.594,2.64,-0.0376,-0.2779,0.9599,-29.812,9.872,-20.092,2.68,0.0095,-0.2459,0.9693,654.72,596.92,59.0,45.0,60.0,46.0,655.13,626.54,675.3,603.69,0.6317145505972822
SMI ETG,1993,constricted,6,646,606,28.383,10.029,-21.594,2.66,-0.0377,-0.2772,0.9601,-29.812,9.872,-20.092,2.66,0.0096,-0.246,0.9692,654.71,596.35,59.0,45.0,60.0,46.0,655.28,625.7,675.17,603.81,0.6522224853933387
SMI ETG,1994,constricted,6,646,606,28.383,10.029,-21.594,2.64,-0.0384,-0.2778,0.9599,-29.812,9.871,-20.092,2.64,0.0086,-0.2473,0.9689,655.61,597.24,59.0,45.0,60.0,46.0,656.02,626.34,676.24,605.42,0.6527365282131237
SMI ETG,1995,constricted,6,646,606,28.383,10.029,-21.594,2.64,-0.0394,-0.2768,0.9601,-29.812,9.871,-20.092,2.64,0.0066,-0.2473,0.9689,657.38,596.2,58.0,45.0,58.0,46.0,657.17,625.13,678.64,605.33,0.7540449612203753
SMI ETG,1995,constricted,6,646,606,28.384,10.029,-21.594,2.64,-0.0386,-0.278,0.9598,-29.812,9.871,-20.092,2.64,0.0083,-0.247,0.969,655.92,597.36,59.0,45.0,60.0,46.0,656.26,626.66,676.57,605.05,0.6604241265802198
SMI ETG,1996,constricted,6,646,606,28.384,10.029,-21.594,2.66,-0.0404,-0.2795,0.9593,-29.812,9.871,-20.092,2.66,0.0075,-0.2476,0.9688,657.53,599.01,60.0,46.0,60.0,46.0,658.39,628.47,677.5,605.73,0.6774098795825031
SMI ETG,1998,constricted,6,646,606,28.384,10.029,-21.594,2.7,-0.0418,-0.2792,0.9593,-29.812,9.871,-20.092,2.68,0.0076,-0.2484,0.9686,658.33,599.22,60.0,47.0,60.0,48.0,660.05,628.2,677.43,606.64,0.707060275232569
SMI ETG,1999,constricted,6,646,606,28.384,10.029,-21.594,2.8,-0.0415,-0.2791,0.9594,-29.812,9.871,-20.092,2.74,0.0075,-0.2545,0.9671,658.03,601.25,60.0,48.0,60.0,48.0,659.7,627.97,677.55,614.07,0.65012067177823
SMI ETG,2000,constricted,6,646,606,28.384,10.029,-21.594,2.78,-0.0402,-0.2785,0.9596,-29.813,9.871,-20.092,2.76,0.0079,-0.2515,0.9678,657.07,599.46,61.0,48.0,62.0,48.0,658.21,627.22,677.07,610.39,0.6459810545799012
SMI ETG,2000,constricted,6,646,606,28.384,10.029,-21.594,2.82,-0.0435,-0.2776,0.9597,-29.813,9.871,-20.092,2.78,0.0058,-0.2541,0.9672,660.12,599.91,61.0,48.0,62.0,48.0,661.98,626.16,679.41,613.58,0.7729339215880681
SMI ETG,2001,constricted,6,646,606,28.384,10.029,-21.594,2.84,-0.0426,-0.2783,0.9596,-29.813,9.871,-20.092,2.82,0.0054,-0.2564,0.9666,659.77,601.24,62.0,49.0,62.0,50.0,660.91,627.02,679.9,616.42,0.7324258691421739
SMI ETG,2002,constricted,6,646,605,28.384,10.028,-21.594,2.94,-0.0428,-0.2794,0.9592,-29.813,9.871,-20.092,2.84,0.0053,-0.2583,0.9661,659.9,602.94,63.0,50.0,62.0,50.0,661.15,628.38,679.95,618.65,0.7065513942830299
SMI ETG,2003,constricted,6,646,605,28.384,10.028,-21.594,2.96,-0.0423,-0.2789,0.9594,-29.813,9.871,-20.092,2.86,0.0061,-0.2592,0.9658,659.17,603.05,64.0,51.0,64.0,50.0,660.66,627.83,679.03,619.82,0.6694307138003528
SMI ETG,2004,constricted,6,646,606,28.384,10.028,-21.594,3.0,-0.0435,-0.28,0.959,-29.813,9.871,-20.092,2.92,0.0063,-0.2616,0.9652,659.74,605.13,64.0,52.0,64.0,52.0,661.99,629.09,678.8,622.7,0.6921408699595332
SMI ETG,2005,constricted,6,646,606,28.384,10.028,-21.594,3.0,-0.0422,-0.2802,0.959,-29.813,9.871,-20.092,2.98,0.0035,-0.2636,0.9646,660.52,605.48,65.0,52.0,66.0,52.0,660.56,629.34,682.03,625.12,0.7304035341937003
SMI ETG,2005,constricted,6,646,606,28.384,10.028,-21.594,3.0,-0.0409,-0.2826,0.9584,-29.813,9.871,-20.092,2.98,0.0039,-0.2644,0.9644,659.54,607.57,65.0,52.0,66.0,52.0,659.01,632.28,681.62,626.15,0.6849747461727241
SMI ETG,2006,constricted,6,646,606,28.384,10.028,-21.593,3.02,-0.0416,-0.2808,0.9589,-29.813,9.871,-20.092,3.0,0.0041,-0.2643,0.9644,659.82,606.31,66.0,53.0,66.0,54.0,659.82,630.13,681.39,626.02,0.6948437783323803
SMI ETG,2007,constricted,6,647,606,28.384,10.028,-21.593,3.0,-0.0421,-0.2828,0.9583,-29.813,9.871,-20.092,3.02,0.0049,-0.2666,0.9638,659.69,609.12,66.0,53.0,68.0,54.0,660.45,632.58,680.45,628.78,0.6563465151395925
SMI ETG,2008,constricted,6,647,607,28.384,10.028,-21.593,3.02,-0.0423,-0.2813,0.9587,-29.813,9.871,-20.091,3.02,0.005,-0.2677,0.9635,659.65,608.56,66.0,53.0,66.0,54.0,660.59,630.76,680.27,630.13,0.6404200927731366
SMI ETG,2009,constricted,6,647,607,28.384,10.028,-21.593,2.98,-0.0422,-0.2804,0.959,-29.813,9.871,-20.091,3.02,0.004,-0.2677,0.9635,660.17,607.65,65.0,53.0,66.0,54.0,660.49,629.6,681.49,630.14,0.662683135008692
SMI ETG,2009,constricted,6,647,607,28.384,10.028,-21.593,3.0,-0.0416,-0.2805,0.959,-29.813,9.871,-20.091,3.0,0.0059,-0.2689,0.9632,658.7,608.56,65.0,53.0,66.0,54.0,659.78,629.73,679.26,631.58,0.5930676285164689
SMI ETG,2010,constricted,6,647,606,28.385,10.028,-21.593,2.96,-0.0446,-0.2798,0.959,-29.813,9.871,-20.092,2.96,0.0028,-0.2676,0.9635,662.32,607.4,65.0,50.0,66.0,50.0,663.29,628.94,682.89,629.96,0.773080842623395
SMI ETG,2011,constricted,6,647,605,28.385,10.028,-21.593,3.0,-0.0439,-0.2756,0.9603,-29.813,9.871,-20.092,2.92,0.0048,-0.2682,0.9634,660.65,605.0,65.0,51.0,66.0,50.0,662.38,623.78,680.53,630.74,0.6862098226108118
SMI ETG,2011,constricted,6,647,605,28.385,10.027,-21.593,2.92,-0.0443,-0.2782,0.9595,-29.813,9.871,-20.092,2.88,0.0037,-0.2691,0.9631,661.58,607.14,64.0,49.0,64.0,50.0,662.94,626.95,681.8,631.82,0.7404754486968056
SMI ETG,2012,constricted,6,647,605,28.385,10.027,-21.593,2.92,-0.0453,-0.2778,0.9596,-29.814,9.871,-20.091,2.88,0.0046,-0.2688,0.9632,661.67,607.05,64.0,49.0,64.0,50.0,664.07,626.45,680.76,631.43,0.7443288275398171
SMI ETG,2013,constricted,6,647,606,28.385,10.027,-21.593,2.86,-0.0461,-0.2772,0.9597,-29.814,9.871,-20.091,2.84,0.0033,-0.2689,0.9632,662.89,606.63,62.0,49.0,62.0,50.0,665.01,625.73,682.25,631.63,0.7992632930895543
SMI ETG,2014,constricted,6,648,606,28.385,10.027,-21.593,2.84,-0.0478,-0.2744,0.9604,-29.814,9.871,-20.091,2.82,0.0036,-0.2637,0.9646,663.75,602.28,62.0,50.0,62.0,50.0,666.91,622.32,681.93,625.21,0.8136525803704521
SMI ETG,2015,constricted,6,648,606,28.385,10.027,-21.593,2.82,-0.0468,-0.2743,0.9605,-29.814,9.871,-20.091,2.82,0.0039,-0.2643,0.9644,662.98,602.44,62.0,49.0,62.0,50.0,665.8,622.21,681.56,626.02,0.7741229633630783
SMI ETG,2016,constricted,6,648,606,28.385,10.027,-21.593,2.82,-0.0477,-0.2737,0.9606,-29.814,9.871,-20.091,2.84,0.0045,-0.2667,0.9638,663.13,603.57,62.0,49.0,62.0,50.0,666.78,621.47,680.84,628.88,0.7704309081868097
SMI ETG,2017,constricted,6,648,607,28.385,10.027,-21.593,2.82,-0.0474,-0.2731,0.9608,-29.814,9.871,-20.091,2.84,0.0042,-0.2662,0.9639,663.16,602.79,62.0,49.0,62.0,50.0,666.44,620.79,681.27,628.26,0.7909509750105941
SMI ETG,2017,constricted,6,648,607,28.385,10.027,-21.593,2.82,-0.0472,-0.2727,0.9609,-29.814,9.871,-20.091,2.84,0.0043,-0.2667,0.9638,662.99,602.75,62.0,49.0,62.0,50.0,666.26,620.27,681.12,628.84,0.7832613296318235
SMI ETG,2018,constricted,6,648,607,28.385,10.027,-21.593,2.8,-0.0472,-0.2748,0.9603,-29.814,9.871,-20.091,2.8,0.0043,-0.2677,0.9635,662.98,604.79,62.0,49.0,62.0,50.0,666.28,622.87,681.07,630.15,0.7612145839935732
SMI ETG,2019,constricted,6,648,607,28.385,10.027,-21.593,2.82,-0.0476,-0.2743,0.9605,-29.814,9.871,-20.091,2.82,0.0038,-0.268,0.9634,663.5,604.52,62.0,49.0,62.0,50.0,666.71,622.16,681.68,630.48,0.789121090927637
SMI ETG,2020,constricted,6,649,607,28.385,10.027,-21.593,2.8,-0.049,-0.2741,0.9605,-29.814,9.871,-20.091,2.8,0.0034,-0.2686,0.9633,664.63,604.93,62.0,49.0,62.0,50.0,668.38,621.94,682.18,631.21,0.7925793918337843
SMI ETG,2021,constricted,6,649,608,28.385,10.027,-21.593,2.8,-0.0496,-0.2749,0.9602,-29.814,9.871,-20.091,2.8,0.0029,-0.2624,0.965,665.31,602.26,62.0,47.0,62.0,48.0,669.04,623.01,682.77,623.71,0.8690868822319455
SMI ETG,2021,constricted,6,649,608,28.385,10.026,-21.593,2.8,-0.0501,-0.2753,0.96,-29.814,9.871,-20.091,2.78,0.0027,-0.2635,0.9647,665.73,603.16,61.0,48.0,62.0,48.0,669.68,623.53,682.94,624.96,0.8754445217077849
