eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,confidence,gaze_target_angle
Pupil Core,961,dilated,1,612,527,33963.8817548,-40.01064888,14.03380023,-20.01158938,5.23929285,0.01581054,0.20207216,0.97924301,20.02119094,15.06637857,-19.87802227,5.21326323,-0.06754885,0.09500942,0.99318194,600.26101132,535.45638081,-28.25297489,119.23279382,675.08206508,1.0,1.0498010010051528
Pupil Core,961,dilated,1,612,527,33968.0382548,-40.01064888,14.03380023,-20.01158938,5.24431748,0.01581054,0.20207216,0.97924301,20.02119094,15.06637857,-19.87802227,5.21326323,-0.06792344,0.09550455,0.9931089,600.05440467,535.74422259,-28.30655582,118.9574709,672.07511882,0.98251221,1.0743374723074828
Pupil Core,961,dilated,1,612,527,33972.11275481,-40.01064888,14.03380023,-20.01158938,5.24431748,0.0156512,0.2022177,0.97921552,20.02119094,15.06637857,-19.87802227,5.22818604,-0.06792344,0.09550455,0.9931089,600.01215683,535.76617895,-28.39615552,119.20014785,673.33484083,0.98251221,1.0777489858915137
Pupil Core,961,dilated,1,612,527,33975.99475479,-40.01064888,14.03380023,-20.01158938,5.24728761,0.0156512,0.2022177,0.97921552,20.02119094,15.06637857,-19.87802227,5.22818604,-0.06877535,0.09464562,0.9931325,599.53486258,535.62801201,-28.50846458,117.84773123,666.36375251,0.99067873,1.0997988663129148
Pupil Core,961,dilated,1,612,527,33979.9532548,-40.01064888,14.03380023,-20.01158938,5.24728761,0.01470942,0.20226904,0.97921952,20.02119094,15.06637857,-19.87802227,5.2029285,-0.06877535,0.09464562,0.9931325,599.28787761,535.42198733,-29.04357345,119.00295665,673.92048224,0.99067873,1.1059579937889477
Pupil Core,961,dilated,1,612,527,33983.93875481,-40.01064888,14.03380023,-20.01158938,5.2399809,0.01470942,0.20226904,0.97921952,20.02119094,15.06637857,-19.87802227,5.2029285,-0.06943311,0.09282618,0.99325845,598.91490407,534.85341317,-29.12115681,117.52975905,668.39608312,0.98114991,1.1061734195955624
Pupil Core,962,dilated,1,612,527,33987.95625481,-40.01064888,14.03380023,-20.01158938,5.2399809,0.01646665,0.20243593,0.97915706,20.02119094,15.06637857,-19.87802227,5.2205767,-0.06943311,0.09282618,0.99325845,599.37493397,535.34697022,-28.13737079,115.5254613,654.59600673,0.98114991,1.0976680694048735
Pupil Core,962,dilated,1,612,527,33991.9257548,-40.01064888,14.03380023,-20.01158938,5.23043654,0.01646665,0.20243593,0.97915706,20.02119094,15.06637857,-19.87802227,5.2205767,-0.06849438,0.09481899,0.99313538,599.90509266,535.91728403,-28.01519858,117.34864654,662.12881495,0.96439794,1.0905715382488987
Pupil Core,962,dilated,1,612,527,33995.8472548,-40.01064888,14.03380023,-20.01158938,5.23043654,0.01621452,0.20182975,0.97928639,20.02119094,15.06637857,-19.87802227,5.21966726,-0.06849438,0.09481899,0.99313538,599.84086323,535.60459997,-28.15718541,117.44942385,664.23748672,0.96439794,1.080770080479132
Pupil Core,962,dilated,1,612,527,33999.93875481,-40.01064888,14.03380023,-20.01158938,5.24508541,0.01621452,0.20182975,0.97928639,20.02119094,15.06637857,-19.87802227,5.21966726,-0.06851344,0.09207077,0.99339261,599.82017074,534.51121809,-28.15006063,116.41855584,663.80600759,1.0,1.0373299318779443
Pupil Core,962,dilated,1,612,527,34004.11025479,-40.01064888,14.03380023,-20.01158938,5.24508541,0.01399699,0.2029383,0.97909148,20.02119094,15.06637857,-19.87802227,5.19204576,-0.06851344,0.09207077,0.99339261,599.23540413,534.43696998,-29.41081201,119.46216605,681.51958205,1.0,1.070595489595145
Pupil Core,962,dilated,1,612,527,34008.02225481,-40.01064888,14.03380023,-20.01158938,5.2518481,0.01399699,0.2029383,0.97909148,20.02119094,15.06637857,-19.87802227,5.19204576,-0.06814288,0.09077333,0.99353749,599.4368236,533.83005399,-29.35871338,119.43483605,684.4863637,0.99729571,1.0358637591383228
Pupil Core,962,dilated,1,612,527,34011.9372548,-40.01064888,14.03380023,-20.01158938,5.2518481,0.01532301,0.20253204,0.97915575,20.02119094,15.06637857,-19.87802227,5.21458606,-0.06814288,0.09077333,0.99353749,599.78564121,533.98073446,-28.59381207,117.67402223,673.64226154,0.99729571,1.0193784203678324
Pupil Core,962,dilated,1,612,527,34015.9782548,-40.01064888,14.03380023,-20.01158938,5.2283889,0.01532301,0.20253204,0.97915575,20.02119094,15.06637857,-19.87802227,5.21458606,-0.06851496,0.09002509,0.99357998,599.57574381,533.77124612,-28.64090631,116.9483721,670.5380789,0.97874004,1.0249936096217558
Pupil Core,962,dilated,1,612,527,34019.99925479,-40.01064888,14.03380023,-20.01158938,5.2283889,0.01609106,0.20308269,0.97902937,20.02119094,15.06637857,-19.87802227,5.23949891,-0.06851496,0.09002509,0.99357998,599.77538343,534.18519599,-28.20729832,116.22119664,664.30284996,0.97578335,1.0276222768196057
Pupil Core,963,dilated,1,612,527,34024.0517548,-40.01064888,14.03380023,-20.01158938,5.25439441,0.01609106,0.20308269,0.97902937,20.02119094,15.06637857,-19.87802227,5.23949891,-0.0680485,0.08620847,0.99395045,600.02089698,532.54884403,-28.1293208,115.36618006,667.62904893,0.99704331,0.9554892226168323
Pupil Core,963,dilated,1,612,527,34030.0407548,-40.01064888,14.03380023,-20.01158938,5.25439441,0.01533415,0.20411371,0.97882708,20.02119094,15.06637857,-19.87802227,5.20341013,-0.0680485,0.08620847,0.99395045,599.81901418,532.79518352,-28.55218809,116.60033881,673.50330568,1.0,0.9764333232986129
Pupil Core,963,dilated,1,612,527,34033.9282548,-40.01064888,14.03380023,-20.01158938,5.24064171,0.01533415,0.20411371,0.97882708,20.02119094,15.06637857,-19.87802227,5.20341013,-0.06734261,0.08919418,0.99373506,600.22298063,533.81781519,-28.4671207,118.57360892,679.64005882,1.0,0.9860691755549249
Pupil Core,963,dilated,1,612,527,34038.1827548,-40.01064888,14.03380023,-20.01158938,5.23728671,0.01533415,0.20411371,0.97882708,20.02119094,15.06637857,-19.87802227,5.20341013,-0.06904812,0.08896477,0.99363858,599.27269423,534.13576777,-28.69569404,116.4299283,665.72627588,0.99475548,1.0571747690582414
Pupil Core,963,dilated,1,612,527,34042.3027548,-40.01064888,14.03380023,-20.01158938,5.23728671,0.01502432,0.20307432,0.97904805,20.02119094,15.06637857,-19.87802227,5.2127621,-0.06904812,0.08896477,0.99363858,599.1948528,533.62912395,-28.87481479,116.45412235,668.40717974,0.99475548,1.0442574454158695
Pupil Core,963,dilated,1,612,527,34046.3772548,-40.01064888,14.03380023,-20.01158938,5.23728671,0.01521075,0.20220232,0.97922564,20.02119094,15.06637857,-19.87802227,5.2062401,-0.06904812,0.08896477,0.99363858,599.24652647,533.31170509,-28.77231716,115.9476475,667.09910423,0.99475548,1.0302841340019526
Pupil Core,963,dilated,1,612,527,34050.3757548,-40.01064888,14.03380023,-20.01158938,5.24324376,0.01521075,0.20220232,0.97922564,20.03332946,15.08303306,-19.90382752,5.2062401,-0.06883508,0.08938112,0.993616,599.36965219,533.4437913,-28.73581016,116.33722772,668.67697391,0.97442523,1.0267707210586121
Pupil Core,963,dilated,1,612,527,34054.47725481,-40.01064888,14.03380023,-20.01158938,5.24324376,0.01573103,0.20318354,0.97901429,20.03332946,15.08303306,-19.90382752,5.22776825,-0.06883508,0.08938112,0.993616,599.50288999,533.97704582,-28.43921435,116.04713487,664.33788104,0.97442523,1.0369635192015798
Pupil Core,964,dilated,1,612,527,34058.57775481,-40.01064888,14.03380023,-20.01158938,5.25302251,0.01573103,0.20318354,0.97901429,20.03332946,15.08303306,-19.90382752,5.22776825,-0.06783967,0.08910569,0.99370919,600.05598633,533.62793486,-28.30271296,117.12827999,672.31182866,0.98674461,0.9895786751853451
