eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,gaze_target_angle
Tobii Glasses 2,714,dilated,1,985,332,28533.521,-0.0245,0.2191,0.9754,29.97,-25.86,-28.82,4.17,0.0169,0.2106,0.9774,-32.91,-25.29,-27.97,4.17,990.144,314.82,-7.03,286.86,1391.39,0.859883998185685
Tobii Glasses 2,714,dilated,1,985,332,28543.543,-0.0256,0.2143,0.9764,29.8,-25.67,-28.78,4.14,0.0169,0.2143,0.9766,-32.5,-25.48,-27.83,4.08,990.528,315.468,-7.77,288.65,1403.43,0.8360932219063946
Tobii Glasses 2,714,dilated,1,985,332,28553.533,-0.0244,0.2175,0.9758,29.97,-25.86,-28.82,4.17,0.0163,0.21,0.9776,-32.9,-25.29,-27.98,4.16,990.336,315.792,-7.5,293.15,1427.75,0.8184728102201075
Tobii Glasses 2,714,dilated,1,985,332,28563.526,-0.0246,0.2136,0.9766,29.8,-25.67,-28.78,4.14,0.0169,0.2138,0.9767,-32.5,-25.48,-27.83,4.07,989.952,315.792,-7.15,295.61,1439.66,0.8127953534195481
Tobii Glasses 2,715,dilated,1,985,332,28573.52,-0.0243,0.2189,0.9755,29.97,-25.86,-28.82,4.18,0.0161,0.2104,0.9775,-32.9,-25.29,-27.98,4.16,990.336,314.712,-7.59,294.21,1426.24,0.8675371943586159
Tobii Glasses 2,715,dilated,1,985,332,28583.513,-0.0253,0.2151,0.9763,29.8,-25.67,-28.78,4.14,0.0168,0.2145,0.9766,-32.51,-25.47,-27.84,4.07,990.336,314.604,-7.62,292.84,1419.1,0.8724588053746277
Tobii Glasses 2,715,dilated,1,985,332,28593.498,-0.0245,0.2189,0.9754,29.97,-25.86,-28.82,4.18,0.0164,0.2112,0.9773,-32.91,-25.28,-27.99,4.16,990.336,314.388,-7.48,292.65,1416.43,0.8823096526627537
Tobii Glasses 2,715,dilated,1,985,332,28603.492,-0.0252,0.218,0.9756,29.8,-25.68,-28.77,4.16,0.017,0.2141,0.9767,-32.51,-25.47,-27.84,4.08,990.336,313.308,-7.35,290.87,1401.65,0.9317049291133189
Tobii Glasses 2,716,dilated,1,985,332,28613.485,-0.0244,0.2205,0.9751,29.97,-25.86,-28.82,4.19,0.0165,0.2118,0.9772,-32.91,-25.28,-27.99,4.16,990.336,313.092,-7.31,291.52,1403.66,0.9416099133358008
Tobii Glasses 2,716,dilated,1,985,332,28623.481,-0.0252,0.2181,0.9756,29.8,-25.68,-28.76,4.16,0.0168,0.2147,0.9765,-32.51,-25.47,-27.85,4.08,990.336,312.768,-7.51,293.22,1409.75,0.9564822006584448
Tobii Glasses 2,716,dilated,1,985,332,28633.466,-0.0242,0.2214,0.9749,29.97,-25.86,-28.82,4.19,0.0164,0.2124,0.977,-32.91,-25.28,-27.99,4.16,990.144,312.12,-7.29,293.51,1407.2,0.983900211282326
Tobii Glasses 2,716,dilated,1,985,332,28643.457,-0.0249,0.219,0.9754,29.8,-25.68,-28.76,4.15,0.0175,0.216,0.9762,-32.51,-25.47,-27.85,4.09,989.76,311.472,-6.72,292.62,1399.41,1.0094699215021818
Tobii Glasses 2,717,dilated,1,986,332,28653.452,-0.0243,0.2231,0.9745,29.97,-25.86,-28.82,4.2,0.017,0.213,0.9769,-32.91,-25.28,-27.99,4.17,989.952,311.148,-6.76,286.37,1367.62,1.0164976378521569
Tobii Glasses 2,717,dilated,1,986,332,28663.476,-0.0256,0.2205,0.975,29.8,-25.68,-28.76,4.16,0.0181,0.2163,0.9761,-32.51,-25.47,-27.85,4.1,989.952,310.824,-6.67,283.11,1350.4,1.0316811068479037
Tobii Glasses 2,717,dilated,1,986,332,28673.465,-0.0245,0.2234,0.9744,29.96,-25.86,-28.82,4.22,0.017,0.2127,0.977,-32.91,-25.28,-27.99,4.17,990.144,311.256,-6.78,282.72,1351.06,1.0132010118545378
Tobii Glasses 2,717,dilated,1,986,332,28683.456,-0.026,0.2188,0.9754,29.8,-25.68,-28.76,4.17,0.0178,0.2157,0.9763,-32.52,-25.46,-27.85,4.1,990.336,312.228,-7.15,281.63,1351.32,0.9697261196932352
Tobii Glasses 2,718,dilated,1,985,332,28693.447,-0.0254,0.2227,0.9746,29.96,-25.85,-28.82,4.22,0.0166,0.212,0.9771,-32.92,-25.28,-27.99,4.18,990.912,312.336,-7.69,279.49,1341.22,0.9840488930749879
Tobii Glasses 2,718,dilated,1,985,332,28703.444,-0.0267,0.2192,0.9753,29.79,-25.68,-28.76,4.18,0.0175,0.2161,0.9762,-32.51,-25.47,-27.85,4.1,990.912,312.012,-7.81,279.56,1339.85,0.9988392890119082
Tobii Glasses 2,718,dilated,1,985,332,28713.43,-0.026,0.2236,0.9743,29.96,-25.85,-28.83,4.24,0.0168,0.212,0.9771,-32.91,-25.29,-27.98,4.19,991.104,312.228,-7.73,271.42,1302.2,0.9916990773183011
