eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,gaze_target_angle
Tobii Glasses 2,791,dilated,1,985,334,31601.757,-0.0275,0.2063,0.9781,29.8,-25.65,-28.79,4.34,0.009,0.2343,0.9721,-32.52,-25.48,-27.82,4.34,997.056,314.064,-11.16,207.95,1005.39,1.1202432065942893
Tobii Glasses 2,791,dilated,1,985,334,31611.748,-0.0375,0.215,0.9759,29.95,-25.82,-28.85,4.42,0.0194,0.2251,0.9741,-32.93,-25.31,-27.95,4.42,996.864,314.064,-11.2,209.61,1013.38,1.1153746633284254
Tobii Glasses 2,791,dilated,1,985,334,31621.745,-0.0265,0.2067,0.978,29.8,-25.65,-28.79,4.35,0.0085,0.2345,0.9721,-32.51,-25.48,-27.82,4.34,996.672,313.416,-11.04,211.23,1018.4,1.137168394161199
Tobii Glasses 2,791,dilated,1,985,334,31631.73,-0.0373,0.2159,0.9757,29.95,-25.82,-28.86,4.43,0.0195,0.2251,0.9741,-32.92,-25.31,-27.95,4.42,996.672,313.416,-11.07,211.61,1020.14,1.137168394161199
Tobii Glasses 2,792,dilated,1,985,334,31641.752,-0.0272,0.2061,0.9782,29.8,-25.65,-28.79,4.34,0.0085,0.2338,0.9722,-32.5,-25.49,-27.81,4.34,997.056,314.28,-11.37,209.72,1014.97,1.111503518332438
Tobii Glasses 2,792,dilated,1,985,334,31651.747,-0.0378,0.2156,0.9757,29.95,-25.82,-28.87,4.42,0.0186,0.2232,0.9746,-32.91,-25.28,-28.0,4.43,997.632,314.388,-12.0,213.95,1035.88,1.1222716303959441
Tobii Glasses 2,792,dilated,1,985,334,31661.74,-0.028,0.2059,0.9782,29.8,-25.65,-28.79,4.35,0.0073,0.2325,0.9726,-32.49,-25.47,-27.83,4.35,998.208,314.496,-12.77,217.26,1052.45,1.1336669351185753
Tobii Glasses 2,792,dilated,1,985,334,31671.729,-0.0373,0.2154,0.9758,29.95,-25.82,-28.87,4.43,0.0165,0.2217,0.975,-32.89,-25.23,-28.07,4.44,998.4,314.388,-13.45,225.97,1093.91,1.1432144765547572
Tobii Glasses 2,793,dilated,1,985,335,31681.718,-0.0278,0.2062,0.9781,29.8,-25.65,-28.8,4.36,0.0062,0.2306,0.973,-32.49,-25.45,-27.87,4.36,998.592,314.064,-14.19,234.63,1134.18,1.200967326865883
Tobii Glasses 2,793,dilated,1,985,335,31691.711,-0.0358,0.2165,0.9756,29.95,-25.82,-28.88,4.43,0.014,0.2179,0.9759,-32.87,-25.19,-28.14,4.44,998.784,314.388,-15.19,247.52,1198.22,1.1933814971142713
Tobii Glasses 2,793,dilated,1,985,335,31701.708,-0.0279,0.2055,0.9783,29.8,-25.65,-28.8,4.36,0.0051,0.227,0.9739,-32.48,-25.43,-27.9,4.36,999.168,314.928,-16.24,257.49,1249.34,1.1830697713826723
Tobii Glasses 2,793,dilated,1,985,335,31711.694,-0.0347,0.2158,0.9758,29.95,-25.82,-28.88,4.43,0.0121,0.2159,0.9763,-32.86,-25.14,-28.21,4.46,999.168,314.82,-16.65,264.29,1281.69,1.187242422743302
Tobii Glasses 2,794,dilated,1,985,335,31721.688,-0.0275,0.2058,0.9782,29.8,-25.65,-28.81,4.36,0.0047,0.2259,0.9741,-32.48,-25.41,-27.94,4.37,999.168,314.496,-17.02,271.43,1314.67,1.1998054480903546
Tobii Glasses 2,794,dilated,1,985,335,31731.678,-0.033,0.2161,0.9758,29.95,-25.82,-28.89,4.44,0.0104,0.2149,0.9766,-32.85,-25.1,-28.28,4.48,998.976,313.956,-17.75,285.79,1381.21,1.2156274984676179
Tobii Glasses 2,794,dilated,1,985,335,31741.703,-0.0261,0.2064,0.9781,29.8,-25.65,-28.81,4.37,0.0044,0.2239,0.9746,-32.48,-25.39,-27.98,4.38,998.4,313.74,-17.9,301.58,1455.81,1.2087789026448037
Tobii Glasses 2,794,dilated,1,985,335,31751.692,-0.0318,0.2153,0.976,29.95,-25.82,-28.89,4.44,0.0103,0.2139,0.9768,-32.85,-25.09,-28.3,4.49,998.4,314.712,-17.5,294.31,1426.42,1.1701396287023609
Tobii Glasses 2,795,dilated,1,985,335,31761.684,-0.0257,0.2051,0.9784,29.8,-25.65,-28.8,4.37,0.0044,0.2237,0.9746,-32.48,-25.38,-27.99,4.39,998.208,315.144,-17.14,291.98,1417.8,1.1478756519890476
Tobii Glasses 2,795,dilated,1,985,335,31771.679,-0.0312,0.2153,0.9761,29.95,-25.82,-28.89,4.44,0.0104,0.2139,0.9768,-32.85,-25.08,-28.3,4.49,997.824,314.496,-17.12,297.85,1442.45,1.1633802989069892
Tobii Glasses 2,795,dilated,1,985,335,31781.672,-0.0246,0.2059,0.9783,29.8,-25.65,-28.81,4.37,0.0041,0.2239,0.9746,-32.47,-25.39,-27.97,4.39,997.632,313.848,-17.14,305.84,1477.25,1.1846251573926707
Tobii Glasses 2,795,dilated,1,985,335,31791.656,-0.0313,0.2152,0.9761,29.95,-25.81,-28.89,4.43,0.0114,0.2159,0.9764,-32.84,-25.09,-28.3,4.5,997.44,313.74,-16.05,291.23,1405.71,1.184214631659418
Tobii Glasses 2,796,dilated,1,985,335,31801.65,-0.0241,0.2058,0.9783,29.8,-25.65,-28.81,4.36,0.0041,0.2259,0.9741,-32.47,-25.39,-27.96,4.4,997.44,313.74,-15.77,285.09,1376.45,1.184214631659418
Tobii Glasses 2,796,dilated,1,985,335,31811.643,-0.0315,0.2151,0.9761,29.96,-25.82,-28.89,4.43,0.0116,0.216,0.9763,-32.84,-25.09,-28.29,4.5,997.44,313.848,-15.91,287.99,1390.67,1.1798019510635875
Tobii Glasses 2,796,dilated,1,985,335,31821.64,-0.0239,0.2059,0.9783,29.8,-25.65,-28.81,4.36,0.0044,0.2252,0.9743,-32.47,-25.4,-27.96,4.4,997.056,313.74,-15.8,293.25,1415.61,1.1747721092273664
Tobii Glasses 2,796,dilated,1,985,335,31831.625,-0.0318,0.2142,0.9763,29.96,-25.82,-28.89,4.42,0.0123,0.2154,0.9764,-32.84,-25.09,-28.3,4.5,997.248,315.144,-15.3,279.87,1359.23,1.1223319115552646
Tobii Glasses 2,797,dilated,1,985,335,31841.615,-0.0237,0.2043,0.9786,29.8,-25.65,-28.81,4.35,0.0034,0.2256,0.9742,-32.46,-25.4,-27.95,4.4,997.632,315.36,-15.47,274.68,1335.18,1.1237704419628578
Tobii Glasses 2,797,dilated,1,985,335,31851.611,-0.0319,0.2143,0.9762,29.96,-25.82,-28.89,4.42,0.0124,0.2151,0.9765,-32.84,-25.09,-28.29,4.5,997.248,315.36,-15.3,278.42,1353.24,1.11363795677881
Tobii Glasses 2,797,dilated,1,985,335,31861.605,-0.0225,0.2038,0.9788,29.8,-25.65,-28.81,4.34,0.0037,0.2247,0.9744,-32.46,-25.41,-27.94,4.39,996.672,316.008,-14.72,279.91,1364.11,1.0725847454498352
Tobii Glasses 2,797,dilated,1,985,335,31871.593,-0.0325,0.2132,0.9765,29.96,-25.82,-28.89,4.41,0.0132,0.213,0.977,-32.84,-25.09,-28.29,4.5,997.056,317.844,-14.7,267.39,1313.4,1.010324580931494
Tobii Glasses 2,798,dilated,1,985,335,31881.614,-0.0234,0.2013,0.9792,29.8,-25.65,-28.8,4.33,0.0032,0.224,0.9746,-32.46,-25.4,-27.95,4.4,997.632,319.14,-14.83,257.83,1273.33,0.9782969589391226
Tobii Glasses 2,798,dilated,1,985,335,31891.606,-0.0338,0.2118,0.9767,29.96,-25.82,-28.89,4.41,0.0127,0.2124,0.9771,-32.84,-25.09,-28.29,4.5,998.208,319.464,-15.71,260.96,1290.75,0.9845664698386324
Tobii Glasses 2,798,dilated,1,985,335,31901.603,-0.0243,0.2007,0.9793,29.8,-25.66,-28.8,4.33,0.0024,0.2229,0.9748,-32.47,-25.39,-27.96,4.39,998.4,319.788,-16.15,261.78,1296.99,0.9792165773746754
Tobii Glasses 2,798,dilated,1,985,335,31911.588,-0.0337,0.2106,0.977,29.96,-25.82,-28.88,4.41,0.012,0.2119,0.9772,-32.84,-25.08,-28.3,4.5,998.592,320.22,-16.34,263.92,1309.69,0.9704260946537898
Tobii Glasses 2,798,dilated,1,985,335,31921.583,-0.0244,0.2001,0.9795,29.8,-25.66,-28.8,4.33,0.0019,0.222,0.9751,-32.47,-25.39,-27.96,4.4,998.784,320.544,-16.86,265.11,1317.49,0.9657694014726509
Tobii Glasses 2,799,dilated,1,985,336,31931.575,-0.0338,0.2108,0.9769,29.96,-25.82,-28.88,4.41,0.011,0.2122,0.9772,-32.84,-25.08,-28.3,4.5,999.168,319.572,-17.46,270.33,1337.83,1.0476913312527718
Tobii Glasses 2,799,dilated,1,985,336,31941.567,-0.0246,0.2012,0.9792,29.8,-25.66,-28.8,4.33,0.0015,0.2223,0.975,-32.48,-25.38,-27.97,4.4,999.168,319.14,-17.67,274.13,1354.35,1.0632096794541916
Tobii Glasses 2,799,dilated,1,985,336,31951.555,-0.0338,0.2113,0.9768,29.96,-25.82,-28.88,4.41,0.0102,0.2125,0.9771,-32.85,-25.08,-28.3,4.5,999.552,318.708,-18.25,276.58,1363.78,1.0910116914609467
Tobii Glasses 2,799,dilated,1,985,336,31961.546,-0.0258,0.2024,0.979,29.8,-25.65,-28.81,4.33,0.0015,0.2225,0.9749,-32.48,-25.38,-27.97,4.4,999.936,317.844,-19.04,284.19,1396.15,1.134466695743249
Tobii Glasses 2,800,dilated,1,985,336,31971.543,-0.0343,0.2126,0.9765,29.96,-25.82,-28.88,4.4,0.0104,0.2141,0.9768,-32.85,-25.08,-28.3,4.5,999.744,317.196,-18.25,273.9,1341.83,1.1523732246718599
Tobii Glasses 2,800,dilated,1,985,336,31981.536,-0.0251,0.2031,0.9788,29.8,-25.65,-28.81,4.33,0.0011,0.225,0.9744,-32.48,-25.38,-27.97,4.4,999.744,316.764,-17.85,269.28,1316.72,1.168491381744769
Tobii Glasses 2,800,dilated,1,985,336,31991.55,-0.0345,0.2124,0.9766,29.96,-25.82,-28.88,4.4,0.011,0.214,0.9768,-32.85,-25.08,-28.3,4.5,999.552,317.628,-17.71,268.34,1317.26,1.1304912804339238
Tobii Glasses 2,800,dilated,1,985,336,32001.545,-0.0246,0.2019,0.9791,29.8,-25.65,-28.81,4.32,0.0012,0.224,0.9746,-32.48,-25.39,-27.96,4.4,999.36,318.276,-17.37,266.35,1310.52,1.1006937328149788
Tobii Glasses 2,801,dilated,1,986,336,32011.537,-0.035,0.2116,0.9767,29.96,-25.82,-28.88,4.39,0.0109,0.214,0.9768,-32.85,-25.08,-28.29,4.5,999.936,318.384,-17.92,264.31,1301.46,1.0834628902013428
Tobii Glasses 2,801,dilated,1,986,336,32021.533,-0.0255,0.2014,0.9792,29.8,-25.65,-28.81,4.31,0.0004,0.2236,0.9747,-32.48,-25.39,-27.95,4.39,1000.512,318.924,-18.37,263.24,1299.03,1.0817867830174064
Tobii Glasses 2,1342,dilated,3,1008,376,53659.018,-0.0581,0.1705,0.9836,29.86,-25.79,-28.99,4.57,0.0005,0.1783,0.984,-32.99,-25.42,-27.97,4.41,1020.096,371.52,-31.94,158.06,1007.62,0.6344429679943534
Tobii Glasses 2,1343,dilated,3,1008,376,53669.013,-0.0448,0.1592,0.9862,29.75,-25.69,-28.82,4.47,-0.0136,0.1887,0.9819,-32.58,-25.61,-27.83,4.33,1020.288,372.384,-31.94,156.16,1000.58,0.6308133866686528
Tobii Glasses 2,1343,dilated,3,1008,376,53679.005,-0.0594,0.1666,0.9842,29.86,-25.78,-28.99,4.55,0.0029,0.1787,0.9839,-32.99,-25.42,-27.96,4.41,1019.52,375.624,-29.06,142.01,926.72,0.569989137805381
Tobii Glasses 2,1343,dilated,3,1008,376,53689.002,-0.0452,0.1568,0.9866,29.75,-25.69,-28.82,4.46,-0.012,0.1906,0.9816,-32.58,-25.62,-27.82,4.33,1019.904,376.272,-27.55,132.83,869.81,0.5892235705268579
Tobii Glasses 2,1343,dilated,3,1008,376,53698.986,-0.0601,0.1745,0.9828,29.95,-25.96,-28.73,4.5,0.0016,0.1789,0.9839,-32.99,-25.43,-27.95,4.4,1020.672,369.684,-31.18,153.36,968.08,0.6948935594983106
Tobii Glasses 2,1344,dilated,3,1009,377,53708.978,-0.049,0.1636,0.9853,29.78,-25.76,-28.71,4.43,-0.0104,0.1913,0.9815,-32.58,-25.62,-27.82,4.32,1020.864,367.74,-32.91,162.52,1014.93,0.7358828348490892
Tobii Glasses 2,1344,dilated,3,1009,377,53718.973,-0.0587,0.1767,0.9825,29.97,-25.99,-28.69,4.49,-0.0007,0.1783,0.984,-32.99,-25.43,-27.95,4.4,1021.056,367.092,-33.73,166.5,1036.15,0.7626333269845487
Tobii Glasses 2,1344,dilated,3,1009,377,53728.996,-0.0502,0.1647,0.9851,29.79,-25.78,-28.69,4.42,-0.0094,0.1904,0.9817,-32.58,-25.62,-27.82,4.31,1020.864,366.984,-33.93,168.07,1045.08,0.7586445379480122
Tobii Glasses 2,1344,dilated,3,1009,377,53738.986,-0.0576,0.1768,0.9826,29.97,-26.0,-28.68,4.49,-0.0016,0.1786,0.9839,-32.99,-25.44,-27.94,4.39,1020.864,366.12,-34.72,173.22,1072.2,0.7859531188006055
Tobii Glasses 2,1345,dilated,3,1008,377,53748.975,-0.0496,0.1658,0.9849,29.79,-25.78,-28.68,4.41,-0.0097,0.1893,0.9819,-32.59,-25.62,-27.82,4.3,1020.672,365.688,-35.71,179.56,1108.68,0.8295679754969563
Tobii Glasses 2,1345,dilated,3,1008,377,53758.967,-0.0569,0.174,0.9831,29.93,-25.92,-28.79,4.51,-0.0011,0.1794,0.9838,-32.99,-25.44,-27.94,4.39,1020.096,367.524,-33.95,171.44,1068.98,0.7514010559656416
Tobii Glasses 2,1345,dilated,3,1008,377,53768.965,-0.0487,0.1629,0.9854,29.77,-25.75,-28.73,4.42,-0.0088,0.1898,0.9818,-32.58,-25.62,-27.82,4.3,1019.712,368.928,-32.18,162.68,1022.44,0.6964334447496734
Tobii Glasses 2,1345,dilated,3,1008,377,53778.949,-0.0565,0.1732,0.9833,29.92,-25.9,-28.82,4.51,-0.0002,0.1793,0.9838,-32.99,-25.44,-27.94,4.38,1019.328,368.28,-32.78,168.31,1054.12,0.699274929833754
Tobii Glasses 2,1346,dilated,3,1008,378,53788.943,-0.0479,0.1642,0.9853,29.77,-25.75,-28.74,4.43,-0.0084,0.1882,0.9821,-32.59,-25.62,-27.83,4.29,1018.944,367.416,-33.84,177.02,1103.54,0.7434642725695885
Tobii Glasses 2,1346,dilated,3,1008,378,53798.936,-0.0561,0.1706,0.9837,29.91,-25.86,-28.88,4.52,0.0003,0.1797,0.9837,-33.0,-25.44,-27.95,4.38,1018.752,370.008,-31.83,164.15,1037.73,0.6557510328819063
Tobii Glasses 2,1346,dilated,3,1008,378,53808.929,-0.0476,0.1594,0.9861,29.77,-25.73,-28.78,4.42,-0.0082,0.1886,0.982,-32.59,-25.62,-27.83,4.3,1018.752,373.032,-29.8,151.24,972.31,0.5820255540057061
Tobii Glasses 2,1346,dilated,3,1008,378,53818.918,-0.057,0.1673,0.9843,29.89,-25.82,-28.95,4.52,0.0023,0.1808,0.9835,-33.0,-25.44,-27.94,4.38,1018.368,373.14,-29.12,149.35,960.66,0.5626486624452998
Tobii Glasses 2,1347,dilated,3,1008,378,53828.909,-0.0473,0.1594,0.9861,29.76,-25.71,-28.82,4.43,-0.007,0.1891,0.9819,-32.59,-25.62,-27.82,4.29,1017.984,373.14,-28.53,148.19,953.56,0.5454993996790348
Tobii Glasses 2,1347,dilated,3,1008,378,53838.904,-0.0566,0.1654,0.9846,29.87,-25.77,-29.02,4.53,0.0034,0.1813,0.9834,-33.0,-25.45,-27.94,4.38,1017.6,374.652,-27.64,143.94,933.99,0.5005858196378192
Tobii Glasses 2,1347,dilated,3,1008,378,53848.927,-0.0466,0.1569,0.9865,29.76,-25.69,-28.85,4.43,-0.0065,0.1886,0.982,-32.59,-25.63,-27.81,4.29,1017.216,376.272,-26.63,138.37,906.3,0.4628789564677877
Tobii Glasses 2,1347,dilated,3,1008,378,53858.913,-0.0568,0.1641,0.9848,29.86,-25.77,-29.03,4.52,0.004,0.1809,0.9835,-33.0,-25.45,-27.93,4.38,1017.408,376.272,-26.92,139.68,914.75,0.4722179050917848
Tobii Glasses 2,1348,dilated,3,1008,378,53868.908,-0.0466,0.1569,0.9865,29.76,-25.69,-28.85,4.43,-0.0068,0.1881,0.9821,-32.59,-25.62,-27.82,4.3,1017.408,376.272,-27.16,140.48,919.88,0.4722179050917848
Tobii Glasses 2,1348,dilated,3,1008,378,53878.899,-0.0572,0.1636,0.9849,29.87,-25.78,-29.03,4.51,0.0042,0.1802,0.9836,-33.0,-25.45,-27.93,4.37,1017.6,377.136,-26.86,137.96,908.04,0.4764957393689482
Tobii Glasses 2,1348,dilated,3,1008,378,53888.895,-0.0468,0.1557,0.9867,29.76,-25.69,-28.85,4.43,-0.007,0.1875,0.9822,-32.59,-25.63,-27.81,4.29,1017.6,377.676,-26.96,137.44,907.21,0.4752063267173475
Tobii Glasses 2,1348,dilated,3,1008,378,53898.881,-0.0575,0.1644,0.9847,29.87,-25.78,-29.02,4.51,0.0039,0.1786,0.9839,-33.0,-25.45,-27.93,4.36,1017.792,377.136,-27.65,140.77,926.57,0.4859549861280017
Tobii Glasses 2,1349,dilated,3,1007,379,53908.872,-0.0468,0.1567,0.9865,29.76,-25.7,-28.85,4.42,-0.0067,0.1868,0.9824,-32.58,-25.63,-27.81,4.29,1017.408,376.488,-27.93,144.31,946.12,0.5282082937222116
Tobii Glasses 2,1349,dilated,3,1007,379,53918.868,-0.0563,0.1642,0.9848,29.87,-25.79,-29.02,4.51,0.0041,0.1779,0.984,-32.99,-25.45,-27.93,4.36,1016.832,377.244,-27.39,143.33,943.79,0.49323274619115215
Tobii Glasses 2,1349,dilated,3,1007,379,53928.859,-0.0459,0.1553,0.9868,29.76,-25.7,-28.86,4.42,-0.0068,0.1862,0.9825,-32.58,-25.63,-27.81,4.29,1017.024,378.108,-27.18,141.02,933.17,0.4976299706235464
Tobii Glasses 2,1349,dilated,3,1007,379,53938.848,-0.0577,0.1636,0.9848,29.88,-25.79,-29.02,4.5,0.0045,0.1774,0.9841,-32.99,-25.45,-27.93,4.36,1017.6,378.54,-27.21,138.51,919.15,0.5249464424849156
Tobii Glasses 2,1350,dilated,3,1006,379,53948.839,-0.0468,0.1548,0.9868,29.77,-25.7,-28.86,4.42,-0.0071,0.1865,0.9824,-32.58,-25.63,-27.81,4.29,1017.792,378.756,-27.1,137.05,910.5,0.5837473348942032
Tobii Glasses 2,1350,dilated,3,1006,379,53958.862,-0.0579,0.1628,0.985,29.88,-25.79,-29.02,4.5,0.0051,0.1789,0.9839,-32.99,-25.45,-27.93,4.37,1017.408,378.972,-26.32,134.1,892.0,0.564756964122584
Tobii Glasses 2,1350,dilated,3,1006,379,53968.858,-0.0463,0.1538,0.987,29.77,-25.69,-28.87,4.42,-0.0064,0.1873,0.9823,-32.58,-25.63,-27.8,4.29,1017.216,380.16,-25.44,129.72,868.7,0.5588312311129864
Tobii Glasses 2,1350,dilated,3,1006,379,53978.843,-0.0585,0.1608,0.9852,29.88,-25.79,-29.02,4.49,0.006,0.1799,0.9837,-32.99,-25.45,-27.93,4.37,1017.408,380.808,-25.09,126.68,851.71,0.5726853612127673
Tobii Glasses 2,1351,dilated,3,1006,379,53988.839,-0.0461,0.1532,0.9871,29.77,-25.69,-28.87,4.42,-0.0063,0.1883,0.9821,-32.58,-25.63,-27.8,4.3,1017.024,381.132,-24.35,123.62,832.87,0.556848415390252
Tobii Glasses 2,1351,dilated,3,1006,379,53998.83,-0.0579,0.1597,0.9855,29.88,-25.79,-29.03,4.49,0.0072,0.1818,0.9833,-32.99,-25.46,-27.93,4.38,1016.448,381.348,-23.53,121.98,822.46,0.5311740149049334
Tobii Glasses 2,1351,dilated,3,1006,379,54008.823,-0.0459,0.1528,0.9872,29.77,-25.69,-28.88,4.42,-0.0059,0.1887,0.982,-32.58,-25.64,-27.8,4.31,1016.832,381.672,-23.7,120.96,817.31,0.553452988687297
Tobii Glasses 2,1351,dilated,3,1006,379,54018.814,-0.0596,0.1602,0.9853,29.88,-25.79,-29.03,4.49,0.0071,0.1811,0.9834,-32.99,-25.46,-27.92,4.37,1017.408,381.78,-24.07,120.35,813.5,0.5824663185770322
Tobii Glasses 2,1352,dilated,3,1007,380,54028.803,-0.0467,0.1526,0.9872,29.78,-25.69,-28.88,4.42,-0.006,0.1886,0.982,-32.58,-25.64,-27.79,4.31,1017.408,381.996,-23.92,119.97,812.1,0.5256117313430806
Tobii Glasses 2,1352,dilated,3,1007,380,54038.798,-0.059,0.1597,0.9854,29.88,-25.79,-29.03,4.49,0.0072,0.1815,0.9834,-32.99,-25.46,-27.92,4.37,1017.024,381.888,-23.74,120.08,812.39,0.5058962602815847
Tobii Glasses 2,1352,dilated,3,1007,380,54048.79,-0.0454,0.153,0.9872,29.78,-25.69,-28.88,4.42,-0.0067,0.1889,0.982,-32.58,-25.64,-27.79,4.31,1017.024,381.348,-23.82,121.28,818.0,0.5014412155265499
Tobii Glasses 2,1352,dilated,3,1007,380,54058.777,-0.0589,0.1605,0.9853,29.88,-25.79,-29.03,4.49,0.0071,0.1807,0.9835,-32.99,-25.46,-27.92,4.37,1017.024,381.348,-24.08,122.52,826.44,0.5014412155265499
Tobii Glasses 2,1352,dilated,3,1007,380,54068.772,-0.045,0.1531,0.9872,29.78,-25.69,-28.88,4.42,-0.0072,0.1887,0.982,-32.58,-25.64,-27.8,4.32,1017.024,381.24,-24.04,122.35,824.64,0.5007126328924268
Tobii Glasses 2,1353,dilated,3,1006,380,54078.762,-0.0588,0.1615,0.9851,29.89,-25.79,-29.03,4.5,0.0075,0.1804,0.9836,-32.99,-25.46,-27.92,4.38,1016.64,380.7,-24.08,124.07,833.65,0.5283649298657758
Tobii Glasses 2,1353,dilated,3,1006,380,54088.759,-0.0451,0.1542,0.987,29.78,-25.69,-28.88,4.43,-0.0069,0.1889,0.982,-32.59,-25.63,-27.81,4.33,1016.832,379.728,-24.49,126.59,845.52,0.5363615154924142
Tobii Glasses 2,1353,dilated,3,1006,380,54098.775,-0.0595,0.163,0.9848,29.89,-25.79,-29.04,4.51,0.007,0.1799,0.9837,-33.0,-25.46,-27.93,4.38,1017.408,379.728,-24.91,126.43,844.6,0.5648539746903257
Tobii Glasses 2,1353,dilated,3,1006,380,54108.767,-0.0453,0.1542,0.987,29.78,-25.69,-28.88,4.43,-0.0073,0.1892,0.9819,-32.59,-25.63,-27.81,4.34,1017.216,379.728,-24.55,125.47,838.3,0.5553566187324316
Tobii Glasses 2,1354,dilated,3,1006,380,54118.762,-0.0587,0.1629,0.9849,29.89,-25.79,-29.03,4.52,0.008,0.1822,0.9832,-33.0,-25.46,-27.93,4.41,1016.448,378.972,-23.64,124.1,825.59,0.5191963632350878
Tobii Glasses 2,1354,dilated,3,1006,380,54128.754,-0.0452,0.1552,0.9869,29.79,-25.69,-28.88,4.44,-0.0065,0.1913,0.9815,-32.59,-25.63,-27.82,4.35,1016.64,378.756,-23.49,122.38,812.84,0.5296355401974446
Tobii Glasses 2,1354,dilated,3,1006,380,54138.743,-0.0598,0.1642,0.9846,29.89,-25.79,-29.03,4.53,0.0083,0.1823,0.9832,-33.0,-25.46,-27.93,4.42,1016.832,378.324,-23.8,123.6,818.91,0.5416116047759326
Tobii Glasses 2,1354,dilated,3,1006,380,54148.734,-0.0468,0.1561,0.9866,29.79,-25.69,-28.88,4.44,-0.0052,0.1915,0.9815,-32.6,-25.63,-27.83,4.35,1017.024,377.784,-23.93,124.54,822.43,0.5552277264226585
Tobii Glasses 2,1355,dilated,3,1007,379,54158.727,-0.0603,0.1643,0.9846,29.89,-25.79,-29.03,4.53,0.0082,0.1836,0.983,-33.0,-25.46,-27.93,4.44,1017.216,377.892,-23.7,122.0,806.46,0.5079818155005318
Tobii Glasses 2,1355,dilated,3,1007,379,54168.722,-0.0478,0.1559,0.9866,29.79,-25.69,-28.88,4.44,-0.0052,0.1924,0.9813,-32.6,-25.63,-27.83,4.36,1017.6,378.108,-23.65,120.51,797.56,0.5260194060383899
Tobii Glasses 2,1355,dilated,3,1007,379,54178.708,-0.0608,0.1646,0.9845,29.89,-25.79,-29.03,4.53,0.0075,0.1843,0.9828,-33.0,-25.46,-27.93,4.44,1017.984,377.352,-24.21,122.39,806.2,0.5486955160645777
Tobii Glasses 2,1355,dilated,3,1007,379,54188.703,-0.0478,0.1566,0.9865,29.79,-25.69,-28.88,4.45,-0.0062,0.1926,0.9813,-32.6,-25.63,-27.83,4.36,1018.176,377.244,-24.4,122.81,808.46,0.5588117899292754
Tobii Glasses 2,1356,dilated,3,1007,380,54198.725,-0.0609,0.1635,0.9847,29.89,-25.8,-29.03,4.53,0.0072,0.1861,0.9825,-33.0,-25.46,-27.93,4.45,1018.368,377.568,-23.91,119.5,788.21,0.5738092037815503
Tobii Glasses 2,1356,dilated,3,1007,380,54208.717,-0.0486,0.1563,0.9865,29.79,-25.7,-28.88,4.45,-0.0062,0.1942,0.9809,-32.6,-25.63,-27.83,4.36,1018.944,377.892,-23.66,116.38,769.23,0.5989729719637131
Tobii Glasses 2,1356,dilated,3,1007,380,54218.706,-0.0621,0.1629,0.9847,29.89,-25.8,-29.02,4.52,0.0066,0.1869,0.9824,-33.0,-25.46,-27.93,4.44,1019.52,378.108,-24.21,116.63,771.72,0.6255349067962084
Tobii Glasses 2,1356,dilated,3,1007,380,54228.698,-0.0485,0.156,0.9866,29.79,-25.7,-28.88,4.45,-0.008,0.1938,0.981,-32.6,-25.63,-27.84,4.36,1019.904,378.108,-24.51,117.2,775.45,0.6443218018645788
Tobii Glasses 2,1357,dilated,3,1007,380,54238.694,-0.0614,0.1611,0.985,29.89,-25.8,-29.02,4.51,0.0058,0.1875,0.9822,-33.0,-25.46,-27.94,4.44,1019.52,378.972,-24.06,115.16,766.11,0.6212207465371732
Tobii Glasses 2,1357,dilated,3,1007,380,54248.685,-0.0474,0.1547,0.9868,29.79,-25.7,-28.88,4.44,-0.0099,0.1935,0.981,-32.6,-25.63,-27.84,4.35,1020.288,379.836,-24.23,112.87,754.56,0.6577419375347694
Tobii Glasses 2,1357,dilated,3,1007,380,54258.671,-0.0635,0.1621,0.9847,29.89,-25.8,-29.02,4.52,0.0055,0.1861,0.9825,-33.0,-25.46,-27.94,4.43,1021.056,379.188,-25.15,115.59,769.51,0.6964125530842851
Tobii Glasses 2,1357,dilated,3,1007,380,54268.665,-0.0481,0.1555,0.9867,29.79,-25.7,-28.88,4.43,-0.0108,0.1934,0.9811,-32.61,-25.62,-27.84,4.36,1021.248,378.756,-25.39,116.5,773.63,0.7071277915431686
Tobii Glasses 2,1358,dilated,3,1008,380,54278.658,-0.0642,0.1622,0.9847,29.89,-25.81,-29.02,4.51,0.0057,0.1861,0.9825,-33.01,-25.46,-27.94,4.43,1021.44,379.404,-25.14,114.33,762.16,0.6655029449518727
Tobii Glasses 2,1358,dilated,3,1008,380,54288.653,-0.0496,0.1543,0.9868,29.79,-25.7,-28.88,4.43,-0.0098,0.1933,0.9811,-32.61,-25.62,-27.85,4.36,1021.632,380.376,-24.97,112.09,751.55,0.6752086182449847
