eye_tracker,participant_id,trial_number,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,pup_diam_l,pup_diam_r,gaze_x,gaze_y,distance_average,gaze_angle_x,gaze_angle_y,target_angle_x,target_angle_y,distance_to_target
Pupil Core,354,1,3884,dark,638.0763549804688,248.64466857910156,478.9815979003906,191.6334228515625,797.5259399414062,175.46401977539062,486.0935363769531,319.4866943359375,799.2115478515625,305.6900634765625,5.07615959,6.3807723,674.2966918945312,295.7010192871094,858.726471193904,2.610988422926028,3.3905030126134466,0.0,0.0,4.2793423820950105
Pupil Core,354,1,3884,dark,638.0763549804688,248.64466857910156,478.9815979003906,191.6334228515625,797.5259399414062,175.46401977539062,486.0935363769531,319.4866943359375,799.2115478515625,305.6900634765625,5.10296262,6.35414322,673.0722045898438,293.1310119628906,858.726471193904,2.522835756376187,3.2057262362087453,0.0,0.0,4.0793848746063786
Pupil Core,354,1,3885,dark,638.0763549804688,248.64466857910156,477.8968505859375,191.583984375,796.4296875,175.5207977294922,486.0760192871094,318.45703125,798.1445922851562,305.713134765625,5.10943668,,671.4530029296875,288.67236328125,861.0520132258026,2.406372559616783,2.8851533006607872,0.0,0.0,3.7569586721163786
Pupil Core,354,1,3885,dark,638.0763549804688,248.64466857910156,477.8968505859375,191.583984375,796.4296875,175.5207977294922,486.0760192871094,318.45703125,798.1445922851562,305.713134765625,5.10943668,6.3463936,671.5756225585938,289.59332275390625,861.0520132258026,2.4152026774859805,2.9514190214616467,0.0,0.0,3.8136699140829
Pupil Core,354,1,3885,dark,638.0763549804688,248.64466857910156,477.8968505859375,191.583984375,796.4296875,175.5207977294922,486.0760192871094,318.45703125,798.1445922851562,305.713134765625,5.13504426,6.3463936,671.2395629882812,289.9272766113281,861.0520132258026,2.3910019922699903,2.97544603282743,0.0,0.0,3.8170891555356095
Pupil Core,354,1,3885,dark,638.0763549804688,248.64466857910156,477.8968505859375,191.583984375,796.4296875,175.5207977294922,486.0760192871094,318.45703125,798.1445922851562,305.713134765625,5.13504426,6.40107071,671.7311401367188,286.9932556152344,861.0520132258026,2.42640168619067,2.7643168459969307,0.0,0.0,3.6781616016444065
Pupil Core,354,1,3885,dark,638.0763549804688,248.64466857910156,477.8968505859375,191.583984375,796.4296875,175.5207977294922,486.0760192871094,318.45703125,798.1445922851562,305.713134765625,5.01030235,6.40107071,670.5753173828125,288.2110290527344,861.0520132258026,2.3431651163655194,2.851956041664633,0.0,0.0,3.691080604123898
Pupil Core,354,1,3885,dark,638.0763549804688,248.64466857910156,477.8968505859375,191.583984375,796.4296875,175.5207977294922,486.0760192871094,318.45703125,798.1445922851562,305.713134765625,5.01030235,6.34597885,670.8768310546875,288.7295837402344,861.0520132258026,2.3648795902548105,2.889270706528939,0.0,0.0,3.733703348153144
Pupil Core,354,1,3885,dark,638.0763549804688,248.64466857910156,477.8968505859375,191.583984375,796.4296875,175.5207977294922,486.0760192871094,318.45703125,798.1445922851562,305.713134765625,5.09418381,6.34597885,675.9302978515625,286.866943359375,861.0520132258026,2.728715192842886,2.755225815476569,0.0,0.0,3.877777185182268
Pupil Core,354,1,3885,dark,638.0763549804688,248.64466857910156,477.8968505859375,191.583984375,796.4296875,175.5207977294922,486.0760192871094,318.45703125,798.1445922851562,305.713134765625,5.09418381,6.304298,675.9368286132812,287.1587829589844,861.0520132258026,2.729185253453815,2.7762300802181836,0.0,0.0,3.893058644045582
