eye_tracker,participant_id,trial_number,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,pup_diam_l,pup_diam_r,gaze_x,gaze_y
Pupil Core,354,1,3872,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,797.5270385742188,174.41464233398438,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.17634536,6.33391387,673.0177001953125,292.427490234375
Pupil Core,354,1,3872,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,797.5270385742188,174.41464233398438,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.17634536,6.32468272,672.8651733398438,293.35711669921875
Pupil Core,354,1,3872,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,797.5270385742188,174.41464233398438,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.18605899,6.32468272,670.5764770507812,294.47021484375
Pupil Core,354,1,3872,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,797.5270385742188,174.41464233398438,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.18605899,6.31195133,670.6762084960938,293.8250427246094
Pupil Core,354,1,3872,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,797.5270385742188,174.41464233398438,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.1403769,6.31195133,669.1377563476562,294.63580322265625
Pupil Core,354,1,3872,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,797.5270385742188,174.41464233398438,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.1403769,6.33450984,668.4948120117188,294.7267761230469
Pupil Core,354,1,3872,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,797.5270385742188,174.41464233398438,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,,6.33450984,670.3250122070312,292.0816345214844
Pupil Core,354,1,3872,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,797.5270385742188,174.41464233398438,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,,,669.8221435546875,292.87176513671875
Pupil Core,354,1,3872,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,797.5270385742188,174.41464233398438,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.13687582,,667.9949951171875,293.5102233886719
Pupil Core,354,1,3873,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.16803443,6.33847755,671.69970703125,286.76123046875
Pupil Core,354,1,3873,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.13062005,6.33847755,670.592041015625,290.7014465332031
Pupil Core,354,1,3873,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.13062005,6.31335911,671.252685546875,290.0755615234375
Pupil Core,354,1,3873,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.11924245,6.31335911,666.3692016601562,292.23919677734375
Pupil Core,354,1,3873,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.16852332,6.34413199,669.8373413085938,292.68719482421875
Pupil Core,354,1,3873,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.16852332,6.34037448,669.8319702148438,292.0380554199219
Pupil Core,354,1,3873,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.13687582,6.34037448,668.685791015625,292.7860107421875
Pupil Core,354,1,3873,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.11924245,6.34413199,666.3005981445312,291.3567810058594
Pupil Core,354,1,3874,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.16803443,6.36356406,672.3840942382812,286.26593017578125
Pupil Core,354,1,3874,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,,6.36356406,671.6755981445312,288.10406494140625
Pupil Core,354,1,3874,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,,,671.4671020507812,288.0657958984375
Pupil Core,354,1,3874,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.08854566,,673.64794921875,291.4658508300781
Pupil Core,354,1,3874,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.08854566,6.32929348,673.9381713867188,292.96783447265625
Pupil Core,354,1,3874,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.23961789,6.32929348,678.9991455078125,287.2330627441406
Pupil Core,354,1,3874,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.23961789,6.34525363,678.9495849609375,285.6833190917969
Pupil Core,354,1,3874,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,,6.34525363,680.7468872070312,288.2430419921875
Pupil Core,354,1,3875,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.0691804,6.37410218,678.174072265625,286.2541809082031
Pupil Core,354,1,3875,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.113512,6.37410218,673.8341674804688,289.99664306640625
Pupil Core,354,1,3875,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.18461068,6.37960347,677.8013916015625,283.9490966796875
Pupil Core,354,1,3875,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.0691804,6.37960347,678.790771484375,286.23382568359375
Pupil Core,354,1,3875,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.14492815,6.36942471,679.197265625,287.58740234375
Pupil Core,354,1,3875,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,,,680.6723022460938,287.672607421875
Pupil Core,354,1,3875,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.18461068,6.36942471,677.96435546875,285.9499206542969
Pupil Core,354,1,3875,dark,638.0763549804688,248.64466857910156,478.9826965332031,190.58404541015625,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,799.212646484375,304.64068603515625,5.14492815,,679.4999389648438,288.1567687988281
Pupil Core,354,1,3876,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.113512,,673.8318481445312,288.4863586425781
Pupil Core,354,1,3876,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.09468751,,674.7914428710938,288.47576904296875
Pupil Core,354,1,3876,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.09468751,6.34311142,675.837158203125,290.2715148925781
Pupil Core,354,1,3876,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,,6.34311142,676.524658203125,295.9604187011719
Pupil Core,354,1,3876,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.15371977,6.38440587,673.8983764648438,293.16339111328125
Pupil Core,354,1,3876,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.15371977,6.32791621,674.396728515625,294.9134216308594
Pupil Core,354,1,3876,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.07821933,6.32791621,670.781005859375,297.3164978027344
Pupil Core,354,1,3876,dark,638.0763549804688,248.64466857910156,477.89794921875,190.53460693359375,796.4307861328125,174.47142028808594,486.0946350097656,318.43731689453125,798.1456909179688,304.66375732421875,5.07821933,6.39792028,670.2689819335938,296.7227478027344
