segment,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y
1,3872,dark,638,251,486,200,789,186,489,320,795,307
1,3873,dark,638,251,486,200,788,186,489,320,794,307
1,3874,dark,638,251,485,200,788,186,489,320,795,307
1,3875,dark,638,251,486,200,788,186,489,320,795,307
1,3876,dark,638,251,485,200,788,186,489,320,794,307
1,3877,dark,638,251,485,200,788,186,489,320,794,307
1,3878,dark,638,251,486,200,789,186,489,320,795,307
1,3879,dark,639,251,486,200,789,186,489,320,795,307
1,3880,dark,639,250,486,200,789,186,490,320,795,307
1,3881,dark,639,250,486,200,789,186,490,320,795,307
1,3882,dark,639,250,486,200,789,186,490,320,795,307
1,3883,dark,638,250,486,200,789,186,490,320,795,307
1,3884,dark,638,250,486,200,789,186,489,320,795,307
1,3885,dark,638,250,485,200,788,186,489,319,794,307
1,3886,dark,638,250,485,200,788,186,489,319,795,307
1,3887,dark,639,250,486,200,789,186,489,320,795,307
1,3888,dark,639,250,486,199,789,186,490,319,795,307
1,3889,dark,639,250,486,200,789,186,490,320,795,307
1,3890,dark,639,250,486,200,789,186,490,320,795,307
1,3891,dark,638,251,486,200,789,186,490,320,795,307
1,3892,dark,638,251,486,200,789,186,489,320,795,307
1,3893,dark,639,250,486,200,789,186,490,320,795,307
1,3894,dark,639,251,486,200,789,186,490,320,795,307
1,3895,dark,638,251,486,200,789,186,489,320,795,307
1,3896,dark,638,251,486,200,789,186,489,320,795,307
1,3897,dark,638,250,486,200,789,186,489,320,795,307
1,3898,dark,638,251,486,200,788,186,489,319,795,307
1,3899,dark,638,250,486,200,789,186,489,320,795,307
1,3900,dark,639,250,486,200,789,186,490,319,795,307
1,3901,dark,639,250,486,199,789,186,490,319,795,306
1,3902,dark,639,250,487,199,790,186,490,319,796,306
1,3903,dark,639,250,487,199,790,185,490,319,796,306
1,3904,dark,639,250,486,199,789,185,490,319,795,306
1,3905,dark,639,249,486,199,790,186,490,319,795,306
1,3906,dark,639,250,486,200,789,186,489,319,795,307
1,3907,dark,638,251,486,200,788,186,489,320,795,307
1,3908,dark,637,250,485,200,788,186,489,320,794,307
1,3909,dark,638,251,485,200,788,186,489,320,794,307
1,3910,dark,637,251,485,200,788,186,489,320,794,307
1,3911,dark,637,250,485,200,787,186,488,319,794,307
1,3912,dark,637,250,485,200,788,186,488,319,794,307
1,3913,dark,638,251,485,200,788,186,489,320,794,307
1,3914,dark,637,251,485,200,788,187,489,320,794,308
1,3915,dark,638,251,485,200,789,187,489,320,794,308
1,3916,dark,638,251,486,200,789,187,489,320,795,307
1,3917,dark,639,251,487,200,789,186,490,320,796,307
1,3918,dark,638,251,486,200,789,187,489,320,795,307
1,3919,dark,639,250,486,200,789,186,489,319,795,307
1,3920,dark,639,251,486,199,789,187,489,320,795,307
1,3921,dark,638,251,485,200,788,187,489,320,794,308
1,3922,dark,638,251,486,200,789,187,489,320,795,308
1,3923,dark,638,251,486,200,789,187,489,320,795,308
1,3924,dark,638,251,486,200,789,187,490,320,795,308
1,3925,dark,639,251,486,200,789,187,490,320,795,308
1,3926,dark,638,251,486,200,789,187,490,320,795,308
1,3927,dark,638,251,486,200,789,187,490,320,795,308
1,3928,dark,638,251,486,200,789,187,489,320,795,308
1,3929,dark,638,252,486,200,789,187,489,320,795,309
1,3930,dark,638,251,486,201,789,188,489,320,795,308
1,3931,dark,638,251,486,200,789,187,489,320,795,308
1,3932,dark,638,251,486,200,789,187,490,320,795,307
1,3933,dark,638,251,486,200,789,186,490,320,795,308
1,3934,dark,639,251,487,200,789,187,490,320,795,308
1,3935,dark,638,250,486,200,789,187,490,319,795,307
1,3936,dark,638,250,486,200,789,187,490,319,795,307
1,3937,dark,638,251,486,200,789,187,490,320,795,308
1,3938,dark,638,251,486,200,789,187,489,320,795,308
1,3939,dark,638,251,486,200,789,187,489,320,795,308
1,3940,dark,638,251,486,200,789,187,489,320,795,308
1,3941,dark,638,251,486,200,789,187,489,320,794,308
1,3942,dark,638,251,486,200,789,187,489,320,794,308
1,3943,dark,638,252,486,200,789,187,489,320,794,308
1,3944,dark,635,247,486,200,789,187,489,320,794,308
1,3945,dark,638,251,486,200,789,187,489,320,794,308
1,3946,dark,638,251,486,200,789,187,489,320,795,308
1,3947,dark,638,251,486,201,789,187,489,320,795,308
1,3948,dark,638,251,486,200,789,187,490,320,795,308
1,3949,dark,638,251,486,200,789,187,489,320,795,308
1,3950,dark,638,252,486,200,789,188,489,320,795,308
1,3951,dark,638,252,486,200,789,188,489,320,795,308
1,3952,dark,638,252,486,201,789,188,489,321,794,309
1,3953,dark,638,251,485,201,788,188,489,320,794,308
1,3954,dark,638,251,485,200,788,187,489,320,794,308
1,3955,dark,638,251,485,200,788,187,489,320,794,308
1,3956,dark,638,251,485,200,788,187,489,320,794,308
1,3957,dark,638,251,486,200,789,187,489,320,795,308
1,3958,dark,638,251,486,200,789,187,489,320,794,308
1,3959,dark,638,251,486,200,789,187,489,320,795,308
1,3960,dark,638,251,486,200,789,187,489,320,795,308
1,3961,dark,638,251,486,201,789,188,489,320,794,309
1,3962,dark,638,251,486,200,788,187,489,320,794,308
1,3963,dark,638,251,486,200,789,187,489,320,795,308
1,3964,dark,638,251,486,201,788,187,489,320,794,308
1,3965,dark,638,251,486,201,788,187,489,320,794,308
1,3966,dark,638,251,486,200,789,187,489,320,794,308
1,3967,dark,638,251,486,201,788,187,489,320,794,308
1,3968,dark,638,251,485,201,788,187,489,320,794,308
1,3969,dark,638,252,486,201,789,188,489,320,795,309
1,3970,dark,638,252,486,201,789,188,489,321,794,309
1,3971,dark,638,252,486,201,789,188,489,321,795,309
1,3972,dark,638,252,486,201,789,188,489,321,795,309
1,3973,dark,638,252,486,201,789,188,489,321,795,309
1,3974,dark,638,252,486,201,789,188,489,320,794,309
1,3975,dark,638,252,486,201,789,188,489,321,794,309
1,3976,dark,638,252,486,201,789,188,489,321,794,309
1,3977,dark,637,251,485,201,788,188,489,321,794,308
1,3978,dark,637,251,485,201,788,187,489,320,794,308
1,3979,dark,638,251,485,200,788,187,489,320,794,308
1,3980,dark,639,251,486,200,788,187,489,320,794,308
1,3981,dark,638,251,486,200,789,187,489,320,794,308
1,3982,dark,638,251,486,200,789,187,489,320,795,308
1,3983,dark,638,251,486,200,789,187,489,320,795,308
1,3984,dark,638,251,486,201,789,188,489,320,794,309
1,3985,dark,638,251,486,201,788,187,489,320,794,308
1,3986,dark,638,252,486,201,789,188,489,320,795,309
1,3987,dark,638,251,486,201,788,188,489,321,794,309
1,3988,dark,638,252,485,201,788,188,489,320,794,308
1,3989,dark,638,251,485,200,788,187,489,320,794,308
1,3990,dark,638,251,485,201,788,187,489,320,794,308
1,3991,dark,638,251,485,201,788,188,489,320,794,308
1,3992,dark,638,252,486,201,788,188,489,320,794,309
1,3993,dark,639,252,486,201,789,188,489,321,795,309
1,3994,dark,638,251,486,201,789,188,489,320,795,308
1,3995,dark,638,252,486,201,789,188,489,320,795,308
1,3996,dark,638,252,486,201,789,188,489,320,795,308
1,3997,dark,638,252,486,201,789,188,489,320,794,309
1,3998,dark,638,252,486,201,788,188,489,321,794,309
1,3999,dark,638,252,486,201,789,188,489,320,794,309
1,4000,dark,637,252,485,201,788,188,489,321,794,309
1,4001,dark,637,252,485,201,788,188,488,321,794,308
1,4002,dark,638,251,485,200,788,188,489,320,794,308
1,4003,dark,638,251,485,200,788,187,489,320,794,308
1,4004,dark,638,251,486,200,788,187,489,320,794,308
1,4005,dark,638,251,486,200,788,187,489,320,794,308
1,4006,dark,638,251,486,200,789,187,489,320,794,308
1,4007,dark,638,252,486,200,789,188,489,320,794,309
1,4008,dark,637,252,485,201,788,188,488,321,794,309
1,4009,dark,637,252,485,201,788,188,488,321,794,309
1,4010,dark,637,252,485,201,788,188,488,321,794,309
1,4011,dark,637,252,485,201,788,188,488,321,793,309
1,4012,dark,637,252,485,201,788,188,488,321,793,309
1,4013,dark,637,252,485,201,788,188,488,321,793,309
1,4014,dark,637,252,485,201,788,188,488,321,793,309
1,4015,dark,637,252,485,201,788,188,488,321,793,309
1,4016,dark,637,252,485,201,788,188,488,321,794,309
1,4017,dark,637,252,485,201,788,188,489,321,794,309
2,4312,bright,639,253,487,202,790,188,490,321,796,309
2,4313,bright,639,253,487,202,790,188,490,322,796,309
2,4314,bright,640,253,487,202,790,188,491,322,796,309
2,4315,bright,640,253,487,202,790,188,491,322,796,309
2,4316,bright,638,254,487,202,790,189,491,322,796,310
2,4317,bright,639,254,487,202,790,189,490,322,796,310
2,4318,bright,639,253,487,202,790,189,491,322,796,309
2,4319,bright,639,253,487,202,790,188,490,322,796,309
2,4320,bright,639,253,487,202,790,189,490,322,796,310
2,4321,bright,639,253,487,202,790,188,490,322,796,309
2,4322,bright,639,253,487,202,789,188,490,322,796,309
2,4323,bright,639,253,487,202,789,188,490,322,796,309
2,4324,bright,639,254,487,202,789,188,490,322,795,310
2,4325,bright,639,253,486,202,789,188,490,321,795,309
2,4326,bright,639,253,487,201,790,188,490,321,796,309
2,4327,bright,639,253,486,202,789,188,489,321,795,309
2,4328,bright,639,253,487,202,790,189,491,322,796,309
2,4329,bright,639,253,487,202,790,189,490,322,795,310
2,4330,bright,639,253,487,202,789,189,490,322,795,310
2,4331,bright,640,254,487,202,790,189,491,322,796,310
2,4332,bright,639,254,487,202,790,189,490,322,795,310
2,4333,bright,639,253,487,202,790,188,491,321,796,309
2,4334,bright,640,253,487,201,790,188,490,321,796,309
2,4335,bright,640,253,487,201,790,188,490,321,796,309
2,4336,bright,640,253,487,201,790,188,490,321,796,309
2,4337,bright,639,253,487,201,790,188,490,321,796,309
2,4338,bright,640,252,487,201,790,188,491,321,796,309
2,4339,bright,639,254,487,202,790,189,490,321,796,310
2,4340,bright,639,253,487,202,790,189,490,321,795,310
2,4341,bright,639,253,487,202,789,189,490,321,795,309
2,4342,bright,639,253,487,202,790,189,490,321,795,310
2,4343,bright,639,253,487,202,790,188,490,321,795,309
2,4344,bright,639,253,486,202,789,188,490,321,795,309
2,4345,bright,639,253,487,202,790,189,490,322,795,310
2,4346,bright,639,253,486,202,789,189,490,322,795,310
2,4347,bright,639,253,486,202,789,189,489,322,795,310
2,4348,bright,638,254,486,202,789,189,489,322,795,310
2,4349,bright,638,253,486,202,789,189,489,322,795,310
2,4350,bright,638,254,486,202,789,189,489,321,794,310
2,4351,bright,638,253,486,201,789,189,489,321,795,310
2,4352,bright,639,253,486,201,789,189,489,321,795,310
2,4353,bright,639,252,486,201,789,188,489,321,795,309
2,4354,bright,639,253,486,201,789,189,490,321,795,310
2,4355,bright,639,253,487,201,790,189,490,321,795,310
2,4356,bright,638,253,486,201,789,188,489,321,795,309
2,4357,bright,638,253,486,201,789,188,489,321,795,309
2,4358,bright,638,253,486,201,789,188,490,321,795,309
