eye_tracker,frame,trial_condition,segment,target_x,target_y,gaze_pos_vid_x,gaze_pos_vid_y,pup_diam_l,pup_diam_r,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_target_angle
Pupil Neon,831,dilated,1,777,352,764.033,330.937,5.68960571,5.82911348,-31.02972412,15.75345612,-38.96864319,31.92915344,15.34188843,-38.32066345,0.00395883,-0.30754143,0.95152646,0.00190804,-0.31453723,0.94924325,1.5854986688915382
Pupil Neon,831,dilated,1,777,352,764.214,333.811,5.68377066,5.80696487,-31.0572052,15.72942734,-38.97592926,31.90105057,15.31647491,-38.30480957,0.00650168,-0.30465695,0.95243996,0.00080316,-0.31169048,0.95018339,1.4243345308655635
Pupil Neon,831,dilated,1,777,352,762.414,333.009,5.7067337,5.82506466,-31.06151199,15.79364014,-38.94933319,31.89681625,15.3914299,-38.2809906,0.00633536,-0.31034586,0.95060265,0.00362527,-0.31733981,0.94830495,1.5333240334801954
Pupil Neon,832,dilated,1,777,352,762.272,332.182,5.68656731,5.82595921,-31.04114151,15.79076767,-38.94042969,31.91762924,15.40212631,-38.29061508,0.00616239,-0.30993614,0.95073742,0.00229352,-0.31698811,0.94842678,1.5813173774372404
Pupil Neon,832,dilated,1,777,352,761.124,329.582,5.68707037,5.81648302,-31.02918625,15.73669434,-38.96797943,31.93157387,15.34233093,-38.30378342,0.0035062,-0.30633801,0.95191634,0.00069321,-0.31341583,0.94961578,1.7596560316769396
Pupil Neon,832,dilated,1,777,352,762.128,331.71,5.7041173,5.82682228,-31.1180191,15.79603577,-38.99087906,31.84103203,15.39392853,-38.270401,0.00813708,-0.31126022,0.95028991,0.00728456,-0.31813037,0.94801903,1.6112213422601445
Pupil Neon,832,dilated,1,777,352,761.841,334.459,5.70478153,5.82240343,-31.11093521,15.77115631,-39.00645828,31.84584618,15.39318848,-38.25218964,0.00676628,-0.31079954,0.95045143,0.00404241,-0.31765926,0.94819635,1.483565145790597
Pupil Neon,832,dilated,1,777,352,762.774,336.087,5.70172596,5.81577492,-31.04881287,15.7857132,-38.96939087,31.91298485,15.35294342,-38.38232422,0.00481637,-0.31015918,0.95067251,0.00675099,-0.31743297,0.94825667,1.3656620690323524
Pupil Neon,832,dilated,1,777,352,762.745,334.23,5.71032429,5.83302927,-31.05488205,15.82301331,-38.98989868,31.90423965,15.39509583,-38.32367706,0.00399081,-0.31414762,0.94936579,0.00503966,-0.32133865,0.94695097,1.458412496932671
Pupil Neon,832,dilated,1,777,352,762.887,334.932,5.68069267,5.81532526,-31.04484177,15.80925751,-38.96082306,31.91223145,15.37216187,-38.30667114,0.00548488,-0.31250295,0.94990098,0.00276989,-0.3197161,0.94750935,1.417599428462634
Pupil Neon,833,dilated,1,777,352,761.43,333.266,5.69268608,5.81893206,-31.01394272,15.84905243,-38.95683289,31.94347191,15.4002533,-38.2974968,0.00137177,-0.3150411,0.94907707,8.853e-05,-0.32286286,0.94644576,1.5591323177254457
Pupil Neon,833,dilated,1,777,352,761.355,333.121,5.68748665,5.81161308,-31.05119705,15.79269791,-38.98197556,31.90921783,15.39040375,-38.28877258,0.00359796,-0.31208268,0.95004815,0.00081521,-0.31945369,0.94760156,1.5693620384042195
Pupil Neon,833,dilated,1,777,352,760.997,334.368,5.69282722,5.81735659,-31.05722809,15.79969788,-38.98698425,31.90144348,15.39588165,-38.27679443,0.00379598,-0.31239209,0.94994569,0.00157479,-0.31982693,0.94747472,1.523300288453955
Pupil Neon,833,dilated,1,777,352,761.678,334.735,5.70139647,5.82190084,-31.03190613,15.78889465,-38.98974228,31.93040657,15.38027954,-38.33427429,0.00171106,-0.31124151,0.9503293,0.00360836,-0.31863707,0.94786996,1.4769294204684527
Pupil Neon,833,dilated,1,777,352,761.02,333.182,5.69892406,5.81943989,-31.069561,15.77927399,-39.04249573,31.89319229,15.41084671,-38.34396362,0.00265933,-0.31229642,0.94998103,0.00723522,-0.3201341,0.94734466,1.5799338738841584
