eye_tracker,participant_id,trial_number,trial_condition,target_x,target_y,gaze_x,gaze_y,gaze_angle_x,gaze_angle_y,target_angle_x,target_angle_y,pup_diam_l,pup_diam_r
EyeLink 1000 Plus,772,1,dark,960.0,540.0,963.65,527.0,0.05407407407407374,-0.19287833827893172,0,0,5.181839442559352,5.285541085073264
EyeLink 1000 Plus,772,1,dark,960.0,540.0,963.6,527.6,0.05333333333333367,-0.18397626112759607,0,0,5.181839442559352,5.285541085073264
EyeLink 1000 Plus,772,1,dark,960.0,540.0,963.55,528.25,0.05259259259259192,-0.17433234421364985,0,0,5.181839442559352,5.285541085073264
EyeLink 1000 Plus,772,1,dark,960.0,540.0,963.5,528.75,0.05185185185185185,-0.16691394658753708,0,0,5.181839442559352,5.285541085073264
EyeLink 1000 Plus,772,1,dark,960.0,540.0,963.3,529.5,0.04888888888888822,-0.15578635014836795,0,0,5.181839442559352,5.283739298388877
EyeLink 1000 Plus,772,1,dark,960.0,540.0,963.15,530.2,0.04666666666666633,-0.1454005934718094,0,0,5.181839442559352,5.283739298388877
EyeLink 1000 Plus,772,1,dark,960.0,540.0,962.95,530.9,0.043703703703704376,-0.13501483679525256,0,0,5.181839442559352,5.283739298388877
EyeLink 1000 Plus,772,1,dark,960.0,540.0,962.75,531.0,0.040740740740740744,-0.13353115727002965,0,0,5.181839442559352,5.281936897074831
EyeLink 1000 Plus,772,1,dark,960.0,540.0,962.5,531.15,0.037037037037037035,-0.13130563798219616,0,0,5.183676648588558,5.281936897074831
EyeLink 1000 Plus,772,1,dark,960.0,540.0,962.25,531.25,0.03333333333333333,-0.12982195845697328,0,0,5.183676648588558,5.283739298388877
EyeLink 1000 Plus,772,1,dark,960.0,540.0,961.95,531.35,0.028888888888889564,-0.1283382789317504,0,0,5.183676648588558,5.283739298388877
EyeLink 1000 Plus,772,1,dark,960.0,540.0,961.7,531.3,0.02518518518518586,-0.12908011869436267,0,0,5.183676648588558,5.283739298388877
EyeLink 1000 Plus,772,1,dark,960.0,540.0,961.45,531.15,0.021481481481482156,-0.13130563798219616,0,0,5.1855132037032545,5.283739298388877
EyeLink 1000 Plus,772,1,dark,960.0,540.0,961.25,530.95,0.018518518518518517,-0.13427299703264026,0,0,5.1855132037032545,5.285541085073264
EyeLink 1000 Plus,772,1,dark,960.0,540.0,961.05,530.65,0.015555555555554882,-0.13872403560830893,0,0,5.1855132037032545,5.285541085073264
EyeLink 1000 Plus,772,1,dark,960.0,540.0,960.85,530.35,0.01259259259259293,-0.1431750741839759,0,0,5.1855132037032545,5.287342257756344
EyeLink 1000 Plus,772,1,dark,960.0,540.0,960.65,529.9,0.009629629629629292,-0.14985163204747806,0,0,5.1855132037032545,5.287342257756344
EyeLink 1000 Plus,772,1,dark,960.0,540.0,960.4,529.55,0.005925925925925589,-0.15504451038575734,0,0,5.1873491085948,5.289142817065393
EyeLink 1000 Plus,772,1,dark,960.0,540.0,960.2,529.05,0.0029629629629636368,-0.1624629080118701,0,0,5.1873491085948,5.289142817065393
EyeLink 1000 Plus,772,1,dark,960.0,540.0,960.05,528.65,0.0007407407407400671,-0.16839762611275996,0,0,5.1873491085948,5.290942763626622
EyeLink 1000 Plus,772,1,dark,960.0,540.0,960.0,528.25,0.0,-0.17433234421364985,0,0,5.1873491085948,5.2927420980651805
EyeLink 1000 Plus,772,1,dark,960.0,540.0,959.95,528.1,-0.0007407407407400671,-0.17655786350148334,0,0,5.1873491085948,5.2927420980651805
