eye_tracker,participant_id,trial_number,trial_condition,target_x,target_y,gaze_x,gaze_y,gaze_angle_x,gaze_angle_y,target_angle_x,target_angle_y,pup_diam_l,pup_diam_r
EyeLink 1000 Plus,354,1,dark,960.0,540.0,964.1,518.65,0.06119402985074661,-0.31865671641791077,0,0,6.401703116597932,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,964.45,518.5,0.06641791044776187,-0.3208955223880597,0,0,6.401703116597932,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,964.8,518.3,0.07164179104477544,-0.32388059701492605,0,0,6.401703116597932,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.15,518.15,0.0768656716417907,-0.32611940298507497,0,0,6.401703116597932,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.45,517.95,0.08134328358209023,-0.3291044776119396,0,0,6.400215559213704,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.75,517.95,0.08582089552238806,-0.3291044776119396,0,0,6.400215559213704,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.85,518.0,0.08731343283582123,-0.3283582089552239,0,0,6.398727656006521,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.95,518.3,0.08880597014925441,-0.32388059701492605,0,0,6.398727656006521,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.05,518.7,0.09029850746268589,-0.31791044776119337,0,0,6.398727656006521,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.15,519.05,0.09179104477611906,-0.3126865671641798,0,0,6.398727656006521,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.2,519.35,0.0925373134328365,-0.30820895522388025,0,0,6.398727656006521,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.3,519.35,0.09402985074626798,-0.30820895522388025,0,0,6.400215559213704,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.3,519.3,0.09402985074626798,-0.3089552238805977,0,0,6.401703116597932,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.4,519.25,0.09552238805970115,-0.30970149253731344,0,0,6.403190328400224,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.45,519.2,0.09626865671641859,-0.31044776119402917,0,0,6.404677194861319,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.45,519.0,0.09626865671641859,-0.31343283582089554,0,0,6.407649892721482,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.35,518.9,0.09477611940298541,-0.3149253731343287,0,0,6.409135724600635,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.3,518.8,0.09402985074626798,-0.31641791044776185,0,0,6.409135724600635,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.15,519.0,0.09179104477611906,-0.31343283582089554,0,0,6.409135724600635,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,966.0,518.75,0.08955223880597014,-0.31716417910447764,0,0,6.410621212098761,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.8,518.45,0.0865671641791038,-0.3216417910447754,0,0,6.410621212098761,5.532002076480572
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.6,518.05,0.08358208955223914,-0.32761194029850815,0,0,6.410621212098761,5.5337230291047135
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.45,517.75,0.08134328358209023,-0.332089552238806,0,0,6.410621212098761,5.5337230291047135
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.35,517.55,0.07985074626865706,-0.3350746268656723,0,0,6.410621212098761,5.535443446689916
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.2,517.35,0.07761194029850814,-0.338059701492537,0,0,6.410621212098761,5.535443446689916
EyeLink 1000 Plus,354,1,dark,960.0,540.0,965.0,517.35,0.07462686567164178,-0.338059701492537,0,0,6.410621212098761,5.537163329734894
EyeLink 1000 Plus,354,1,dark,960.0,540.0,964.7,517.75,0.07014925373134397,-0.332089552238806,0,0,6.410621212098761,5.538882678737589
EyeLink 1000 Plus,354,1,dark,960.0,540.0,964.4,518.25,0.06567164179104444,-0.3246268656716418,0,0,6.412106355455208,5.538882678737589
EyeLink 1000 Plus,354,1,dark,960.0,540.0,964.15,518.6,0.06194029850746235,-0.3194029850746265,0,0,6.412106355455208,5.5406014941951724
EyeLink 1000 Plus,354,1,dark,960.0,540.0,963.85,518.95,0.057462686567164516,-0.31417910447761127,0,0,6.413591154909046,5.5406014941951724
EyeLink 1000 Plus,354,1,dark,960.0,540.0,963.6,519.25,0.05373134328358243,-0.30970149253731344,0,0,6.413591154909046,5.5406014941951724
EyeLink 1000 Plus,354,1,dark,960.0,540.0,963.45,519.55,0.05149253731343351,-0.3052238805970156,0,0,6.413591154909046,5.5406014941951724
EyeLink 1000 Plus,354,1,dark,960.0,540.0,963.55,519.65,0.05298507462686499,-0.3037313432835824,0,0,6.415075610699069,5.5406014941951724
EyeLink 1000 Plus,354,1,dark,960.0,540.0,963.8,519.75,0.056716417910447084,-0.30223880597014924,0,0,6.415075610699069,5.5406014941951724
EyeLink 1000 Plus,354,1,dark,960.0,540.0,964.05,519.95,0.06044776119402917,-0.2992537313432829,0,0,6.415075610699069,5.5406014941951724
