eye_tracker,participant_id,trial_number,trial_condition,target_x,target_y,gaze_x,gaze_y,gaze_angle_x,gaze_angle_y,target_angle_x,target_angle_y,pup_diam_l,pup_diam_r
EyeLink 1000 Plus,460,1,dark,960.0,540.0,918.25,508.25,-0.617603550295858,-0.4703703703703704,0,0,7.317825586037136,7.159981890245362
EyeLink 1000 Plus,460,1,dark,960.0,540.0,918.25,508.3,-0.617603550295858,-0.46962962962962945,0,0,7.317825586037136,7.158651903814229
EyeLink 1000 Plus,460,1,dark,960.0,540.0,918.25,508.25,-0.617603550295858,-0.4703703703703704,0,0,7.317825586037136,7.157321670242618
EyeLink 1000 Plus,460,1,dark,960.0,540.0,918.1,508.1,-0.6198224852071003,-0.47259259259259223,0,0,7.316524292244322,7.157321670242618
EyeLink 1000 Plus,460,1,dark,960.0,540.0,917.95,508.0,-0.6220414201183426,-0.4740740740740741,0,0,7.316524292244322,7.1559911893927115
EyeLink 1000 Plus,460,1,dark,960.0,540.0,917.8,507.85,-0.6242603550295865,-0.47629629629629594,0,0,7.315222766966348,7.1559911893927115
EyeLink 1000 Plus,460,1,dark,960.0,540.0,917.55,507.7,-0.6279585798816575,-0.4785185185185187,0,0,7.315222766966348,7.1559911893927115
EyeLink 1000 Plus,460,1,dark,960.0,540.0,917.4,507.65,-0.6301775147928999,-0.4792592592592596,0,0,7.315222766966348,7.157321670242618
EyeLink 1000 Plus,460,1,dark,960.0,540.0,917.3,507.55,-0.6316568047337285,-0.4807407407407406,0,0,7.315222766966348,7.159981890245362
EyeLink 1000 Plus,460,1,dark,960.0,540.0,917.2,507.6,-0.6331360946745556,-0.47999999999999965,0,0,7.315222766966348,7.161311629673718
EyeLink 1000 Plus,460,1,dark,960.0,540.0,917.15,507.6,-0.6338757396449708,-0.47999999999999965,0,0,7.315222766966348,7.162641122236861
EyeLink 1000 Plus,460,1,dark,960.0,540.0,917.05,507.65,-0.6353550295857996,-0.4792592592592596,0,0,7.315222766966348,7.162641122236861
EyeLink 1000 Plus,460,1,dark,960.0,540.0,917.05,507.75,-0.6353550295857996,-0.4777777777777778,0,0,7.315222766966348,7.163970368072234
EyeLink 1000 Plus,460,1,dark,960.0,540.0,916.95,507.75,-0.6368343195266266,-0.4777777777777778,0,0,7.315222766966348,7.165299367317147
EyeLink 1000 Plus,460,1,dark,960.0,540.0,916.75,507.65,-0.6397928994082841,-0.4792592592592596,0,0,7.315222766966348,7.163970368072234
EyeLink 1000 Plus,460,1,dark,960.0,540.0,916.5,507.4,-0.643491124260355,-0.4829629629629633,0,0,7.315222766966348,7.162641122236861
EyeLink 1000 Plus,460,1,dark,960.0,540.0,916.3,507.2,-0.6464497041420125,-0.4859259259259261,0,0,7.315222766966348,7.162641122236861
EyeLink 1000 Plus,460,1,dark,960.0,540.0,916.05,506.95,-0.6501479289940836,-0.4896296296296298,0,0,7.315222766966348,7.162641122236861
EyeLink 1000 Plus,460,1,dark,960.0,540.0,915.7,506.7,-0.6553254437869817,-0.4933333333333335,0,0,7.315222766966348,7.161311629673718
EyeLink 1000 Plus,460,1,dark,960.0,540.0,915.35,506.6,-0.6605029585798814,-0.4948148148148145,0,0,7.315222766966348,7.159981890245362
EyeLink 1000 Plus,460,1,dark,960.0,540.0,915.1,506.55,-0.6642011834319523,-0.49555555555555536,0,0,7.315222766966348,7.159981890245362
EyeLink 1000 Plus,460,1,dark,960.0,540.0,914.9,506.6,-0.6671597633136098,-0.4948148148148145,0,0,7.315222766966348,7.158651903814229
EyeLink 1000 Plus,460,1,dark,960.0,540.0,914.7,507.0,-0.6701183431952656,-0.4888888888888889,0,0,7.315222766966348,7.158651903814229
EyeLink 1000 Plus,460,1,dark,960.0,540.0,914.55,507.4,-0.6723372781065096,-0.4829629629629633,0,0,7.315222766966348,7.157321670242618
EyeLink 1000 Plus,460,1,dark,960.0,540.0,914.4,507.85,-0.6745562130177519,-0.47629629629629594,0,0,7.315222766966348,7.157321670242618
EyeLink 1000 Plus,460,1,dark,960.0,540.0,914.45,508.25,-0.6738165680473367,-0.4703703703703704,0,0,7.316524292244322,7.158651903814229
EyeLink 1000 Plus,460,1,dark,960.0,540.0,914.55,508.6,-0.6723372781065096,-0.46518518518518487,0,0,7.316524292244322,7.159981890245362
