frame,distance_from_width,distance_from_height,distance_average
444,932.5368695133386,925.7385405073252,929.137705010332
445,932.2828910400729,923.0046778468111,927.643784443442
446,932.302005980696,923.0431096178539,927.672557799275
447,932.2854847281903,922.6350281678707,927.4602564480306
447,932.2854847281903,922.6350281678707,927.4602564480306
448,933.4848941055596,925.1326408067229,929.3087674561413
449,932.3893962357396,931.2511632429168,931.8202797393283
450,932.3893962357396,931.2511632429168,931.8202797393283
451,932.3008639488053,923.3365377559516,927.8187008523785
451,932.3008639488053,923.3365377559516,927.8187008523785
452,934.5345804543607,928.4833310015277,931.5089557279442
452,934.5345804543607,928.4833310015277,931.5089557279442
454,933.651487032024,931.0399897924823,932.3457384122531
455,932.4666003985294,928.8309117005244,930.6487560495269
455,932.4666003985294,928.8309117005244,930.6487560495269
456,933.5785770441059,928.6920398677964,931.1353084559512
457,935.7165234224477,925.5870134890569,930.6517684557523
458,934.5281328559091,933.659709396006,934.0939211259575
458,934.5281328559091,933.659709396006,934.0939211259575
459,933.5635222956672,928.6984042124558,931.1309632540615
460,935.8792690659475,925.5861033723662,930.7326862191569
461,933.5773321393725,928.2688343823403,930.9230832608564
462,932.5431740584381,931.2594214472442,931.9012977528412
463,933.6554360797875,931.1019641623041,932.3787001210458
463,933.6554360797875,931.1019641623041,932.3787001210458
464,932.3056376161612,928.4878659341094,930.3967517751353
465,934.5272508592197,928.8362497374327,931.6817502983263
466,932.3947810463311,931.2526398585456,931.8237104524384
467,934.6057587440524,931.2623011475263,932.9340299457893
467,934.6057587440524,931.2623011475263,932.9340299457893
467,934.6057587440524,931.2623011475263,932.9340299457893
469,933.6558694869583,925.1935009187227,929.4246852028405
469,933.6558694869583,925.1935009187227,929.4246852028405
470,934.5159014003776,928.1212804904299,931.3185909454037
471,934.6781334093907,928.49648533391,931.5873093716503
472,934.7643199782534,925.3676210151095,930.0659704966815
473,932.3926096483332,925.7310767225653,929.0618431854492
474,933.6533649729258,925.5831285947705,929.6182467838482
475,934.6138366785606,925.6557286298554,930.134782654208
475,934.6138366785606,925.6557286298554,930.134782654208
476,934.6946300824872,928.4915917018674,931.5931108921773
477,933.5068905902635,931.030930898724,932.2689107444937
478,933.5041317291688,930.6332461019207,932.0686889155447
478,933.5041317291688,930.6332461019207,932.0686889155447
479,934.621112090814,930.8747383889521,932.747925239883
480,932.3863422206874,931.2592766141549,931.8228094174212
481,933.5069637918446,925.9365457888911,929.7217547903679
481,933.5069637918446,925.9365457888911,929.7217547903679
482,930.2433423464488,928.4886680293641,929.3660051879065
483,933.5057768037308,925.9339146684669,929.7198457360988
484,931.2785464297313,931.0973564726737,931.1879514512025
485,932.631325845199,933.9613778796582,933.2963518624285
486,932.3902758540315,931.3052389634366,931.8477574087341
486,932.3902758540315,931.3052389634366,931.8477574087341
487,932.3989237232175,931.2517515015105,931.825337612364
