eye_tracker,participant_id,trial_number,trial_condition,target_x,target_y,gaze_x,gaze_y,gaze_angle_x,gaze_angle_y,target_angle_x,target_angle_y,pup_diam_l,pup_diam_r
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.0,529.6,0.014306151645207437,-0.14899713467048678,0,0,5.789362317123844,5.639396515556422
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.6,529.75,0.008583690987124788,-0.14684813753581663,0,0,5.789362317123844,5.639396515556422
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.4,529.85,0.0057224606580826495,-0.1454154727793693,0,0,5.789362317123844,5.639396515556422
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.25,529.9,0.0035765379113018594,-0.14469914040114645,0,0,5.789362317123844,5.639396515556422
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.05,529.95,0.0007153075822597213,-0.143982808022922,0,0,5.79100678877102,5.639396515556422
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.8,530.0,-0.0028612303290421384,-0.14326647564469916,0,0,5.79100678877102,5.6410847049418065
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.65,530.1,-0.005007153075822929,-0.14183381088825184,0,0,5.79100678877102,5.6410847049418065
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.65,530.25,-0.005007153075822929,-0.13968481375358166,0,0,5.79100678877102,5.6410847049418065
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.75,530.4,-0.0035765379113018594,-0.1375358166189115,0,0,5.79100678877102,5.64277238925928
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.8,530.55,-0.0028612303290421384,-0.13538681948424133,0,0,5.79100678877102,5.64277238925928
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.9,530.65,-0.0014306151645210692,-0.13395415472779404,0,0,5.79100678877102,5.64277238925928
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.0,530.8,0.0,-0.13180515759312386,0,0,5.79100678877102,5.64277238925928
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.15,531.0,0.0021459227467807906,-0.12893982808022922,0,0,5.79100678877102,5.64277238925928
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.3,531.1,0.004291845493561581,-0.12750716332378192,0,0,5.792650793570291,5.64277238925928
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.55,531.15,0.007868383404863441,-0.12679083094555907,0,0,5.792650793570291,5.644459568961882
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.8,531.0,0.011444921316165299,-0.12893982808022922,0,0,5.794294331919031,5.644459568961882
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.05,530.9,0.015021459227467159,-0.13037249283667654,0,0,5.794294331919031,5.644459568961882
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.2,530.75,0.017167381974249576,-0.13252148997134672,0,0,5.79593740421405,5.646146244501984
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.3,530.5,0.01859799713876902,-0.1361031518624642,0,0,5.79593740421405,5.646146244501984
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.35,529.95,0.019313304721030367,-0.143982808022922,0,0,5.79593740421405,5.646146244501984
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.4,529.35,0.02002861230329009,-0.15257879656160425,0,0,5.79593740421405,5.646146244501984
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.35,528.8,0.019313304721030367,-0.1604584527220637,0,0,5.794294331919031,5.646146244501984
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.35,528.4,0.019313304721030367,-0.16618911174785134,0,0,5.794294331919031,5.646146244501984
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.25,527.95,0.017882689556509297,-0.1726361031518618,0,0,5.794294331919031,5.647832416331272
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.2,527.55,0.017167381974249576,-0.1783667621776511,0,0,5.794294331919031,5.647832416331272
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.15,527.25,0.016452074391988227,-0.1826647564469914,0,0,5.794294331919031,5.647832416331272
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.1,527.25,0.015736766809728506,-0.1826647564469914,0,0,5.794294331919031,5.647832416331272
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.15,527.25,0.016452074391988227,-0.1826647564469914,0,0,5.794294331919031,5.649518084900766
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.1,527.2,0.015736766809728506,-0.18338108882521426,0,0,5.794294331919031,5.649518084900766
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.15,526.95,0.016452074391988227,-0.18696275071633173,0,0,5.794294331919031,5.649518084900766
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.2,526.65,0.017167381974249576,-0.1912607449856737,0,0,5.794294331919031,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.25,526.3,0.017882689556509297,-0.19627507163323848,0,0,5.79593740421405,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.15,525.95,0.016452074391988227,-0.20128939828080164,0,0,5.79593740421405,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,961.1,525.55,0.015736766809728506,-0.20702005730659093,0,0,5.79593740421405,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.95,525.25,0.013590844062947716,-0.21131805157593125,0,0,5.797580010851595,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.8,524.8,0.011444921316165299,-0.21776504297994334,0,0,5.797580010851595,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.6,524.6,0.008583690987124788,-0.22063037249283635,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.3,524.4,0.004291845493561581,-0.223495702005731,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.0,524.25,0.0,-0.22564469914040117,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.85,524.1,-0.0021459227467807906,-0.22779369627507132,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.55,523.95,-0.006437768240343997,-0.22994269340974147,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.3,523.9,-0.010014306151645858,-0.23065902578796596,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.1,523.95,-0.012875536480686369,-0.22994269340974147,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,958.85,524.0,-0.016452074391988227,-0.22922636103151864,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,958.75,524.1,-0.017882689556509297,-0.22779369627507132,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,958.75,524.2,-0.017882689556509297,-0.226361031518624,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,958.65,524.35,-0.019313304721030367,-0.22421203438395385,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,958.75,524.45,-0.017882689556509297,-0.22277936962750652,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,958.8,524.6,-0.017167381974249576,-0.22063037249283635,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,958.85,524.75,-0.016452074391988227,-0.2184813753581662,0,0,5.797580010851595,5.65120325066081
EyeLink 1000 Plus,259,1,dark,960.0,540.0,958.85,524.9,-0.016452074391988227,-0.21633237822349605,0,0,5.797580010851595,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,958.9,525.0,-0.015736766809728506,-0.21489971346704873,0,0,5.797580010851595,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.1,525.1,-0.012875536480686369,-0.2134670487106014,0,0,5.797580010851595,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.25,525.15,-0.01072961373390558,-0.21275071633237855,0,0,5.799222152227355,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.55,525.3,-0.006437768240343997,-0.2106017191977084,0,0,5.799222152227355,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.8,525.35,-0.0028612303290421384,-0.20988538681948393,0,0,5.799222152227355,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.15,525.4,0.0021459227467807906,-0.20916905444126108,0,0,5.799222152227355,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.4,525.5,0.0057224606580826495,-0.20773638968481375,0,0,5.799222152227355,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,960.05,525.6,0.0007153075822597213,-0.20630372492836643,0,0,5.799222152227355,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,959.2,525.7,-0.011444921316165299,-0.20487106017191914,0,0,5.800863828736454,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,957.1,525.8,-0.041487839771101244,-0.20343839541547343,0,0,5.800863828736454,5.652887914061076
EyeLink 1000 Plus,259,1,dark,960.0,540.0,953.65,525.95,-0.09084406294706755,-0.20128939828080164,0,0,5.800863828736454,5.654572075550569
EyeLink 1000 Plus,259,1,dark,960.0,540.0,949.65,526.15,-0.1480686695278973,-0.19814020028612334,0,0,5.800863828736454,5.654572075550569
EyeLink 1000 Plus,259,1,dark,960.0,540.0,945.5,526.35,-0.20743919885550785,-0.19527896995708122,0,0,5.800863828736454,5.654572075550569
EyeLink 1000 Plus,259,1,dark,960.0,540.0,941.5,526.6,-0.2646638054363376,-0.19170243204577933,0,0,5.802505040773462,5.656255735577623
EyeLink 1000 Plus,259,1,dark,960.0,540.0,938.0,526.55,-0.3147353361945636,-0.19241773962804068,0,0,5.802505040773462,5.657938894589906
EyeLink 1000 Plus,259,1,dark,960.0,540.0,935.9,526.35,-0.34477825464949957,-0.19527896995708122,0,0,5.802505040773462,5.657938894589906
EyeLink 1000 Plus,259,1,dark,960.0,540.0,935.4,525.85,-0.3519313304721033,-0.20243204577968493,0,0,5.802505040773462,5.659621553034419
EyeLink 1000 Plus,259,1,dark,960.0,540.0,936.75,525.35,-0.3326180257510729,-0.20958512160228865,0,0,5.804145788732389,5.659621553034419
EyeLink 1000 Plus,259,1,dark,960.0,540.0,938.75,524.75,-0.30400572246065805,-0.21816881258941342,0,0,5.804145788732389,5.659621553034419
EyeLink 1000 Plus,259,1,dark,960.0,540.0,940.8,524.0,-0.27467811158798344,-0.22922636103151864,0,0,5.804145788732389,5.661303711357501
EyeLink 1000 Plus,259,1,dark,960.0,540.0,942.75,523.35,-0.24678111587982832,-0.23853868194842376,0,0,5.802505040773462,5.661303711357501
