frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l_px_x	pup_diam_l_px_y	pup_diam_r_px_x	pup_diam_r_px_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
0	32.43900000	0.31300000	-19.26300000	2.64000000	-0.08400000	-0.09250000	0.99220000	-28.90000000	2.36300000	-23.84000000	2.44000000	-0.02800000	-0.09120000	0.99540000	700.25000000	400.05000000	62.00000000	45.00000000	56.00000000	44.00000000	630.83000000	265.27000000	684.73000000	379.39000000
1	32.43900000	0.31300000	-19.26300000	2.64000000	-0.08440000	-0.09290000	0.99210000	-28.90000000	2.36300000	-23.84000000	2.44000000	-0.02770000	-0.09100000	0.99550000	700.36000000	400.35000000	64.00000000	45.00000000	60.00000000	44.00000000	631.37000000	265.81000000	684.42000000	379.07000000
1	32.43900000	0.31300000	-19.26300000	2.66000000	-0.08450000	-0.09400000	0.99200000	-28.90000000	2.36300000	-23.84000000	2.44000000	-0.02840000	-0.09130000	0.99540000	700.82000000	401.04000000	63.00000000	47.00000000	58.00000000	44.00000000	631.55000000	267.09000000	685.18000000	379.41000000
2	32.43900000	0.31200000	-19.26300000	2.66000000	-0.08430000	-0.09480000	0.99190000	-28.90000000	2.36200000	-23.84000000	2.44000000	-0.02850000	-0.09030000	0.99550000	700.73000000	400.95000000	63.00000000	46.00000000	58.00000000	44.00000000	631.23000000	268.15000000	685.33000000	378.24000000
3	32.43900000	0.31200000	-19.26300000	2.64000000	-0.08280000	-0.09480000	0.99200000	-28.90000000	2.36200000	-23.84000000	2.46000000	-0.02960000	-0.09150000	0.99540000	700.54000000	400.99000000	63.00000000	46.00000000	58.00000000	44.00000000	629.53000000	268.11000000	686.62000000	379.70000000
4	32.43900000	0.31200000	-19.26300000	2.64000000	-0.08410000	-0.09370000	0.99210000	-28.90000000	2.36200000	-23.84000000	2.44000000	-0.02940000	-0.09140000	0.99540000	701.14000000	400.56000000	63.00000000	47.00000000	58.00000000	44.00000000	630.97000000	266.71000000	686.38000000	379.57000000
4	32.43900000	0.31200000	-19.26300000	2.64000000	-0.08390000	-0.09310000	0.99210000	-28.90000000	2.36200000	-23.84000000	2.44000000	-0.02930000	-0.09020000	0.99550000	700.99000000	399.53000000	63.00000000	47.00000000	58.00000000	44.00000000	630.81000000	266.04000000	686.23000000	378.13000000
5	32.43900000	0.31200000	-19.26300000	2.66000000	-0.08330000	-0.09250000	0.99220000	-28.90000000	2.36200000	-23.84000000	2.44000000	-0.03020000	-0.09140000	0.99540000	701.15000000	399.49000000	63.00000000	47.00000000	58.00000000	44.00000000	630.11000000	265.35000000	687.23000000	379.53000000
6	32.43900000	0.31200000	-19.26300000	2.66000000	-0.08280000	-0.09370000	0.99220000	-28.90000000	2.36200000	-23.84000000	2.46000000	-0.03060000	-0.09120000	0.99540000	701.11000000	399.91000000	63.00000000	46.00000000	58.00000000	44.00000000	629.51000000	266.78000000	687.78000000	379.38000000
7	32.43900000	0.31200000	-19.26200000	2.62000000	-0.08260000	-0.09250000	0.99230000	-28.89900000	2.36200000	-23.84000000	2.46000000	-0.03150000	-0.09180000	0.99530000	701.52000000	399.21000000	63.00000000	45.00000000	58.00000000	44.00000000	629.24000000	265.28000000	688.83000000	380.08000000
8	32.43900000	0.31200000	-19.26200000	2.62000000	-0.08290000	-0.09230000	0.99230000	-28.89900000	2.36200000	-23.84000000	2.46000000	-0.02930000	-0.09110000	0.99540000	700.36000000	399.25000000	63.00000000	45.00000000	58.00000000	44.00000000	629.52000000	265.03000000	686.24000000	379.19000000
8	32.43900000	0.31200000	-19.26200000	2.64000000	-0.08270000	-0.09230000	0.99230000	-28.89900000	2.36200000	-23.84000000	2.50000000	-0.03060000	-0.09000000	0.99550000	701.05000000	398.31000000	63.00000000	45.00000000	58.00000000	44.00000000	629.38000000	265.07000000	687.75000000	377.90000000
9	32.43900000	0.31200000	-19.26200000	2.64000000	-0.08500000	-0.09330000	0.99200000	-28.89900000	2.36200000	-23.84000000	2.50000000	-0.02920000	-0.09170000	0.99540000	701.57000000	400.82000000	63.00000000	45.00000000	58.00000000	44.00000000	632.11000000	266.32000000	686.11000000	379.91000000
10	32.43900000	0.31200000	-19.26200000	2.66000000	-0.08400000	-0.09390000	0.99200000	-28.89900000	2.36200000	-23.84000000	2.52000000	-0.02970000	-0.08840000	0.99560000	701.28000000	398.99000000	64.00000000	46.00000000	60.00000000	44.00000000	630.87000000	266.98000000	686.76000000	376.12000000
11	32.43900000	0.31100000	-19.26200000	2.68000000	-0.08390000	-0.09260000	0.99220000	-28.89900000	2.36200000	-23.84000000	2.54000000	-0.02830000	-0.09030000	0.99550000	700.41000000	399.49000000	64.00000000	47.00000000	60.00000000	44.00000000	630.75000000	265.40000000	685.12000000	378.28000000
12	32.43900000	0.31100000	-19.26200000	2.70000000	-0.08430000	-0.09140000	0.99220000	-28.89900000	2.36200000	-23.84000000	2.54000000	-0.02810000	-0.08980000	0.99560000	700.55000000	398.66000000	64.00000000	47.00000000	60.00000000	44.00000000	631.28000000	263.99000000	684.87000000	377.73000000
12	32.44000000	0.31100000	-19.26200000	2.76000000	-0.08400000	-0.09060000	0.99240000	-28.89900000	2.36200000	-23.84000000	2.58000000	-0.03040000	-0.08770000	0.99570000	701.68000000	396.31000000	65.00000000	48.00000000	60.00000000	46.00000000	630.83000000	262.99000000	687.56000000	375.22000000
