segment,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y
1,1974,dark,657,480,506,432,802,408,514,549,813,526
1,1975,dark,658,480,506,432,802,408,514,549,813,526
1,1976,dark,656,480,506,432,802,408,514,549,813,526
1,1977,dark,657,479,505,432,802,408,514,549,812,526
1,1978,dark,656,480,506,432,802,408,514,549,813,526
1,1979,dark,803,405,658,481,813,526,519,484,1258,627
1,1980,dark,802,410,658,481,813,526,510,489,1267,635
1,1981,dark,657,480,506,432,819,484,514,548,1261,629
1,1982,dark,803,407,657,480,813,526,497,469,1266,634
1,1983,dark,656,481,506,432,802,408,514,548,813,526
1,1984,dark,656,481,506,432,802,408,514,549,813,526
1,1985,dark,655,480,506,432,802,408,514,549,813,526
1,1986,dark,656,479,506,432,802,408,514,549,813,526
1,1987,dark,656,479,506,432,799,445,514,548,1266,634
1,1988,dark,804,408,658,481,813,526,503,490,1266,637
1,1989,dark,803,410,658,481,813,526,490,478,1266,634
1,1990,dark,656,480,506,432,803,408,514,549,813,526
1,1991,dark,656,480,506,432,807,465,514,548,1264,633
1,1992,dark,656,480,506,432,802,408,514,549,813,526
1,1993,dark,656,480,506,432,802,408,514,549,813,526
1,1994,dark,655,480,506,432,802,408,514,549,813,526
1,1995,dark,802,409,657,480,812,526,509,489,1257,627
1,1996,dark,803,408,657,481,812,526,509,489,1265,637
1,1997,dark,803,408,657,481,813,526,509,489,1258,628
1,1998,dark,803,408,657,481,813,526,509,489,1265,634
1,1999,dark,656,480,506,432,802,408,514,549,813,526
1,2000,dark,658,479,506,432,802,408,514,549,813,526
1,2001,dark,658,480,506,432,802,408,514,549,812,526
1,2002,dark,657,480,506,432,802,409,514,549,813,526
1,2003,dark,803,408,657,481,812,526,528,486,1279,655
1,2004,dark,803,408,657,481,813,526,509,489,1258,628
1,2005,dark,802,406,657,481,813,526,500,491,1258,627
1,2006,dark,657,479,506,432,802,408,514,549,813,526
1,2007,dark,656,480,506,432,802,408,514,548,813,525
1,2008,dark,657,480,505,432,802,408,514,548,813,525
1,2009,dark,656,480,505,432,802,408,514,549,813,525
1,2010,dark,803,408,505,432,813,525,585,513,1258,627
1,2011,dark,656,480,505,432,807,465,514,549,1266,634
1,2012,dark,803,407,657,480,812,525,499,507,1258,626
1,2013,dark,657,479,505,432,802,407,514,548,813,525
1,2014,dark,657,480,506,432,802,408,514,548,813,525
1,2015,dark,656,479,506,432,803,407,514,548,813,525
1,2016,dark,655,479,506,431,802,407,514,547,813,524
1,2017,dark,657,477,506,431,802,407,514,547,813,524
1,2018,dark,801,407,658,479,813,524,508,488,1258,626
1,2019,dark,801,405,658,479,813,524,497,468,1258,626
1,2020,dark,657,479,506,431,802,407,514,547,812,524
1,2021,dark,657,479,505,431,802,407,514,547,813,524
1,2022,dark,657,477,505,431,802,407,514,547,813,524
1,2023,dark,657,478,506,431,802,407,514,547,813,524
1,2024,dark,657,478,506,430,802,406,514,547,813,524
1,2025,dark,658,478,506,431,803,406,514,547,813,524
1,2026,dark,657,477,506,430,803,406,514,547,813,524
1,2027,dark,655,476,506,430,803,406,514,546,813,524
1,2028,dark,657,476,506,430,803,406,514,546,813,524
1,2029,dark,657,477,506,430,803,405,514,546,813,523
1,2030,dark,657,476,506,430,803,406,514,546,813,524
1,2031,dark,657,478,506,430,803,406,514,546,813,524
1,2032,dark,658,477,506,430,803,405,514,546,813,523
1,2033,dark,657,476,506,429,803,405,514,546,813,523
1,2034,dark,656,476,506,429,802,405,514,546,813,522
1,2035,dark,804,405,657,478,813,523,509,486,1279,651
1,2036,dark,657,478,505,430,802,406,514,546,813,523
1,2037,dark,656,477,505,430,802,405,514,546,812,523
1,2038,dark,657,477,505,430,802,406,514,546,812,523
1,2039,dark,656,478,505,430,802,406,514,546,812,523
1,2040,dark,656,477,505,430,802,406,514,547,813,523
1,2041,dark,656,477,505,430,802,406,514,547,813,523
