frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l_px_x	pup_diam_l_px_y	pup_diam_r_px_x	pup_diam_r_px_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
0	31.42600000	4.06900000	-22.94900000	2.14000000	-0.03800000	-0.01610000	0.99920000	-31.75100000	3.65000000	-24.14100000	2.18000000	0.00080000	-0.02300000	0.99970000	658.26000000	309.15000000	49.00000000	33.00000000	48.00000000	34.00000000	716.04000000	250.86000000	637.34000000	269.79000000
1	31.42600000	4.06900000	-22.94900000	2.10000000	-0.03850000	-0.01480000	0.99920000	-31.75100000	3.65000000	-24.14100000	2.18000000	0.00170000	-0.02070000	0.99980000	657.97000000	307.26000000	49.00000000	33.00000000	48.00000000	34.00000000	716.57000000	249.38000000	636.22000000	267.13000000
2	31.42600000	4.06900000	-22.94900000	2.12000000	-0.03840000	-0.01680000	0.99910000	-31.75100000	3.65000000	-24.14100000	2.18000000	0.00010000	-0.02020000	0.99980000	658.86000000	307.81000000	49.00000000	33.00000000	48.00000000	34.00000000	716.45000000	251.81000000	638.18000000	266.50000000
2	31.42600000	4.06900000	-22.94900000	2.08000000	-0.03840000	-0.01490000	0.99920000	-31.75100000	3.65000000	-24.14100000	2.18000000	-0.00010000	-0.02050000	0.99980000	659.00000000	306.87000000	49.00000000	33.00000000	48.00000000	34.00000000	716.50000000	249.45000000	638.41000000	266.84000000
3	31.42600000	4.06900000	-22.94900000	2.14000000	-0.03670000	-0.01460000	0.99920000	-31.75100000	3.65000000	-24.14100000	2.18000000	0.00030000	-0.02070000	0.99980000	657.72000000	306.69000000	49.00000000	33.00000000	48.00000000	34.00000000	714.48000000	249.14000000	637.88000000	267.09000000
4	31.42600000	4.06900000	-22.94900000	2.14000000	-0.03800000	-0.01370000	0.99920000	-31.75100000	3.65000000	-24.14100000	2.18000000	-0.00060000	-0.02020000	0.99980000	659.04000000	305.94000000	49.00000000	33.00000000	48.00000000	34.00000000	716.11000000	248.04000000	638.92000000	266.49000000
5	31.42600000	4.06900000	-22.94900000	2.18000000	-0.03580000	-0.01420000	0.99930000	-31.75100000	3.65000000	-24.14100000	2.20000000	-0.00060000	-0.02130000	0.99980000	657.72000000	306.60000000	49.00000000	33.00000000	48.00000000	34.00000000	713.44000000	248.60000000	638.96000000	267.81000000
5	31.42600000	4.06900000	-22.94900000	2.18000000	-0.03730000	-0.01450000	0.99920000	-31.75100000	3.65000000	-24.14100000	2.20000000	-0.00050000	-0.02150000	0.99980000	658.55000000	307.13000000	49.00000000	33.00000000	48.00000000	34.00000000	715.16000000	249.00000000	638.87000000	268.09000000
7	31.42600000	4.06900000	-22.94900000	2.18000000	-0.03590000	-0.01140000	0.99930000	-31.75100000	3.65000000	-24.14100000	2.20000000	0.00010000	-0.02160000	0.99980000	657.38000000	305.47000000	49.00000000	33.00000000	48.00000000	34.00000000	713.57000000	245.26000000	638.10000000	268.19000000
7	31.42600000	4.06900000	-22.94900000	2.20000000	-0.03590000	-0.01400000	0.99930000	-31.75100000	3.65000000	-24.14100000	2.22000000	-0.00010000	-0.02240000	0.99980000	657.53000000	307.28000000	50.00000000	33.00000000	50.00000000	34.00000000	713.59000000	248.43000000	638.38000000	269.05000000
8	31.42600000	4.06900000	-22.94900000	2.20000000	-0.03650000	-0.01340000	0.99930000	-31.75100000	3.65000000	-24.14100000	2.24000000	0.00090000	-0.02220000	0.99980000	657.27000000	307.04000000	50.00000000	33.00000000	50.00000000	34.00000000	714.21000000	247.70000000	637.21000000	268.84000000
9	31.42600000	4.06900000	-22.94900000	2.22000000	-0.03410000	-0.01500000	0.99930000	-31.75100000	3.65000000	-24.14100000	2.26000000	0.00090000	-0.02350000	0.99970000	655.87000000	308.41000000	52.00000000	33.00000000	52.00000000	34.00000000	711.45000000	249.57000000	637.19000000	270.41000000
10	31.42600000	4.06900000	-22.94900000	2.20000000	-0.03550000	-0.01380000	0.99930000	-31.75100000	3.65000000	-24.14100000	2.30000000	0.00020000	-0.02510000	0.99970000	657.13000000	308.99000000	53.00000000	34.00000000	52.00000000	36.00000000	713.10000000	248.20000000	638.04000000	272.32000000
11	31.42600000	4.06900000	-22.94900000	2.22000000	-0.03460000	-0.01570000	0.99930000	-31.75100000	3.65000000	-24.14100000	2.32000000	-0.00010000	-0.02460000	0.99970000	656.73000000	309.42000000	53.00000000	35.00000000	52.00000000	36.00000000	712.03000000	250.40000000	638.34000000	271.70000000
11	31.42600000	4.06900000	-22.94900000	2.24000000	-0.03560000	-0.01590000	0.99920000	-31.75100000	3.65000000	-24.14100000	2.32000000	0.00070000	-0.02480000	0.99970000	656.88000000	309.92000000	53.00000000	35.00000000	52.00000000	36.00000000	713.16000000	250.74000000	637.49000000	271.94000000
12	31.42600000	4.06900000	-22.94900000	2.26000000	-0.03700000	-0.01740000	0.99920000	-31.75100000	3.65000000	-24.14100000	2.36000000	-0.00060000	-0.02650000	0.99970000	658.47000000	311.90000000	53.00000000	35.00000000	52.00000000	36.00000000	714.85000000	252.56000000	638.99000000	274.06000000
13	31.42600000	4.06900000	-22.94900000	2.26000000	-0.03630000	-0.01860000	0.99920000	-31.75100000	3.65000000	-24.14100000	2.36000000	-0.00070000	-0.02640000	0.99970000	658.11000000	312.29000000	53.00000000	35.00000000	52.00000000	36.00000000	713.99000000	253.93000000	639.14000000	273.89000000
14	31.42600000	4.06900000	-22.94900000	2.30000000	-0.03620000	-0.02000000	0.99910000	-31.75100000	3.65000000	-24.14100000	2.36000000	-0.00060000	-0.02750000	0.99960000	657.99000000	313.77000000	53.00000000	35.00000000	52.00000000	36.00000000	713.87000000	255.65000000	639.01000000	275.22000000
14	31.42600000	4.06900000	-22.94900000	2.30000000	-0.03700000	-0.02170000	0.99910000	-31.75100000	3.65000000	-24.14100000	2.38000000	0.00030000	-0.02710000	0.99960000	657.90000000	314.64000000	53.00000000	35.00000000	52.00000000	36.00000000	714.72000000	257.71000000	637.95000000	274.70000000
15	31.42600000	4.06900000	-22.94900000	2.32000000	-0.03710000	-0.02100000	0.99910000	-31.75100000	3.65000000	-24.14100000	2.38000000	0.00000000	-0.02720000	0.99960000	658.16000000	314.27000000	53.00000000	35.00000000	52.00000000	36.00000000	714.94000000	256.82000000	638.27000000	274.80000000
16	31.42600000	4.06900000	-22.94900000	2.32000000	-0.03740000	-0.02170000	0.99910000	-31.75100000	3.65000000	-24.14100000	2.38000000	-0.00020000	-0.02810000	0.99960000	658.44000000	315.25000000	53.00000000	35.00000000	52.00000000	36.00000000	715.25000000	257.67000000	638.52000000	275.89000000
17	31.42600000	4.06900000	-22.94900000	2.36000000	-0.03830000	-0.02270000	0.99900000	-31.75100000	3.65000000	-24.14100000	2.38000000	-0.00070000	-0.02930000	0.99960000	659.24000000	316.65000000	53.00000000	35.00000000	52.00000000	36.00000000	716.28000000	258.91000000	639.08000000	277.37000000
18	31.42600000	4.06900000	-22.94900000	2.38000000	-0.03800000	-0.02190000	0.99900000	-31.75100000	3.65000000	-24.14100000	2.38000000	-0.00060000	-0.02790000	0.99960000	659.01000000	315.30000000	53.00000000	35.00000000	52.00000000	36.00000000	715.96000000	257.88000000	638.94000000	275.74000000
18	31.42600000	4.06900000	-22.94900000	2.38000000	-0.03720000	-0.02050000	0.99910000	-31.75100000	3.65000000	-24.14100000	2.38000000	-0.00170000	-0.02840000	0.99960000	659.15000000	314.54000000	54.00000000	35.00000000	52.00000000	36.00000000	715.00000000	256.18000000	640.22000000	276.23000000
19	31.42600000	4.06900000	-22.94900000	2.32000000	-0.03830000	-0.01890000	0.99910000	-31.75100000	3.65000000	-24.14100000	2.40000000	-0.00240000	-0.02890000	0.99960000	660.29000000	314.18000000	55.00000000	35.00000000	54.00000000	36.00000000	716.36000000	254.32000000	641.15000000	276.94000000
20	31.42600000	4.06900000	-22.94900000	2.36000000	-0.03940000	-0.01940000	0.99900000	-31.75100000	3.65000000	-24.14100000	2.42000000	-0.00110000	-0.02760000	0.99960000	660.17000000	313.89000000	56.00000000	36.00000000	56.00000000	38.00000000	717.62000000	254.94000000	639.62000000	275.34000000
21	31.42600000	4.06900000	-22.94900000	2.38000000	-0.04070000	-0.02030000	0.99900000	-31.75100000	3.65000000	-24.14100000	2.44000000	-0.00260000	-0.03030000	0.99950000	661.85000000	316.12000000	56.00000000	37.00000000	56.00000000	40.00000000	719.21000000	256.02000000	641.39000000	278.57000000
