frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l_px_x	pup_diam_l_px_y	pup_diam_r_px_x	pup_diam_r_px_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
0	35.18600000	-1.09900000	-17.72600000	2.58000000	0.04120000	-0.29970000	0.95320000	-33.82200000	-0.96900000	-18.17500000	2.56000000	0.08250000	-0.30380000	0.94920000	564.41000000	646.42000000	75.00000000	65.00000000	76.00000000	64.00000000	451.14000000	584.56000000	663.04000000	572.17000000
1	35.18600000	-1.09900000	-17.72500000	2.58000000	0.04170000	-0.29870000	0.95350000	-33.82200000	-0.96900000	-18.17500000	2.54000000	0.08170000	-0.30440000	0.94900000	564.64000000	645.92000000	75.00000000	65.00000000	76.00000000	64.00000000	450.60000000	583.33000000	663.92000000	572.91000000
2	35.18500000	-1.10000000	-17.72400000	2.58000000	0.04300000	-0.29920000	0.95320000	-33.82200000	-0.96900000	-18.17400000	2.54000000	0.08250000	-0.30240000	0.94960000	563.47000000	644.58000000	75.00000000	65.00000000	76.00000000	64.00000000	449.00000000	584.11000000	663.08000000	570.43000000
2	35.18400000	-1.10000000	-17.72300000	2.56000000	0.04330000	-0.29720000	0.95380000	-33.82200000	-0.96900000	-18.17400000	2.48000000	0.08210000	-0.30200000	0.94980000	563.59000000	643.04000000	74.00000000	64.00000000	74.00000000	62.00000000	448.64000000	581.63000000	663.61000000	570.04000000
3	35.18300000	-1.10100000	-17.72300000	2.54000000	0.04230000	-0.29730000	0.95380000	-33.82200000	-0.96900000	-18.17400000	2.44000000	0.08110000	-0.30380000	0.94930000	564.70000000	644.40000000	73.00000000	64.00000000	74.00000000	62.00000000	449.85000000	581.76000000	664.68000000	572.16000000
4	35.18200000	-1.10200000	-17.72200000	2.56000000	0.04180000	-0.29750000	0.95380000	-33.82200000	-0.96800000	-18.17300000	2.50000000	0.08200000	-0.30340000	0.94930000	564.43000000	644.62000000	74.00000000	65.00000000	74.00000000	64.00000000	450.42000000	581.92000000	663.67000000	571.64000000
5	35.18200000	-1.10200000	-17.72200000	2.50000000	0.04060000	-0.29810000	0.95370000	-33.82200000	-0.96800000	-18.17300000	2.44000000	0.08120000	-0.30490000	0.94890000	565.53000000	646.15000000	72.00000000	63.00000000	72.00000000	62.00000000	451.86000000	582.57000000	664.51000000	573.46000000
5	35.18200000	-1.10200000	-17.72200000	2.48000000	0.04080000	-0.29880000	0.95350000	-33.82200000	-0.96800000	-18.17200000	2.42000000	0.08150000	-0.30440000	0.94910000	565.30000000	646.17000000	72.00000000	63.00000000	72.00000000	62.00000000	451.71000000	583.42000000	664.21000000	572.88000000
6	35.18200000	-1.10200000	-17.72200000	2.48000000	0.04020000	-0.30030000	0.95300000	-33.82200000	-0.96800000	-18.17200000	2.46000000	0.08170000	-0.30400000	0.94920000	565.51000000	646.92000000	73.00000000	63.00000000	74.00000000	62.00000000	452.41000000	585.25000000	664.02000000	572.40000000
7	35.18200000	-1.10200000	-17.72200000	2.48000000	0.04450000	-0.29710000	0.95380000	-33.82200000	-0.96800000	-18.17200000	2.46000000	0.08680000	-0.30220000	0.94930000	559.97000000	644.41000000	73.00000000	63.00000000	74.00000000	62.00000000	447.24000000	581.50000000	657.99000000	570.22000000
8	35.18200000	-1.10200000	-17.72200000	2.48000000	0.04890000	-0.28540000	0.95720000	-33.82200000	-0.96800000	-18.17100000	2.46000000	0.09120000	-0.28940000	0.95290000	554.88000000	629.36000000	73.00000000	63.00000000	74.00000000	62.00000000	441.67000000	567.41000000	653.20000000	554.78000000
9	35.18200000	-1.10200000	-17.72200000	2.52000000	0.05020000	-0.28420000	0.95740000	-33.82200000	-0.96800000	-18.17100000	2.48000000	0.09250000	-0.28980000	0.95260000	553.34000000	629.09000000	73.00000000	64.00000000	74.00000000	64.00000000	440.08000000	566.09000000	651.67000000	555.24000000
10	35.18200000	-1.10200000	-17.72200000	2.50000000	0.04940000	-0.28600000	0.95700000	-33.82200000	-0.96800000	-18.17100000	2.42000000	0.09090000	-0.29110000	0.95240000	554.79000000	630.63000000	72.00000000	62.00000000	72.00000000	60.00000000	441.11000000	568.19000000	653.50000000	556.83000000
