eye_tracker,participant_id,trial_number,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,pup_diam_l,pup_diam_r,gaze_x,gaze_y
SMI ETG,259,1,403,dilated,575.9342651367188,643.1405029296875,375.49517822265625,550.1541748046875,783.0573120117188,574.0582275390625,357.04205322265625,717.8033447265625,779.200439453125,738.4852905273438,4.66,4.72,534.0949096679688,686.251220703125
SMI ETG,259,1,403,dilated,575.9342651367188,643.1405029296875,375.49517822265625,550.1541748046875,783.0573120117188,574.0582275390625,357.04205322265625,717.8033447265625,779.200439453125,738.4852905273438,4.62,4.7,537.01171875,685.1744384765625
SMI ETG,259,1,404,dilated,575.9342651367188,643.1405029296875,376.500244140625,550.1531982421875,783.0573120117188,574.0582275390625,358.04583740234375,718.8059692382812,780.2040405273438,739.491455078125,4.68,4.72,533.4334106445312,686.4325561523438
SMI ETG,259,1,405,dilated,575.9342651367188,643.1405029296875,375.4981384277344,551.1558837890625,783.0578002929688,575.0603637695312,357.0479431152344,717.8007202148438,779.2029418945312,739.4920654296875,4.64,4.62,567.4125366210938,686.1275024414062
SMI ETG,259,1,405,dilated,575.9342651367188,643.1405029296875,375.4981384277344,551.1558837890625,783.0578002929688,575.0603637695312,357.0479431152344,717.8007202148438,779.2029418945312,739.4920654296875,4.66,4.72,561.9766235351562,683.453857421875
SMI ETG,259,1,406,dilated,575.9342651367188,643.1405029296875,375.4981384277344,551.1558837890625,783.0572509765625,574.0593872070312,357.04473876953125,718.8065795898438,779.2029418945312,739.4920654296875,4.64,4.64,565.7010498046875,684.8048095703125
SMI ETG,259,1,407,dilated,575.9342651367188,643.1405029296875,375.4991455078125,550.15380859375,782.0562133789062,574.058837890625,357.0511169433594,716.794921875,779.2029418945312,739.4920654296875,4.64,4.72,562.3336791992188,687.446044921875
SMI ETG,259,1,408,dilated,575.9342651367188,643.1405029296875,376.5012512207031,549.151123046875,782.0557861328125,573.0567016601562,358.0490417480469,717.8001098632812,779.2017211914062,739.4901123046875,4.62,4.66,565.7304077148438,685.1762084960938
SMI ETG,259,1,409,dilated,575.9342651367188,643.1405029296875,377.50128173828125,550.152587890625,784.058349609375,574.0576171875,358.0430908203125,717.802734375,781.205078125,739.4908447265625,4.64,4.76,563.8473510742188,684.796875
SMI ETG,259,1,410,dilated,575.9342651367188,643.1405029296875,376.500244140625,550.1531982421875,782.0568237304688,575.0586547851562,357.04205322265625,717.8033447265625,779.2017211914062,739.4901123046875,4.64,4.64,566.994140625,682.9583129882812
SMI ETG,259,1,410,dilated,575.9342651367188,643.1405029296875,376.500244140625,550.1531982421875,782.0568237304688,575.0586547851562,357.04205322265625,717.8033447265625,779.2017211914062,739.4901123046875,4.6,4.68,565.6484985351562,687.2227172851562
SMI ETG,259,1,411,dilated,575.9342651367188,643.1405029296875,376.500244140625,550.1531982421875,782.0568237304688,575.0586547851562,357.04205322265625,717.8033447265625,780.2040405273438,739.491455078125,4.64,4.72,564.1475830078125,685.6591186523438
SMI ETG,259,1,412,dilated,575.9342651367188,643.1405029296875,376.500244140625,550.1531982421875,783.0573120117188,574.0582275390625,357.04205322265625,717.8033447265625,780.2040405273438,739.491455078125,4.64,4.74,561.9238891601562,685.9017944335938
SMI ETG,259,1,413,dilated,575.9342651367188,643.1405029296875,375.49517822265625,550.1541748046875,783.0573120117188,574.0582275390625,358.04583740234375,718.8059692382812,780.2040405273438,739.491455078125,4.62,4.74,561.9430541992188,686.8648071289062
SMI ETG,259,1,414,dilated,575.9342651367188,643.1405029296875,375.49517822265625,550.1541748046875,783.0573120117188,574.0582275390625,358.0490417480469,717.8001098632812,779.2017211914062,739.4901123046875,4.62,4.66,565.9893798828125,686.8110961914062
SMI ETG,259,1,414,dilated,575.9342651367188,643.1405029296875,375.49517822265625,550.1541748046875,783.0573120117188,574.0582275390625,358.0490417480469,717.8001098632812,779.2017211914062,739.4901123046875,4.62,4.74,562.5310668945312,690.1749877929688
SMI ETG,259,1,415,dilated,575.9342651367188,643.1405029296875,376.5008544921875,549.151123046875,783.0579223632812,573.05615234375,358.0496520996094,716.7980346679688,779.2036743164062,739.492919921875,4.62,4.76,561.2598876953125,688.873046875
SMI ETG,259,1,416,dilated,575.9342651367188,643.1405029296875,376.4998474121094,550.1531982421875,782.0569458007812,573.0556030273438,358.04644775390625,717.8038940429688,780.2059326171875,739.4942626953125,4.62,4.76,561.882080078125,687.5582275390625
SMI ETG,259,1,417,dilated,575.9342651367188,643.1405029296875,376.500244140625,550.1531982421875,782.0563354492188,574.0576782226562,358.04583740234375,718.8059692382812,779.2017211914062,739.4901123046875,4.62,4.76,561.7698974609375,690.12548828125
SMI ETG,259,1,418,dilated,575.9342651367188,643.1405029296875,375.49517822265625,550.1541748046875,782.0568237304688,575.0586547851562,357.0388488769531,718.8092041015625,778.2007446289062,740.4937133789062,4.62,4.76,562.1318969726562,688.4798583984375
SMI ETG,259,1,419,dilated,575.9342651367188,643.1405029296875,375.4941711425781,551.1563110351562,782.0568237304688,575.0586547851562,358.04583740234375,718.8059692382812,780.2040405273438,739.491455078125,4.62,4.68,564.0031127929688,690.4244995117188
SMI ETG,259,1,420,dilated,575.9342651367188,643.1405029296875,375.4947814941406,550.1542358398438,782.0574340820312,574.0565795898438,357.0394592285156,717.80712890625,779.2023315429688,738.488037109375,4.54,4.72,564.2952880859375,688.1981201171875
