eye_tracker,frame,trial_condition,segment,target_x,target_y,gaze_pos_vid_x,gaze_pos_vid_y,pup_diam_l,pup_diam_r,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_target_angle
Pupil Neon,523,dilated,1,730,676,744.195,708.487,4.88742495,4.91231298,-31.64875412,14.59613037,-32.68162155,31.50187492,13.78734589,-31.42132568,-0.18798345,0.14495465,0.97141671,0.02354844,0.13317086,0.99081331,2.2882826052989778
Pupil Neon,524,dilated,1,731,676,744.396,705.5,4.89726305,4.91851664,-31.67299652,14.59949493,-32.70502853,31.47779465,13.8127594,-31.4112072,-0.1882102,0.14422873,0.97148085,0.02466946,0.1324233,0.99088621,2.0912982658897286
Pupil Neon,524,dilated,1,731,676,744.347,705.804,4.89339447,4.90481901,-31.64881897,14.63217926,-32.69202423,31.5042305,13.83258057,-31.43550682,-0.1890129,0.1411714,0.97177404,0.02420692,0.12985231,0.99123782,2.1078809238626572
Pupil Neon,524,dilated,1,731,676,742.68,706.101,4.89328194,4.8997426,-31.64621735,14.64409256,-32.69837952,31.50808334,13.84738922,-31.409935,-0.1900243,0.14038053,0.97169137,0.02239685,0.12880225,0.99141741,2.0841057858127594
Pupil Neon,524,dilated,1,731,676,741.605,705.783,4.89237499,4.89307594,-31.63891602,14.65476608,-32.70129013,31.51408768,13.86606216,-31.41115761,-0.1906192,0.13995503,0.97163624,0.0206648,0.12823327,0.99152875,2.0406884176434255
Pupil Neon,524,dilated,1,731,676,741.424,702.201,4.88900375,4.89768648,-31.66254425,14.62767792,-32.71578217,31.49230003,13.83300781,-31.42458153,-0.19039971,0.14170788,0.97142518,0.02406123,0.13003433,0.99121749,1.8202184503150969
Pupil Neon,524,dilated,1,731,676,742.942,702.0,4.88904524,4.89298868,-31.66612244,14.60356903,-32.72124481,31.48682594,13.82594299,-31.41806602,-0.19089812,0.14337356,0.97108287,0.02447525,0.13170746,0.99098647,1.846865164276236
Pupil Neon,524,dilated,1,731,676,742.427,702.504,4.87958336,4.90294647,-31.64506531,14.63938904,-32.70274734,31.50901031,13.82598114,-31.44630814,-0.18966931,0.14175247,0.97156155,0.02632998,0.12990454,0.99117684,1.8630646352568718
Pupil Neon,525,dilated,1,731,676,742.308,701.609,4.88760853,4.90312576,-31.64086914,14.65068054,-32.72881317,31.51140022,13.82156754,-31.43582916,-0.19201459,0.14095707,0.9712165,0.02261319,0.12929934,0.99134773,1.8070537762536425
Pupil Neon,525,dilated,1,731,676,742.189,700.572,4.88443708,4.90898752,-31.65950394,14.62856293,-32.71152496,31.49322128,13.80235672,-31.4453907,-0.18890719,0.1421714,0.97164881,0.02498185,0.13042036,0.991144,1.7428448996577806
Pupil Neon,525,dilated,1,731,676,744.204,699.46,4.87389374,4.90236139,-31.61726379,14.61397171,-32.64374924,31.53359604,13.78656006,-31.44857788,-0.18670796,0.14421481,0.97177273,0.0225246,0.13263328,0.99090922,1.7377566127132629
Pupil Neon,525,dilated,1,731,676,742.904,703.89,4.86818409,4.90514326,-31.59246063,14.68136597,-32.66252518,31.55731583,13.86331558,-31.46931076,-0.18812445,0.13715418,0.97252142,0.02162064,0.12561508,0.99184346,1.9573999671379858
Pupil Neon,525,dilated,1,731,676,743.507,704.715,4.8777113,4.89687204,-31.64118958,14.6749649,-32.6812439,31.51065636,13.86752701,-31.45019341,-0.1868798,0.13790503,0.97265524,0.02363327,0.12610966,0.9917348,2.021695710866293
Pupil Neon,525,dilated,1,731,676,743.033,702.689,4.88256407,4.89187574,-31.67358398,14.66401672,-32.69872284,31.47870064,13.86597443,-31.44511604,-0.1850647,0.13729906,0.97308791,0.02507422,0.12553571,0.99177217,1.889768557801053
Pupil Neon,525,dilated,1,731,676,744.537,702.497,4.87460279,4.8976016,-31.64583206,14.67494202,-32.67323303,31.5045948,13.84887695,-31.46130371,-0.18647194,0.1382473,0.97268492,0.02499341,0.12681042,0.99161208,1.920652711395085
Pupil Neon,526,dilated,1,731,676,744.587,703.445,4.86794949,4.8944931,-31.65027618,14.62155151,-32.65348434,31.49789429,13.79196548,-31.44979858,-0.18508686,0.14292322,0.97227353,0.0245446,0.13123947,0.99104679,1.976756315668281
