frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l_px_x	pup_diam_l_px_y	pup_diam_r_px_x	pup_diam_r_px_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
0	30.40400000	0.78600000	-17.07300000	3.84000000	-0.03770000	-0.19990000	0.97910000	-29.66600000	2.96200000	-19.94600000	3.04000000	0.02230000	-0.17280000	0.98470000	645.26000000	515.74000000	89.00000000	63.00000000	76.00000000	54.00000000	485.35000000	295.83000000	623.15000000	327.86000000
1	30.40700000	0.78600000	-17.07200000	3.90000000	-0.03650000	-0.19960000	0.97920000	-29.66600000	2.96200000	-19.94600000	2.98000000	0.02370000	-0.16700000	0.98570000	643.71000000	513.81000000	90.00000000	64.00000000	76.00000000	52.00000000	483.86000000	295.44000000	621.54000000	320.96000000
1	30.40900000	0.78500000	-17.07000000	3.86000000	-0.03620000	-0.20110000	0.97890000	-29.66600000	2.96200000	-19.94500000	2.64000000	0.04020000	-0.14800000	0.98820000	633.34000000	514.17000000	87.00000000	58.00000000	70.00000000	44.00000000	483.53000000	297.36000000	601.88000000	298.17000000
2	30.41100000	0.78400000	-17.06800000	3.92000000	-0.03600000	-0.20100000	0.97890000	-29.66500000	2.96200000	-19.94500000	2.98000000	0.02530000	-0.16630000	0.98580000	642.43000000	515.21000000	89.00000000	64.00000000	74.00000000	52.00000000	483.28000000	297.19000000	619.63000000	320.10000000
3	30.41400000	0.78400000	-17.06700000	3.92000000	-0.03430000	-0.20190000	0.97880000	-29.66500000	2.96200000	-19.94400000	2.70000000	0.04010000	-0.14960000	0.98790000	632.33000000	514.94000000	87.00000000	60.00000000	70.00000000	46.00000000	481.31000000	298.27000000	602.06000000	300.18000000
4	30.41900000	0.78000000	-17.06400000	3.86000000	-0.03350000	-0.20180000	0.97890000	-29.66500000	2.96300000	-19.94400000	2.98000000	0.02570000	-0.16730000	0.98560000	640.77000000	515.80000000	89.00000000	62.00000000	76.00000000	52.00000000	480.35000000	298.16000000	619.19000000	321.26000000
5	30.42400000	0.77600000	-17.06100000	3.84000000	-0.03340000	-0.19990000	0.97920000	-29.66500000	2.96300000	-19.94400000	3.02000000	0.02570000	-0.17240000	0.98470000	640.70000000	515.43000000	88.00000000	63.00000000	74.00000000	54.00000000	480.06000000	295.91000000	619.16000000	327.42000000
6	30.42900000	0.77200000	-17.05800000	3.90000000	-0.03580000	-0.20070000	0.97900000	-29.66500000	2.96300000	-19.94300000	2.98000000	0.02620000	-0.16060000	0.98670000	641.68000000	513.80000000	90.00000000	62.00000000	76.00000000	48.00000000	482.99000000	296.85000000	618.53000000	313.29000000
6	30.43300000	0.76800000	-17.05400000	3.96000000	-0.03790000	-0.20100000	0.97890000	-29.66400000	2.96300000	-19.94300000	3.02000000	0.02370000	-0.16470000	0.98610000	644.46000000	514.90000000	91.00000000	64.00000000	78.00000000	52.00000000	485.59000000	297.21000000	621.49000000	318.12000000
7	30.43800000	0.76300000	-17.05100000	3.82000000	-0.03440000	-0.20560000	0.97800000	-29.66400000	2.96300000	-19.94200000	3.40000000	0.01350000	-0.18300000	0.98300000	648.52000000	521.20000000	93.00000000	67.00000000	84.00000000	60.00000000	481.59000000	302.79000000	633.53000000	339.99000000
8	30.43800000	0.76300000	-17.05100000	4.00000000	-0.03550000	-0.21530000	0.97590000	-29.66400000	2.96300000	-19.94200000	3.44000000	0.00430000	-0.18900000	0.98200000	654.57000000	530.35000000	95.00000000	69.00000000	84.00000000	62.00000000	483.30000000	314.58000000	644.45000000	347.18000000
