eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,confidence,gaze_target_angle
Pupil Core,1917,dilated,1,634,288,66100.10946452,-40.44227904,15.30984319,-19.1980528,,0.14788718,-0.22336242,0.9634514,20.19572895,15.44097232,-19.5358506,3.36867849,-0.00293551,-0.18934446,0.98190634,673.23601951,255.50662837,19.03404232,-67.20277366,369.87879106,0.99838716,3.695910238690297
Pupil Core,1917,dilated,1,634,288,66104.11146452,-40.44227904,15.30984319,-19.1980528,,0.1513442,-0.22699745,0.96206398,20.19572895,15.44097232,-19.5358506,,-0.00293551,-0.18934446,0.98190634,674.2958179,254.48321686,19.06125668,-66.04429603,360.79605301,1.0,3.8029556482894322
Pupil Core,1917,dilated,1,634,288,66108.12396452,-40.44227904,15.30984319,-19.1980528,3.7722963,0.1513442,-0.22699745,0.96206398,20.19572895,15.44097232,-19.5358506,,-0.00340891,-0.18700214,0.98235359,674.03679771,255.55114846,18.88154298,-65.34253959,359.73898578,1.0,3.7384836999375417
Pupil Core,1917,dilated,1,634,288,66112.23546452,-40.44227904,15.30984319,-19.1980528,3.7722963,0.1532092,-0.22925752,0.96123251,20.19572895,15.44097232,-19.5358506,3.33437504,-0.00340891,-0.18700214,0.98235359,674.6110069,254.86956395,18.89791567,-64.80646836,355.0164137,1.0,3.8023567904375017
Pupil Core,1917,dilated,1,634,288,66116.24196452,-40.44227904,15.30984319,-19.1980528,3.74670733,0.1532092,-0.22925752,0.96123251,20.19572895,15.44097232,-19.5358506,3.33437504,-0.00289125,-0.18471587,0.98278771,674.89253202,255.7609523,19.09312432,-64.62884227,356.33400036,1.0,3.7770043025605897
Pupil Core,1918,dilated,1,633,289,66120.20146452,-40.44227904,15.30984319,-19.1980528,3.74670733,0.15327668,-0.2244908,0.96234616,20.19572895,15.44097232,-19.5358506,3.30089787,-0.00289125,-0.18471587,0.98278771,674.90525032,257.8149272,19.09285832,-63.67102308,356.37524027,1.0,3.7870347016467845
Pupil Core,1918,dilated,1,633,289,66124.16696452,-40.44227904,15.30984319,-19.1980528,3.76204179,0.15327668,-0.2244908,0.96234616,20.19572895,15.44097232,-19.5358506,3.30089787,-0.00343574,-0.18391095,0.9829369,674.60802311,258.24184775,18.8883152,-63.2449096,355.11501443,1.0,3.751036670315078
Pupil Core,1918,dilated,1,633,289,66128.13546452,-40.44227904,15.30984319,-19.1980528,3.76204179,0.1522954,-0.22105831,0.96329608,20.19572895,15.44097232,-19.5358506,3.34600225,-0.00343574,-0.18391095,0.9829369,674.30223823,259.5595875,18.87932119,-63.07967824,357.67942618,1.0,3.6760210530768727
Pupil Core,1918,dilated,1,633,289,66132.18296452,-40.44227904,15.30984319,-19.1980528,3.80110213,0.1522954,-0.22105831,0.96329608,20.19572895,15.44097232,-19.5358506,3.34600225,-0.00466237,-0.18606205,0.98252693,673.63387278,258.83722213,18.4199908,-62.88558826,354.68057256,1.0,3.668425032014412
Pupil Core,1918,dilated,1,633,289,66136.30996452,-40.44227904,15.30984319,-19.1980528,3.80110213,0.1508559,-0.22375417,0.96290008,20.19572895,15.44097232,-19.5358506,3.33428507,-0.00466237,-0.18606205,0.98252693,673.19833175,257.45875472,18.40359609,-64.14267768,358.11186081,0.9907912,3.7052053653190886
