eye_tracker,participant_id,trial_number,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,pup_diam_l,pup_diam_r,gaze_x,gaze_y
Pupil Core,397,1,1899,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.7784423828125,348.0985412597656,3.74654677,,676.7708740234375,255.51129150390625
Pupil Core,397,1,1899,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.7784423828125,348.0985412597656,3.74654677,,676.0936279296875,255.75831604003906
Pupil Core,397,1,1899,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.7784423828125,348.0985412597656,,,676.2454833984375,256.0788879394531
Pupil Core,397,1,1899,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.7784423828125,348.0985412597656,,3.27348472,677.3311767578125,257.3409423828125
Pupil Core,397,1,1899,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.7784423828125,348.0985412597656,,3.27348472,677.2120971679688,258.38470458984375
Pupil Core,397,1,1899,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.7784423828125,348.0985412597656,,3.29077313,676.9022827148438,258.2732238769531
Pupil Core,397,1,1899,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.7784423828125,348.0985412597656,3.72114751,3.29077313,676.4075317382812,259.52069091796875
Pupil Core,397,1,1899,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.7784423828125,348.0985412597656,3.72114751,3.27788848,676.5326538085938,259.13262939453125
Pupil Core,397,1,1900,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.789794921875,347.07623291015625,3.72576641,3.31287761,672.3841552734375,259.8423767089844
Pupil Core,397,1,1900,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.789794921875,347.07623291015625,3.72548593,3.31287761,673.6854858398438,259.6410217285156
Pupil Core,397,1,1900,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.789794921875,347.07623291015625,3.72548593,,674.4013671875,261.08746337890625
Pupil Core,397,1,1900,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.789794921875,347.07623291015625,3.72415355,,674.4846801757812,260.7205810546875
Pupil Core,397,1,1900,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.789794921875,347.07623291015625,,3.27106128,674.8201904296875,258.8543701171875
Pupil Core,397,1,1900,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.789794921875,347.07623291015625,3.72070769,3.27106128,674.130859375,259.89154052734375
Pupil Core,397,1,1900,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.789794921875,347.07623291015625,,3.27788848,675.0430297851562,259.0177917480469
Pupil Core,397,1,1900,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5497436523438,225.73751831054688,484.4348449707031,351.2004699707031,785.789794921875,347.07623291015625,3.72070769,,674.203369140625,258.86376953125
Pupil Core,397,1,1901,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,785.789794921875,347.07623291015625,3.7197857,,672.4033813476562,256.6192626953125
Pupil Core,397,1,1901,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,785.789794921875,347.07623291015625,3.7234327,,670.5825805664062,256.692626953125
Pupil Core,397,1,1901,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,785.789794921875,347.07623291015625,3.7234327,,670.9642944335938,257.72259521484375
Pupil Core,397,1,1901,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,785.789794921875,347.07623291015625,3.7197857,3.30609589,671.732177734375,256.51336669921875
Pupil Core,397,1,1901,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,785.789794921875,347.07623291015625,,3.31289304,671.6177368164062,257.4283447265625
Pupil Core,397,1,1901,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,785.789794921875,347.07623291015625,,3.31289304,673.0652465820312,257.5076904296875
Pupil Core,397,1,1901,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,785.789794921875,347.07623291015625,,3.30731887,671.0250244140625,258.1231689453125
Pupil Core,397,1,1901,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,785.789794921875,347.07623291015625,3.72576641,3.30731887,671.7301025390625,258.1806945800781
Pupil Core,397,1,1901,dark,632.9979248046875,289.08111572265625,482.7134704589844,230.11891174316406,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,785.789794921875,347.07623291015625,,3.30609589,672.7376708984375,256.42181396484375
Pupil Core,397,1,1902,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,784.7369384765625,347.087646484375,3.68614545,,670.8381958007812,257.3890686035156
Pupil Core,397,1,1902,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,784.7369384765625,347.087646484375,3.68614545,3.32947588,670.7611083984375,256.4256286621094
Pupil Core,397,1,1902,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,784.7369384765625,347.087646484375,3.69346741,3.32947588,669.8131713867188,257.46209716796875
Pupil Core,397,1,1902,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,784.7369384765625,347.087646484375,3.69346741,3.3195012,669.6001586914062,255.44090270996094
Pupil Core,397,1,1902,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,784.7369384765625,347.087646484375,,3.3195012,668.9410400390625,256.47467041015625
Pupil Core,397,1,1902,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,784.7369384765625,347.087646484375,,3.30692908,669.7943115234375,255.50167846679688
Pupil Core,397,1,1902,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,784.7369384765625,347.087646484375,3.71440618,3.30692908,669.7150268554688,254.3101348876953
Pupil Core,397,1,1902,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,785.5897827148438,224.65419006347656,484.4244689941406,350.1795959472656,784.7369384765625,347.087646484375,3.71440618,,668.9806518554688,254.5547637939453
Pupil Core,397,1,1903,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,784.5167236328125,224.69418334960938,484.4348449707031,351.2004699707031,784.7369384765625,347.087646484375,3.68726091,3.28936682,667.6113891601562,259.87554931640625
Pupil Core,397,1,1903,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,784.5167236328125,224.69418334960938,484.4348449707031,351.2004699707031,784.7369384765625,347.087646484375,3.73288902,3.29392738,667.441162109375,258.9840393066406
Pupil Core,397,1,1903,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,784.5167236328125,224.69418334960938,484.4348449707031,351.2004699707031,784.7369384765625,347.087646484375,3.68726091,3.29392738,666.7996826171875,259.5076599121094
Pupil Core,397,1,1903,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,784.5167236328125,224.69418334960938,484.4348449707031,351.2004699707031,784.7369384765625,347.087646484375,,3.28936682,668.8224487304688,258.01983642578125
Pupil Core,397,1,1903,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,784.5167236328125,224.69418334960938,484.4348449707031,351.2004699707031,784.7369384765625,347.087646484375,,,669.8781127929688,257.64227294921875
Pupil Core,397,1,1903,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,784.5167236328125,224.69418334960938,484.4348449707031,351.2004699707031,784.7369384765625,347.087646484375,3.70586469,3.28559274,669.299560546875,258.9014587402344
Pupil Core,397,1,1903,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,784.5167236328125,224.69418334960938,484.4348449707031,351.2004699707031,784.7369384765625,347.087646484375,3.70586469,,669.72900390625,258.35968017578125
Pupil Core,397,1,1903,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,784.5167236328125,224.69418334960938,484.4348449707031,351.2004699707031,784.7369384765625,347.087646484375,,,669.1160888671875,256.3126220703125
Pupil Core,397,1,1903,dark,632.9979248046875,289.08111572265625,482.6748962402344,229.0393524169922,784.5167236328125,224.69418334960938,484.4348449707031,351.2004699707031,784.7369384765625,347.087646484375,,3.28559274,669.4955444335938,258.2498474121094
Pupil Core,397,1,1904,dark,632.9979248046875,289.08111572265625,484.66949462890625,233.16110229492188,787.5440063476562,227.77487182617188,487.4621276855469,354.2811584472656,787.7642211914062,350.1683349609375,3.73288902,,669.0088500976562,261.1618347167969
Pupil Core,397,1,1904,dark,632.9979248046875,289.08111572265625,484.66949462890625,233.16110229492188,787.5440063476562,227.77487182617188,487.4621276855469,354.2811584472656,787.7642211914062,350.1683349609375,3.69058388,,670.294677734375,261.028564453125
Pupil Core,397,1,1904,dark,632.9979248046875,289.08111572265625,484.66949462890625,233.16110229492188,787.5440063476562,227.77487182617188,487.4621276855469,354.2811584472656,787.7642211914062,350.1683349609375,3.69058388,3.3090411,670.6522827148438,260.882568359375
Pupil Core,397,1,1904,dark,632.9979248046875,289.08111572265625,484.66949462890625,233.16110229492188,787.5440063476562,227.77487182617188,487.4621276855469,354.2811584472656,787.7642211914062,350.1683349609375,3.70457164,3.3090411,669.20263671875,260.5909423828125
Pupil Core,397,1,1904,dark,632.9979248046875,289.08111572265625,484.66949462890625,233.16110229492188,787.5440063476562,227.77487182617188,487.4621276855469,354.2811584472656,787.7642211914062,350.1683349609375,3.70457164,,668.79052734375,262.5592346191406
Pupil Core,397,1,1904,dark,632.9979248046875,289.08111572265625,484.66949462890625,233.16110229492188,787.5440063476562,227.77487182617188,487.4621276855469,354.2811584472656,787.7642211914062,350.1683349609375,3.7185357,,668.8583374023438,261.09979248046875
Pupil Core,397,1,1904,dark,632.9979248046875,289.08111572265625,484.66949462890625,233.16110229492188,787.5440063476562,227.77487182617188,487.4621276855469,354.2811584472656,787.7642211914062,350.1683349609375,3.7185357,3.29498071,668.2948608398438,262.2696838378906
Pupil Core,397,1,1904,dark,632.9979248046875,289.08111572265625,484.66949462890625,233.16110229492188,787.5440063476562,227.77487182617188,487.4621276855469,354.2811584472656,787.7642211914062,350.1683349609375,,3.29498071,669.685791015625,261.5794372558594
Pupil Core,397,1,1905,dark,632.9979248046875,289.08111572265625,482.6510009765625,231.10662841796875,785.5255126953125,225.72039794921875,484.38238525390625,351.1953125,785.7457275390625,348.1138610839844,,3.28180891,662.2012939453125,258.2223205566406
Pupil Core,397,1,1905,dark,632.9979248046875,289.08111572265625,482.6510009765625,231.10662841796875,785.5255126953125,225.72039794921875,484.38238525390625,351.1953125,785.7457275390625,348.1138610839844,3.71168606,3.28180891,662.9367065429688,257.39306640625
Pupil Core,397,1,1905,dark,632.9979248046875,289.08111572265625,482.6510009765625,231.10662841796875,785.5255126953125,225.72039794921875,484.38238525390625,351.1953125,785.7457275390625,348.1138610839844,3.71168606,,663.2199096679688,257.6023864746094
Pupil Core,397,1,1905,dark,632.9979248046875,289.08111572265625,482.6510009765625,231.10662841796875,785.5255126953125,225.72039794921875,484.38238525390625,351.1953125,785.7457275390625,348.1138610839844,,,663.2841796875,258.2456359863281
Pupil Core,397,1,1905,dark,632.9979248046875,289.08111572265625,482.6510009765625,231.10662841796875,785.5255126953125,225.72039794921875,484.38238525390625,351.1953125,785.7457275390625,348.1138610839844,,3.29657429,663.6865844726562,259.60089111328125
