frame_idx	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l	pup_diam_r	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z
17	780.80300000	417.19800000	2.84680867	2.84385991	-31.23817825	16.07458115	-40.05252075	31.83210754	17.19121933	-40.20635605	-0.00355406	-0.11962811	0.99281245	0.05616049	-0.12835051	0.99013746
17	778.04800000	420.24400000	2.83639598	2.84280586	-31.16711426	16.07328796	-40.02806091	31.90583420	17.21372604	-40.19674683	-0.00896004	-0.11978339	0.99275964	0.04923130	-0.12910190	0.99040854
17	776.75900000	421.85200000	2.82913733	2.83894086	-31.17139816	16.05858612	-39.96414948	31.89610481	17.21869659	-40.21527481	-0.00304904	-0.11869165	0.99292654	0.05180340	-0.12781587	0.99044412
17	777.51400000	425.64800000	2.83437347	2.84775496	-31.15447998	16.04573059	-40.00228119	31.91535950	17.18216324	-40.25275421	-0.00533518	-0.11828575	0.99296528	0.05360984	-0.12736730	0.99040580
17	779.06500000	422.96800000	2.84550023	2.84419680	-31.22688293	16.07703400	-40.03125000	31.84038925	17.24388123	-40.20726013	-0.00058877	-0.12081451	0.99267495	0.05824961	-0.12960912	0.98985273
17	774.83800000	423.75800000	2.85131860	2.84842157	-31.22841644	16.02629852	-40.04137802	31.83901596	17.19584656	-40.23010254	-0.00068716	-0.11724235	0.99310309	0.05784107	-0.12587263	0.99035883
17	774.93800000	421.80400000	2.84293032	2.84097815	-31.16505432	16.01596832	-40.03203964	31.90453720	17.15720367	-40.24942780	-0.00514861	-0.11560301	0.99328220	0.05291413	-0.12500808	0.99074370
17	775.41700000	425.83500000	2.84169722	2.84782767	-31.17638016	15.97640991	-40.03862762	31.89048767	17.12457275	-40.19419861	-0.00612886	-0.11163607	0.99373025	0.05020694	-0.12049643	0.99144334
17	773.48000000	426.35600000	2.84214211	2.84046650	-31.13735580	15.99859619	-40.01993561	31.93128395	17.12423325	-40.18949127	-0.00663754	-0.11210162	0.99367458	0.04614155	-0.12059724	0.99162859
18	774.18900000	428.45300000	2.82894540	2.83438802	-31.10676193	16.02441788	-39.93350220	31.95793915	17.13967133	-40.21620941	-0.00650019	-0.11251077	0.99362928	0.04571536	-0.12106775	0.99159104
18	776.87300000	428.29600000	2.83562756	2.84995937	-31.10284805	16.04095459	-39.94253540	31.96421051	17.13329697	-40.27902985	-0.00802519	-0.11498133	0.99333531	0.04964499	-0.12384667	0.99105877
18	775.03700000	428.18500000	2.83182168	2.84893775	-31.12845612	16.05529022	-39.95366287	31.93669128	17.16678238	-40.18419266	-0.00610317	-0.11583415	0.99324983	0.04676377	-0.12458335	0.99110651
18	774.68400000	431.98900000	2.83093476	2.85228753	-31.10023880	16.06304932	-39.93769836	31.96626472	17.13943481	-40.20196533	-0.00787036	-0.11426653	0.99341893	0.04572080	-0.12333800	0.99131095
18	774.41600000	433.39500000	2.83588505	2.83810687	-31.14944839	16.07817078	-39.96582794	31.91465378	17.20609665	-40.20844269	-0.00635346	-0.11711153	0.99309844	0.04896800	-0.12622313	0.99079257
18	774.74900000	426.13200000	2.83632565	2.84480977	-31.05317688	16.12947845	-39.98432922	32.01316452	17.27951431	-40.18924713	-0.01746299	-0.12320160	0.99222803	0.04063301	-0.13221495	0.99038792
18	773.30800000	427.40000000	2.84250641	2.85399675	-31.07677460	16.20303345	-39.93309402	31.98535728	17.33759308	-40.23589706	-0.01151678	-0.12761311	0.99175715	0.04755989	-0.13651706	0.98949540
19	775.14200000	426.09100000	2.83176136	2.85393834	-31.10569763	16.18003082	-39.93574142	31.95809364	17.31012344	-40.26516342	-0.01042291	-0.12631977	0.99193484	0.05067680	-0.13535506	0.98950034
19	775.33100000	426.65500000	2.83339095	2.85351062	-31.11224747	16.18470001	-39.94439697	31.95152473	17.32056427	-40.26120758	-0.01031891	-0.12698881	0.99185050	0.05080347	-0.13606299	0.98939675
19	774.46000000	426.94800000	2.83853531	2.84533048	-31.09099579	16.12241745	-39.98585510	31.97273254	17.29745483	-40.19569397	-0.01417375	-0.12189437	0.99244189	0.04433738	-0.13079214	0.99041796
19	776.08200000	425.54400000	2.83582401	2.83956981	-31.14751434	16.14185333	-39.98760223	31.91645622	17.27833176	-40.26362610	-0.00887347	-0.12297434	0.99237019	0.05113639	-0.13159823	0.98998332
19	777.91100000	426.35500000	2.84757757	2.83219099	-31.21669388	16.20699310	-40.00251007	31.84853363	17.35547638	-40.21613312	-0.00519286	-0.12973148	0.99153560	0.05309414	-0.13821386	0.98897827
20	777.63400000	425.05800000	2.84150004	2.84233975	-31.14597321	16.20871735	-39.94552612	31.91943741	17.30583572	-40.29817200	-0.00755480	-0.12689444	0.99188745	0.05362965	-0.13568836	0.98929906
20	775.63300000	424.70300000	2.83638835	2.83284712	-31.19718552	16.18613815	-40.01283264	31.86881828	17.30249405	-40.25111389	-0.00798063	-0.12650873	0.99193341	0.05388488	-0.13484254	0.98940080
20	776.82600000	422.91200000	2.83760643	2.83694458	-31.25113678	16.18209076	-40.01954651	31.81397629	17.30862045	-40.20449066	-0.00470130	-0.12678435	0.99191922	0.05768410	-0.13496138	0.98917037
20	774.88800000	427.13500000	2.83414602	2.84182549	-31.20711899	16.16189957	-40.01494598	31.85782623	17.27993393	-40.27849197	-0.00533260	-0.12525587	0.99211019	0.05838856	-0.13353884	0.98932207
20	774.83400000	424.07400000	2.82822275	2.83026409	-31.18860245	16.10557556	-40.00520325	31.87677574	17.22993851	-40.26811981	-0.00749758	-0.12073961	0.99265593	0.05605320	-0.12912175	0.99004328
20	774.03800000	425.28200000	2.84169269	2.83736420	-31.17743683	16.20072174	-39.99582672	31.88749695	17.31074524	-40.29922867	-0.00931026	-0.12812717	0.99171406	0.05721337	-0.13692424	0.98892790
20	774.26500000	426.12800000	2.83565021	2.85016370	-31.15937042	16.12229156	-40.01481628	31.90566635	17.25513458	-40.29183197	-0.01017578	-0.12217041	0.99245697	0.05346736	-0.13112541	0.98992294
21	775.90700000	426.05300000	2.85992551	2.83459592	-31.21165466	16.18973541	-40.03556824	31.85237122	17.32443237	-40.31027985	-0.00755564	-0.12845394	0.99168670	0.05854979	-0.13716006	0.98881704
21	773.14300000	426.82000000	2.86333895	2.82922721	-31.19354248	16.22453690	-40.02365875	31.87141800	17.38306427	-40.26867294	-0.00847067	-0.13253199	0.99114257	0.05704534	-0.14096825	0.98836923
21	774.29600000	424.80600000	2.85284567	2.82678056	-31.16649246	16.17160797	-40.02192688	31.89646149	17.32019806	-40.23926926	-0.01011515	-0.12629174	0.99194163	0.05471537	-0.13486664	0.98935193
21	774.07600000	427.28400000	2.84357047	2.81274414	-31.16139984	16.17301559	-39.99450684	31.90370178	17.31729507	-40.22311401	-0.00949058	-0.12742808	0.99180245	0.05177115	-0.13637984	0.98930293
21	774.94900000	427.80300000	2.83495808	2.80826688	-31.14819336	16.10466385	-39.98017883	31.91678238	17.22693634	-40.27664185	-0.00861742	-0.12046139	0.99268061	0.05007277	-0.12933004	0.99033654
21	773.74400000	428.06000000	2.83544993	2.81498170	-31.15294647	16.06355667	-39.98129272	31.91363525	17.20143127	-40.31119919	-0.00752600	-0.11706502	0.99309576	0.05268808	-0.12564047	0.99067581
22	771.60600000	430.47500000	2.86797857	2.82245278	-31.18767166	16.13798523	-40.02276611	31.87816620	17.25681686	-40.31837082	-0.00802347	-0.12275653	0.99240440	0.05665877	-0.13104092	0.98975658
22	773.54600000	430.64900000	2.88101864	2.83938432	-31.16882706	16.13525009	-39.96020889	31.89502335	17.25573730	-40.34040070	-0.00417012	-0.12324738	0.99236727	0.05726021	-0.13189484	0.98960853
