frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l_px_x	pup_diam_l_px_y	pup_diam_r_px_x	pup_diam_r_px_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
12	32.03700000	-1.94300000	-24.78100000	2.10000000	0.01700000	-0.21580000	0.97630000	-34.83200000	-0.16800000	-21.68600000	2.36000000	0.06500000	-0.20930000	0.97570000	590.35000000	541.91000000	61.00000000	49.00000000	62.00000000	56.00000000	549.15000000	613.76000000	649.29000000	606.99000000
13	32.03700000	-1.94300000	-24.78100000	2.22000000	0.01910000	-0.21170000	0.97720000	-34.83200000	-0.16700000	-21.68700000	2.36000000	0.06150000	-0.21600000	0.97450000	591.15000000	541.34000000	62.00000000	55.00000000	64.00000000	56.00000000	546.73000000	608.89000000	653.14000000	614.93000000
14	32.03800000	-1.94200000	-24.78100000	2.22000000	0.01990000	-0.21470000	0.97650000	-34.83200000	-0.16700000	-21.68700000	2.36000000	0.06080000	-0.21720000	0.97420000	591.08000000	543.26000000	62.00000000	54.00000000	64.00000000	56.00000000	545.85000000	612.49000000	653.89000000	616.39000000
15	32.03800000	-1.94200000	-24.78200000	2.24000000	0.02240000	-0.21670000	0.97600000	-34.83200000	-0.16700000	-21.68700000	2.40000000	0.06090000	-0.21990000	0.97360000	589.62000000	545.30000000	61.00000000	56.00000000	64.00000000	58.00000000	543.03000000	614.98000000	653.81000000	619.64000000
16	32.03800000	-1.94200000	-24.78200000	2.24000000	0.02340000	-0.21870000	0.97550000	-34.83200000	-0.16700000	-21.68800000	2.40000000	0.06040000	-0.22000000	0.97360000	589.32000000	546.00000000	62.00000000	56.00000000	66.00000000	58.00000000	541.87000000	617.45000000	654.39000000	619.77000000
17	32.03800000	-1.94100000	-24.78200000	2.24000000	0.02220000	-0.22040000	0.97520000	-34.83300000	-0.16600000	-21.68800000	2.40000000	0.06280000	-0.21860000	0.97380000	588.61000000	547.45000000	61.00000000	56.00000000	64.00000000	58.00000000	543.30000000	619.40000000	651.60000000	618.16000000
17	32.03800000	-1.94100000	-24.78200000	2.30000000	0.02810000	-0.21780000	0.97560000	-34.83300000	-0.16600000	-21.68800000	2.40000000	0.06890000	-0.21520000	0.97410000	581.59000000	544.01000000	63.00000000	57.00000000	66.00000000	58.00000000	536.39000000	616.41000000	644.65000000	614.03000000
18	32.03800000	-1.94100000	-24.78300000	2.30000000	0.02950000	-0.21860000	0.97540000	-34.83400000	-0.16600000	-21.68800000	2.42000000	0.06750000	-0.21430000	0.97440000	581.61000000	543.15000000	63.00000000	57.00000000	66.00000000	58.00000000	534.78000000	617.46000000	646.30000000	612.96000000
19	32.03800000	-1.94100000	-24.78300000	2.36000000	0.02960000	-0.21690000	0.97580000	-34.83400000	-0.16600000	-21.68800000	2.44000000	0.06860000	-0.21720000	0.97370000	580.94000000	544.00000000	64.00000000	58.00000000	66.00000000	60.00000000	534.70000000	615.39000000	644.99000000	616.41000000
20	32.03800000	-1.94100000	-24.78300000	2.36000000	0.02980000	-0.21870000	0.97530000	-34.83400000	-0.16600000	-21.68800000	2.44000000	0.06890000	-0.21720000	0.97370000	580.65000000	545.18000000	64.00000000	59.00000000	66.00000000	60.00000000	534.49000000	617.54000000	644.65000000	616.52000000
21	32.03900000	-1.94100000	-24.78300000	2.38000000	0.03020000	-0.21900000	0.97530000	-34.83500000	-0.16600000	-21.68800000	2.46000000	0.07000000	-0.21730000	0.97360000	579.78000000	545.65000000	65.00000000	59.00000000	68.00000000	60.00000000	534.07000000	617.91000000	643.36000000	616.55000000
21	32.03900000	-1.94000000	-24.78300000	2.38000000	0.02940000	-0.21800000	0.97550000	-34.83500000	-0.16500000	-21.68900000	2.44000000	0.07230000	-0.21860000	0.97310000	578.86000000	546.83000000	64.00000000	59.00000000	66.00000000	60.00000000	534.90000000	616.65000000	640.69000000	618.13000000
22	32.03900000	-1.94000000	-24.78300000	2.38000000	0.03120000	-0.21820000	0.97540000	-34.83500000	-0.16500000	-21.68900000	2.46000000	0.07410000	-0.21870000	0.97300000	576.75000000	547.07000000	64.00000000	59.00000000	66.00000000	60.00000000	532.83000000	616.96000000	638.60000000	618.29000000
23	32.03900000	-1.94000000	-24.78300000	2.36000000	0.03410000	-0.21590000	0.97580000	-34.83500000	-0.16500000	-21.68900000	2.44000000	0.07650000	-0.21820000	0.97290000	573.68000000	545.33000000	64.00000000	58.00000000	66.00000000	60.00000000	529.44000000	614.27000000	635.89000000	617.79000000
24	32.03900000	-1.94000000	-24.78300000	2.30000000	0.03640000	-0.21690000	0.97550000	-34.83500000	-0.16500000	-21.68900000	2.42000000	0.07930000	-0.21710000	0.97290000	570.71000000	545.44000000	62.00000000	58.00000000	64.00000000	60.00000000	526.79000000	615.62000000	632.72000000	616.40000000
24	32.03900000	-1.94000000	-24.78300000	2.32000000	0.04320000	-0.21510000	0.97560000	-34.83500000	-0.16500000	-21.69000000	2.36000000	0.08660000	-0.21830000	0.97200000	562.49000000	545.46000000	62.00000000	57.00000000	64.00000000	58.00000000	518.91000000	613.58000000	624.33000000	617.99000000
25	32.03900000	-1.94000000	-24.78300000	2.32000000	0.04700000	-0.21510000	0.97550000	-34.83500000	-0.16400000	-21.69000000	2.38000000	0.08790000	-0.21980000	0.97160000	559.56000000	545.66000000	63.00000000	57.00000000	64.00000000	58.00000000	514.53000000	613.70000000	622.82000000	619.80000000
26	32.03900000	-1.94000000	-24.78300000	2.26000000	0.04570000	-0.21440000	0.97570000	-34.83500000	-0.16400000	-21.69100000	2.38000000	0.08780000	-0.21870000	0.97180000	560.35000000	545.00000000	62.00000000	57.00000000	64.00000000	58.00000000	516.10000000	612.82000000	622.85000000	618.48000000
27	32.03900000	-1.94000000	-24.78300000	2.30000000	0.04250000	-0.21400000	0.97590000	-34.83500000	-0.16400000	-21.69100000	2.38000000	0.08570000	-0.21710000	0.97240000	563.44000000	544.04000000	62.00000000	56.00000000	64.00000000	56.00000000	519.74000000	612.25000000	625.37000000	616.56000000
28	32.03900000	-1.94000000	-24.78300000	2.26000000	0.03900000	-0.21590000	0.97560000	-34.83500000	-0.16400000	-21.69100000	2.38000000	0.08120000	-0.21670000	0.97290000	568.11000000	544.40000000	62.00000000	55.00000000	64.00000000	56.00000000	523.76000000	614.42000000	630.59000000	616.03000000
29	32.03900000	-1.94000000	-24.78300000	2.24000000	0.03590000	-0.21730000	0.97540000	-34.83500000	-0.16400000	-21.69200000	2.36000000	0.07890000	-0.21560000	0.97330000	571.27000000	544.88000000	62.00000000	55.00000000	64.00000000	56.00000000	527.45000000	616.07000000	633.20000000	614.65000000
29	32.03900000	-1.94000000	-24.78300000	2.24000000	0.03520000	-0.21800000	0.97530000	-34.83500000	-0.16400000	-21.69200000	2.38000000	0.07890000	-0.21620000	0.97320000	571.62000000	545.90000000	62.00000000	55.00000000	64.00000000	56.00000000	528.18000000	616.92000000	633.17000000	615.40000000
30	32.03900000	-1.94000000	-24.78300000	2.26000000	0.03590000	-0.22040000	0.97480000	-34.83500000	-0.16300000	-21.69200000	2.38000000	0.07890000	-0.21740000	0.97290000	571.24000000	547.86000000	62.00000000	55.00000000	64.00000000	56.00000000	527.47000000	619.76000000	633.13000000	616.86000000
31	32.03900000	-1.94000000	-24.78300000	2.26000000	0.03460000	-0.22110000	0.97460000	-34.83500000	-0.16300000	-21.69200000	2.36000000	0.07690000	-0.21950000	0.97260000	573.21000000	549.15000000	62.00000000	56.00000000	64.00000000	58.00000000	528.98000000	620.60000000	635.48000000	619.26000000
32	32.03900000	-1.94000000	-24.78400000	2.28000000	0.03450000	-0.22510000	0.97370000	-34.83500000	-0.16300000	-21.69300000	2.38000000	0.07700000	-0.22350000	0.97170000	573.13000000	554.05000000	62.00000000	57.00000000	64.00000000	58.00000000	529.10000000	625.40000000	635.20000000	624.15000000
32	32.03900000	-1.94000000	-24.78400000	2.24000000	0.03080000	-0.22660000	0.97350000	-34.83600000	-0.16300000	-21.69300000	2.38000000	0.07280000	-0.22520000	0.97160000	577.76000000	555.70000000	61.00000000	55.00000000	64.00000000	56.00000000	533.43000000	627.11000000	640.00000000	626.11000000
33	32.04000000	-1.94000000	-24.78400000	2.24000000	0.02900000	-0.22770000	0.97330000	-34.83600000	-0.16300000	-21.69300000	2.38000000	0.07220000	-0.22840000	0.97090000	579.16000000	558.60000000	62.00000000	56.00000000	64.00000000	58.00000000	535.49000000	628.34000000	640.68000000	629.97000000
34	32.04000000	-1.94000000	-24.78400000	2.24000000	0.02780000	-0.22930000	0.97300000	-34.83700000	-0.16300000	-21.69300000	2.40000000	0.06950000	-0.22780000	0.97120000	581.43000000	558.68000000	62.00000000	56.00000000	64.00000000	58.00000000	536.91000000	630.32000000	643.77000000	629.14000000
