eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,confidence,gaze_target_angle
Pupil Core,2436,dilated,1,622,397,84946.60236374,-39.88725046,13.80981717,-22.29156142,4.69703391,0.18231998,0.04294573,0.98230092,19.96001945,13.95722493,-21.01996318,,-0.09381363,0.0055547,0.99557428,632.48446607,476.05686125,-0.12795278,19.12271179,191.97955307,0.96376592,5.764649005137213
Pupil Core,2437,dilated,1,622,397,84950.60936374,-39.88725046,13.80981717,-22.29156142,,0.18231998,0.04294573,0.98230092,19.96001945,13.95722493,-21.01996318,,-0.09395259,0.004928,0.99556448,632.40198462,475.81397052,-0.14788856,19.05243443,191.87160472,0.9178744,5.7464203096374975
Pupil Core,2437,dilated,1,622,397,84954.63386374,-39.88725046,13.80981717,-22.29156142,,0.18052667,0.04353822,0.982606,19.96001945,13.95722493,-21.01996318,,-0.09395259,0.004928,0.99556448,631.84513273,475.63061884,-0.28513092,19.15108645,193.32083732,0.9308292,5.7281269222881575
Pupil Core,2437,dilated,1,622,397,84958.65236374,-39.88725046,13.80981717,-22.29156142,,0.18052667,0.04353822,0.982606,19.96001945,13.95722493,-21.01996318,,-0.09434451,0.00542649,0.99552482,631.61337973,475.94274061,-0.34126085,19.19781014,193.01566043,0.95087439,5.748529099875687
Pupil Core,2437,dilated,1,622,397,84962.70586374,-39.88725046,13.80981717,-22.29156142,,0.18062349,0.0420195,0.98265432,19.96001945,13.95722493,-21.01996318,4.64934336,-0.09434451,0.00542649,0.99552482,631.64361445,475.29474482,-0.33373145,19.03120399,192.9460413,0.91534132,5.7021855348926636
Pupil Core,2437,dilated,1,622,397,84966.78536374,-39.88725046,13.80981717,-22.29156142,4.70674469,0.18062349,0.0420195,0.98265432,19.96001945,13.95722493,-21.01996318,4.64934336,-0.0928562,0.00485549,0.99566769,632.52380263,474.69145629,-0.11968914,18.99648383,194.11030192,0.94261074,5.66696100915093
Pupil Core,2437,dilated,1,622,397,84970.76586374,-39.88725046,13.80981717,-22.29156142,4.70674469,0.17977069,0.04209578,0.98280743,19.96001945,13.95722493,-21.01996318,4.67125219,-0.0928562,0.00485549,0.99566769,632.25936521,474.51403541,-0.18525393,19.02106014,194.81227187,0.98954126,5.651691169170496
Pupil Core,2437,dilated,1,622,397,84974.72836374,-39.88725046,13.80981717,-22.29156142,4.68389844,0.17977069,0.04209578,0.98280743,19.96001945,13.95722493,-21.01996318,4.67125219,-0.09466462,0.00414958,0.99550057,631.18927202,474.63109555,-0.44556304,18.91096032,193.38816531,0.9529337,5.650522277946579
Pupil Core,2437,dilated,1,622,397,84978.69536374,-39.88725046,13.80981717,-22.29156142,4.68389844,0.17918699,0.04323722,0.98286447,19.96001945,13.95722493,-21.01996318,,-0.09466462,0.00414958,0.99550057,631.00842522,474.99148767,-0.49099699,19.04613972,193.85821305,0.91655719,5.674946906895817
Pupil Core,2437,dilated,1,622,397,84982.67036374,-39.88725046,13.80981717,-22.29156142,,0.17918699,0.04323722,0.98286447,19.96001945,13.95722493,-21.01996318,,-0.09455936,0.00439471,0.99550952,631.07084683,475.07436485,-0.4759046,19.07481851,193.94125452,0.91251439,5.681429376362062
Pupil Core,2438,dilated,1,622,397,84986.65336374,-39.88725046,13.80981717,-22.29156142,,0.18093109,0.04066609,0.98265467,19.96001945,13.95722493,-21.01996318,4.70159043,-0.09455936,0.00439471,0.99550952,631.61158168,474.36882105,-0.34077945,18.76315706,192.53617987,0.93124145,5.635318477076909
Pupil Core,2438,dilated,1,622,397,84990.61986374,-39.88725046,13.80981717,-22.29156142,4.74002848,0.18093109,0.04066609,0.98265467,19.96001945,13.95722493,-21.01996318,4.70159043,-0.09438926,-0.00015375,0.99553536,631.71043758,472.32655395,-0.3168342,18.27316592,192.66076719,0.8307167,5.489422824733199
Pupil Core,2438,dilated,1,622,397,84994.66236374,-39.88725046,13.80981717,-22.29156142,4.74002848,0.18172752,0.04251378,0.98242948,19.96001945,13.95722493,-21.01996318,4.64694913,-0.09438926,-0.00015375,0.99553536,631.95742754,473.34193058,-0.25584601,18.45985234,192.00642214,0.78875667,5.564659195178562
Pupil Core,2438,dilated,1,622,397,84998.76386374,-39.88725046,13.80981717,-22.29156142,,0.18172752,0.04251378,0.98242948,19.96001945,13.95722493,-21.01996318,4.64694913,-0.09720024,0.00397574,0.9952569,630.29209615,475.82647615,-0.65292367,18.85625983,189.86433188,0.86617988,5.729433176952661
