eye_tracker,participant_id,condition,total_rows,nan_rows,nan_percentage
Pupil Neon,397,constricted,2972,0,0.0
Pupil Neon,406,dilated,2968,0,0.0
Pupil Neon,406,constricted,2976,0,0.0
Pupil Neon,460,dilated,2974,0,0.0
Pupil Neon,460,constricted,2979,0,0.0
Pupil Neon,503,dilated,2967,0,0.0
Pupil Neon,503,constricted,2972,0,0.0
Pupil Neon,695,dilated,2981,0,0.0
Pupil Neon,695,constricted,2968,0,0.0
Pupil Neon,772,dilated,2987,0,0.0
Pupil Neon,772,constricted,2985,0,0.0
Pupil Neon,796,dilated,2961,0,0.0
Pupil Neon,796,constricted,2970,0,0.0
Pupil Neon,844,dilated,2959,0,0.0
Pupil Neon,844,constricted,2948,98,3.324287652645862
Pupil Neon,875,dilated,2988,0,0.0
Pupil Neon,875,constricted,2967,0,0.0
Pupil Neon,914,dilated,2982,0,0.0
Pupil Neon,914,constricted,2966,0,0.0
Tobii Glasses 2,141,dilated,1411,90,6.378454996456413
Tobii Glasses 2,141,constricted,1475,52,3.5254237288135593
Tobii Glasses 2,276,dilated,1481,275,18.568534773801485
Tobii Glasses 2,276,constricted,1501,245,16.32245169886742
Tobii Glasses 2,352,dilated,1360,111,8.161764705882353
Tobii Glasses 2,352,constricted,1423,142,9.978917779339422
Tobii Glasses 2,695,dilated,1459,89,6.100068540095957
Tobii Glasses 2,695,constricted,1458,134,9.190672153635116
Tobii Glasses 2,875,dilated,1437,193,13.430758524704245
Tobii Glasses 2,875,constricted,1413,205,14.508138711960367
Tobii Glasses 2,914,dilated,1382,229,16.570188133140377
Tobii Glasses 2,914,constricted,1366,230,16.83748169838946
